prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
a band designed a business a computer .,DESIGN,A,for,the colonel delivered the leader the coffee .,DELIVER,THE,for,-47.63250732421875,-47.981231689453125,-48.629127502441406,-48.14791870117188
a band designed a club a gun .,DESIGN,A,for,the mother sold the professor the computer .,SELL,THE,to,-45.29483795166016,-49.46173858642578,-45.313697814941406,-48.1262092590332
a band designed a club a gun .,DESIGN,A,for,the leader took the reader the iron .,TAKE,THE,to,-47.56041717529297,-57.25724792480469,-46.93419647216797,-56.498931884765625
a band designed a club a gun .,DESIGN,A,for,the attorney fed the reader the chocolate .,FEED,THE,to,-49.92631530761719,-50.72258758544922,-50.48876190185547,-50.12952423095703
a band designed a club a newspaper .,DESIGN,A,for,the singer gave the business the juice .,GIVE,THE,to,-44.95016098022461,-45.48358917236328,-44.52161407470703,-45.46473693847656
a band designed a corporation a cup .,DESIGN,A,for,the wife kept the army the chicken .,KEEP,THE,for,-46.13971328735352,-53.15129852294922,-47.87959289550781,-50.37962341308594
a band designed a corporation a cup .,DESIGN,A,for,the husband promised the friend the plate .,PROMISE,THE,to,-47.55111312866211,-47.14669799804688,-47.897705078125,-46.29168701171875
a band designed a corporation a key .,DESIGN,A,for,the leader drew the company the telephone .,DRAW,THE,for,-49.82075500488281,-55.561561584472656,-50.52295684814453,-52.86925506591797
a band designed a corporation a key .,DESIGN,A,for,the father drew the guy the card .,DRAW,THE,for,-43.31305694580078,-47.51287841796875,-43.60662078857422,-44.3930778503418
a band designed a corporation a key .,DESIGN,A,for,the minister delivered the employee the juice .,DELIVER,THE,for,-55.260032653808594,-57.28277587890625,-55.66541290283203,-55.52170944213867
a band designed an administration a cigarette .,DESIGN,A,for,the employer purchased the kid the salad .,PURCHASE,THE,for,-48.8282356262207,-56.59090423583984,-48.51968383789063,-52.561614990234375
a band designed an administration a cigarette .,DESIGN,A,for,the boy threw the actress the cheese .,THROW,THE,to,-48.488059997558594,-50.27137756347656,-49.00917053222656,-49.18383026123047
a band designed an administration a computer .,DESIGN,A,for,the worker got the business the beer .,GET,THE,for,-43.605865478515625,-47.13732147216797,-44.5600814819336,-45.64026641845703
a band designed an administration a computer .,DESIGN,A,for,the hero delivered the champion the salad .,DELIVER,THE,for,-51.93028259277344,-52.227012634277344,-52.34599304199219,-51.25859451293945
a band designed an administration a flower .,DESIGN,A,for,the president fed the reader the candy .,FEED,THE,to,-47.2424201965332,-47.33537292480469,-47.09170913696289,-46.18497085571289
a band designed an administration a flower .,DESIGN,A,for,the singer promised the nurse the salad .,PROMISE,THE,to,-53.05809783935547,-53.3610725402832,-52.53455352783203,-52.08269500732422
a band designed an administration a knife .,DESIGN,A,for,the reader left the winner the log .,LEAVE,THE,for,-46.15840530395508,-50.57008361816406,-46.050575256347656,-48.944068908691406
a band designed an administration a knife .,DESIGN,A,for,the prince purchased the actress the beer .,PURCHASE,THE,for,-48.1405029296875,-52.03207015991211,-48.56793975830078,-48.83927917480469
a band designed an administration a knife .,DESIGN,A,for,the priest saved the business the meal .,SAVE,THE,for,-48.00149154663086,-53.26518249511719,-49.40712738037109,-52.49526977539063
a band designed an administration a motor .,DESIGN,A,for,the candidate left the employee the knife .,LEAVE,THE,for,-47.02898025512695,-50.167877197265625,-47.42182159423828,-48.56065368652344
a band designed an administration a motor .,DESIGN,A,for,the friend purchased the son the box .,PURCHASE,THE,for,-42.95109176635742,-47.407508850097656,-43.456050872802734,-46.08089447021485
a band designed an administration a motor .,DESIGN,A,for,the king sent the partner the tea .,SEND,THE,to,-45.02667236328125,-47.27979278564453,-45.14712142944336,-46.69284057617188
a band designed an army a card .,DESIGN,A,for,the captain gave the brother the coffee .,GIVE,THE,to,-44.150978088378906,-44.1364860534668,-44.32109451293945,-43.74153900146485
a band designed an army a card .,DESIGN,A,for,the uncle took the pilot the plate .,TAKE,THE,to,-46.18373107910156,-53.46693420410156,-46.3292236328125,-51.677127838134766
