prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew the attorney the hat .,DRAW,THE,for,a lady brought a club a pie .,BRING,A,to,-43.62287139892578,-47.01185607910156,-43.43565368652344,-46.23453903198242
the champion drew the buddy the cup .,DRAW,THE,for,a cousin brought a company a bag .,BRING,A,to,-46.93936538696289,-46.62092208862305,-45.04731750488281,-44.2630729675293
the leader drew the company the telephone .,DRAW,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-51.54972076416016,-51.28972244262695,-50.70834732055664,-49.00035858154297
the manager drew the band the gun .,DRAW,THE,for,a man brought an administration a book .,BRING,A,to,-50.100921630859375,-49.77672958374024,-49.52573776245117,-48.5755615234375
the cop drew the club the coat .,DRAW,THE,for,a girl brought a guy a coffee .,BRING,A,to,-41.280059814453125,-41.26487731933594,-41.743896484375,-40.88473892211914
the secretary drew the band the card .,DRAW,THE,for,a princess brought an adult a coffee .,BRING,A,to,-47.243141174316406,-47.76579284667969,-46.854740142822266,-46.323333740234375
the husband drew the administration the hat .,DRAW,THE,for,a lady brought an employer a computer .,BRING,A,to,-46.51050567626953,-49.0419921875,-46.91198348999024,-47.53424835205078
the employee drew the army the button .,DRAW,THE,for,a colonel brought a candidate a television .,BRING,A,to,-45.58674240112305,-48.60641479492188,-45.17430877685547,-47.05485534667969
the employee drew the lawyer the glass .,DRAW,THE,for,a teacher brought a singer an engine .,BRING,A,to,-49.79068374633789,-52.18285369873047,-50.01009750366211,-49.298221588134766
the student drew the company the cup .,DRAW,THE,for,a mayor brought a band an instrument .,BRING,A,to,-55.580108642578125,-52.73635482788086,-55.54856872558594,-51.24274444580078
the princess drew the physician the plate .,DRAW,THE,for,a colonel brought a business a tea .,BRING,A,to,-49.99305725097656,-54.01847076416016,-50.57373046875,-53.93231964111328
the actress drew the company the card .,DRAW,THE,for,an aunt brought an army a jacket .,BRING,A,to,-53.261016845703125,-55.13214874267578,-54.167999267578125,-55.13753128051758
the mother drew the business the flower .,DRAW,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-52.60958099365234,-51.45706558227539,-51.14604568481445,-49.144073486328125
the president drew the author the iron .,DRAW,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-45.72628021240234,-46.436317443847656,-44.747928619384766,-44.21160888671875
the mother drew the girl the crystal .,DRAW,THE,for,an employee brought a business a camera .,BRING,A,to,-43.41055679321289,-51.639915466308594,-44.06482696533203,-52.49222183227539
the guest drew the girl the guitar .,DRAW,THE,for,a parent brought a club a meal .,BRING,A,to,-46.66785430908203,-48.630409240722656,-46.98011779785156,-48.5639762878418
the chief drew the boy the newspaper .,DRAW,THE,for,a prince brought a business a motor .,BRING,A,to,-51.38555908203125,-55.11652755737305,-51.05204772949219,-54.97962951660156
the employee drew the king the engine .,DRAW,THE,for,a colonel brought a business a bottle .,BRING,A,to,-48.24716567993164,-51.62287139892578,-48.28439331054688,-50.49550628662109
the husband drew the corporation the button .,DRAW,THE,for,a professor brought a band a tea .,BRING,A,to,-49.05790710449219,-48.57137680053711,-48.85345458984375,-47.4876823425293
the secretary drew the band the card .,DRAW,THE,for,a soldier brought a kid a telephone .,BRING,A,to,-46.657020568847656,-48.458106994628906,-46.34272003173828,-47.15417098999024
the opponent drew the winner the crystal .,DRAW,THE,for,a father brought a corporation a beer .,BRING,A,to,-50.245365142822266,-51.85799026489258,-49.61460494995117,-51.012821197509766
the professor drew the army the key .,DRAW,THE,for,a doctor brought a chief a tea .,BRING,A,to,-43.93191146850586,-45.99480819702149,-44.58074188232422,-45.1790885925293
the kid drew the pilot the bowl .,DRAW,THE,for,a candidate brought a man a chocolate .,BRING,A,to,-51.09019470214844,-51.65011215209961,-50.962646484375,-50.53583526611328
the girl drew the administration the instrument .,DRAW,THE,for,a mayor brought a priest a coffee .,BRING,A,to,-48.53419494628906,-49.07373809814453,-48.04591369628906,-45.80483627319336
the pilot drew the minister the coat .,DRAW,THE,for,an employer brought an attorney a tea .,BRING,A,to,-53.05170440673828,-54.17305755615234,-52.6219482421875,-52.17055892944336
a child drew a club a jacket .,DRAW,A,for,the husband brought the candidate the newspaper .,BRING,THE,to,-42.01762771606445,-43.91761016845703,-41.56816864013672,-42.3529052734375
a mother drew a colonel a crystal .,DRAW,A,for,the secretary brought the soldier the beer .,BRING,THE,to,-37.18921661376953,-39.79528045654297,-38.10856628417969,-37.08222961425781
a princess drew a king a button .,DRAW,A,for,the champion brought the guy the hat .,BRING,THE,to,-41.6312370300293,-43.157257080078125,-41.51441955566406,-42.14536666870117
a son drew a student a bell .,DRAW,A,for,the parent brought the buddy the chocolate .,BRING,THE,to,-40.95512390136719,-43.10877990722656,-41.60667419433594,-42.78353118896485
a pilot drew a professor a computer .,DRAW,A,for,the secretary brought the corporation the juice .,BRING,THE,to,-47.20646667480469,-48.44915390014648,-47.974891662597656,-47.81022262573242
a hero drew a prince an engine .,DRAW,A,for,the pilot brought the band the pie .,BRING,THE,to,-43.81538391113281,-46.03471755981445,-44.150428771972656,-45.84158706665039
a sheriff drew an administration a knife .,DRAW,A,for,the mother brought the club the plate .,BRING,THE,to,-42.536598205566406,-51.274169921875,-42.97392272949219,-51.10872268676758
a worker drew an uncle a key .,DRAW,A,for,the mother brought the buddy the coffee .,BRING,THE,to,-39.35337066650391,-42.64167785644531,-40.44357299804688,-41.32027053833008
a chief drew a brother a crystal .,DRAW,A,for,the author brought the company the guitar .,BRING,THE,to,-44.76062774658203,-48.19466781616211,-45.00591659545898,-47.70670318603516
a student drew a prince a pot .,DRAW,A,for,the guy brought the author the iron .,BRING,THE,to,-44.11658477783203,-46.490665435791016,-43.825157165527344,-45.63326644897461
a husband drew a company a wire .,DRAW,A,for,the employee brought the doctor the television .,BRING,THE,to,-36.05961608886719,-39.4871711730957,-35.357521057128906,-38.353614807128906
an uncle drew a band a telephone .,DRAW,A,for,the lady brought the club the key .,BRING,THE,to,-34.34843444824219,-41.13058090209961,-35.16570281982422,-40.32526779174805
an aunt drew a corporation a crystal .,DRAW,A,for,the professor brought the kid the meal .,BRING,THE,to,-39.881256103515625,-43.60555267333984,-40.63249969482422,-43.48882293701172
a writer drew a woman a bowl .,DRAW,A,for,the bishop brought the club the pie .,BRING,THE,to,-45.72857284545898,-51.22653198242188,-47.6487922668457,-52.04370880126953
a brother drew a business a coat .,DRAW,A,for,the lawyer brought the corporation the newspaper .,BRING,THE,to,-40.78105926513672,-43.58761978149414,-39.644493103027344,-40.68111038208008
a prince drew an opponent a jacket .,DRAW,A,for,the lady brought the administration the cigarette .,BRING,THE,to,-46.05618667602539,-46.67267990112305,-45.756473541259766,-45.37157440185547
a son drew an administration a telephone .,DRAW,A,for,the worker brought the corporation the pie .,BRING,THE,to,-44.25434112548828,-47.15963363647461,-45.23477935791016,-47.14609909057617
a man drew a scientist a plate .,DRAW,A,for,the worker brought the club the coffee .,BRING,THE,to,-40.2382926940918,-43.383094787597656,-42.24493408203125,-44.73032379150391
a soldier drew a singer a bag .,DRAW,A,for,the actor brought the aunt the glass .,BRING,THE,to,-43.07828903198242,-47.56840896606445,-44.04888153076172,-48.32151794433594
a father drew a brother a crystal .,DRAW,A,for,the mayor brought the actress the key .,BRING,THE,to,-47.2495346069336,-49.6035270690918,-47.79858016967773,-48.505027770996094
a winner drew a husband an instrument .,DRAW,A,for,the guy brought the business the beer .,BRING,THE,to,-38.50315475463867,-42.393741607666016,-38.289695739746094,-40.69240951538086
a pilot drew a lawyer a telephone .,DRAW,A,for,the husband brought the business the beer .,BRING,THE,to,-39.05429458618164,-43.74428939819336,-39.37984085083008,-43.85259628295898
an adult drew a business a machine .,DRAW,A,for,the parent brought the king the beer .,BRING,THE,to,-37.97153472900391,-39.40894317626953,-37.358917236328125,-38.17976379394531
a guy drew an army a glass .,DRAW,A,for,the secretary brought the soldier the chocolate .,BRING,THE,to,-40.38011932373047,-41.65928649902344,-41.83420944213867,-40.723289489746094
a buddy drew a cousin a bell .,DRAW,A,for,the priest brought the partner the pot .,BRING,THE,to,-38.54795837402344,-42.90126800537109,-38.48293685913086,-42.95345687866211
the employee found the band the tea .,FIND,THE,for,a lady brought a club a pie .,BRING,A,to,-41.97285842895508,-46.844181060791016,-41.84762191772461,-45.7075309753418
