prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a writer gave a ball to a business .,the employee left the coffee for the daughter .,PD,PD,GIVE,LEAVE,A,THE,to,for,-42.703773498535156,"[-3.1902883, -9.8625555, -6.0590863, -1.0236012, -6.5675044, -5.5351686, -1.0504489, -8.217464, -1.1976559]"
a writer gave a ball to a business .,the employee left the daughter the coffee .,PD,DO,GIVE,LEAVE,A,THE,to,for,-47.55348205566406,"[-3.1902883, -9.8625555, -6.0590863, -1.0236012, -11.857801, -6.592686, -7.2007747, -1.7666894]"
a writer gave a buddy a chicken .,the child bought the candy for the author .,DO,PD,GIVE,BUY,A,THE,to,for,-46.9154167175293,"[-3.1824756, -8.629487, -10.682009, -1.7237033, -5.952532, -2.7213984, -2.2142715, -10.465187, -1.3443528]"
a writer gave a buddy a chicken .,the child bought the author the candy .,DO,DO,GIVE,BUY,A,THE,to,for,-48.40302658081055,"[-3.1824756, -8.629487, -10.682009, -1.7237033, -11.038649, -3.6648757, -8.008755, -1.4730731]"
a writer gave a business a ball .,the employee left the coffee for the daughter .,DO,PD,GIVE,LEAVE,A,THE,to,for,-43.24564743041992,"[-3.175317, -9.861164, -6.024968, -1.0563004, -6.666459, -5.871936, -1.1677375, -8.135869, -1.2858968]"
a writer gave a business a ball .,the employee left the daughter the coffee .,DO,DO,GIVE,LEAVE,A,THE,to,for,-46.950748443603516,"[-3.175317, -9.861164, -6.024968, -1.0563004, -11.65988, -6.380035, -7.01136, -1.7817261]"
a writer gave a business a coffee .,the colonel sent the iron to the boy .,DO,PD,GIVE,SEND,A,THE,to,to,-43.74840545654297,"[-3.1900349, -11.877438, -5.9691086, -1.8143344, -10.18725, -2.6267486, -0.81334674, -6.0743623, -1.1957806]"
a writer gave a business a coffee .,the colonel sent the boy the iron .,DO,DO,GIVE,SEND,A,THE,to,to,-46.73489761352539,"[-3.1900349, -11.877438, -5.9691086, -1.8143344, -5.559026, -5.8075085, -10.0328245, -2.484623]"
a writer gave a business a coffee .,the winner fed the pie to the parent .,DO,PD,GIVE,FEED,A,THE,to,to,-49.90480422973633,"[-3.1900349, -8.404091, -14.723202, -0.9823325, -8.27482, -2.343925, -0.72962344, -10.38737, -0.86940277]"
a writer gave a business a coffee .,the winner fed the parent the pie .,DO,DO,GIVE,FEED,A,THE,to,to,-47.41557693481445,"[-3.1900349, -8.404091, -14.723202, -0.9823325, -10.309498, -3.0371852, -6.093709, -0.6755235]"
