prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
a band designed her a knife .,DESIGN,A,for,the prince purchased it the beer .,PURCHASE,THE,for,-41.81806945800781,-47.49412536621094,-42.99170684814453,-44.915714263916016
a band designed her a knife .,DESIGN,A,for,the priest saved us the meal .,SAVE,THE,for,-42.76560974121094,-44.32780456542969,-42.96762847900391,-43.43164825439453
a band designed him a cigarette .,DESIGN,A,for,the employer purchased us the salad .,PURCHASE,THE,for,-41.66234588623047,-46.31927490234375,-43.92970275878906,-44.46504211425781
a band designed him a flower .,DESIGN,A,for,the singer promised you the salad .,PROMISE,THE,to,-46.31185150146485,-42.272369384765625,-47.051719665527344,-42.2572135925293
a band designed him a gun .,DESIGN,A,for,the mother sold us the computer .,SELL,THE,to,-40.31027221679688,-40.911014556884766,-41.32330322265625,-40.3956298828125
a band designed him a gun .,DESIGN,A,for,the leader took us the iron .,TAKE,THE,to,-45.657989501953125,-48.399070739746094,-45.90055465698242,-46.73786163330078
a band designed him a key .,DESIGN,A,for,the father drew us the card .,DRAW,THE,for,-39.23194122314453,-39.91478729248047,-40.19229888916016,-38.13188934326172
a band designed him a key .,DESIGN,A,for,the minister delivered you the juice .,DELIVER,THE,for,-49.24601364135742,-46.56692123413086,-51.43458938598633,-45.83595275878906
a band designed him a motor .,DESIGN,A,for,the king sent you the tea .,SEND,THE,to,-39.45540237426758,-35.34225845336914,-40.563133239746094,-35.13175964355469
a band designed it a computer .,DESIGN,A,for,the worker got us the beer .,GET,THE,for,-40.84635925292969,-39.54871368408203,-42.97457885742188,-39.726036071777344
a band designed me a card .,DESIGN,A,for,the captain gave us the coffee .,GIVE,THE,to,-37.42795944213867,-34.84295654296875,-38.7943115234375,-34.87003326416016
a band designed me a cigarette .,DESIGN,A,for,the boy threw them the cheese .,THROW,THE,to,-41.50001525878906,-37.75611114501953,-42.27817916870117,-37.44578552246094
a band designed me a motor .,DESIGN,A,for,the candidate left him the knife .,LEAVE,THE,for,-41.36563873291016,-40.87788772583008,-43.10219955444336,-41.68721771240234
a band designed them a card .,DESIGN,A,for,the uncle took you the plate .,TAKE,THE,to,-41.57575225830078,-46.14463424682617,-42.25300979614258,-44.837833404541016
a band designed them a computer .,DESIGN,A,for,the colonel delivered me the coffee .,DELIVER,THE,for,-41.13423156738281,-40.21446990966797,-42.34062957763672,-39.59944152832031
a band designed them a cup .,DESIGN,A,for,the wife kept you the chicken .,KEEP,THE,for,-43.273040771484375,-45.62532806396485,-44.18138885498047,-44.651180267333984
