text,structure,verb,det,prep,tokens,log_prob_tokens,log_prob
a lady brought a pie to him .,PD,BRING,A,to,"['A', ' lady', ' brought', ' a', ' pie', ' to', ' him', '.']","[-4.116546, -8.180323, -7.2666187, -1.8502101, -9.599016, -0.5239276, -7.0646353, -2.0967147]",-40.69799041748047
a lady brought him a pie .,DO,BRING,A,to,"['A', ' lady', ' brought', ' him', ' a', ' pie', '.']","[-4.116546, -8.180323, -7.2666187, -5.8736477, -1.7389944, -6.0397854, -2.1341095]",-35.35002517700195
a cousin brought a bag to you .,PD,BRING,A,to,"['A', ' cousin', ' brought', ' a', ' bag', ' to', ' you', '.']","[-4.116546, -10.5689945, -6.6260257, -2.3692677, -3.8863604, -4.5229154, -6.4211173, -2.1071427]",-40.61837005615234
a cousin brought you a bag .,DO,BRING,A,to,"['A', ' cousin', ' brought', ' you', ' a', ' bag', '.']","[-4.116546, -10.5689945, -6.6260257, -5.5411425, -2.0524063, -4.8983026, -5.1085224]",-38.91193771362305
an uncle brought an anchor to you .,PD,BRING,A,to,"['An', ' uncle', ' brought', ' an', ' anchor', ' to', ' you', '.']","[-6.034515, -9.476351, -6.516577, -4.0563993, -9.640451, -1.5635846, -7.085744, -2.2857509]",-46.65937423706055
an uncle brought you an anchor .,DO,BRING,A,to,"['An', ' uncle', ' brought', ' you', ' an', ' anchor', '.']","[-6.034515, -9.476351, -6.516577, -5.0563993, -4.5240903, -8.686758, -2.235287]",-42.52997970581055
a man brought a book to her .,PD,BRING,A,to,"['A', ' man', ' brought', ' a', ' book', ' to', ' her', '.']","[-4.116546, -4.836572, -8.4113865, -1.2281985, -6.3338804, -1.1670493, -6.0823774, -2.8765867]",-35.0526008605957
a man brought her a book .,DO,BRING,A,to,"['A', ' man', ' brought', ' her', ' a', ' book', '.']","[-4.116546, -4.836572, -8.4113865, -6.782886, -2.4210992, -4.7050695, -2.4042609]",-33.677818298339844
a girl brought a coffee to her .,PD,BRING,A,to,"['A', ' girl', ' brought', ' a', ' coffee', ' to', ' her', '.']","[-4.116546, -7.145166, -7.5971317, -1.6747817, -6.89165, -1.5312936, -1.5832624, -8.103428]",-38.64326095581055
a girl brought her a coffee .,DO,BRING,A,to,"['A', ' girl', ' brought', ' her', ' a', ' coffee', '.']","[-4.116546, -7.145166, -7.5971317, -1.6122817, -6.3802686, -5.973104, -2.6152875]",-35.439788818359375
a princess brought a coffee to us .,PD,BRING,A,to,"['A', ' princess', ' brought', ' a', ' coffee', ' to', ' us', '.']","[-4.116546, -10.3771, -9.38712, -3.5960379, -8.788127, -1.7211804, -5.509744, -2.321187]",-45.81704330444336
a princess brought us a coffee .,DO,BRING,A,to,"['A', ' princess', ' brought', ' us', ' a', ' coffee', '.']","[-4.116546, -10.3771, -9.38712, -5.283538, -2.2344115, -6.9166594, -2.851867]",-41.16724395751953
a lady brought a computer to him .,PD,BRING,A,to,"['A', ' lady', ' brought', ' a', ' computer', ' to', ' him', '.']","[-4.116546, -8.180323, -7.2666187, -1.8502101, -6.423235, -1.1398294, -5.920472, -2.233356]",-37.130592346191406
a lady brought him a computer .,DO,BRING,A,to,"['A', ' lady', ' brought', ' him', ' a', ' computer', '.']","[-4.116546, -8.180323, -7.2666187, -5.8736477, -1.7389944, -7.676504, -2.8696465]",-37.72228240966797
