prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew the attorney the hat .,DRAW,THE,for,a lady brought a club a pie .,BRING,A,to,-39.82231903076172,-43.69796752929688,-39.43146514892578,-41.89046859741211
the champion drew the buddy the cup .,DRAW,THE,for,a cousin brought a company a bag .,BRING,A,to,-43.43153762817383,-45.1588134765625,-43.44972610473633,-43.02960205078125
the leader drew the company the telephone .,DRAW,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-46.350196838378906,-48.18077850341797,-47.51961898803711,-47.50982666015625
the manager drew the band the gun .,DRAW,THE,for,a man brought an administration a book .,BRING,A,to,-39.85517501831055,-43.21366500854492,-39.396087646484375,-40.15514373779297
the cop drew the club the coat .,DRAW,THE,for,a girl brought a guy a coffee .,BRING,A,to,-33.6667594909668,-32.19635009765625,-33.58109664916992,-32.00496292114258
the secretary drew the band the card .,DRAW,THE,for,a princess brought an adult a coffee .,BRING,A,to,-46.937591552734375,-49.06411743164063,-45.29463958740234,-46.00360107421875
the husband drew the administration the hat .,DRAW,THE,for,a lady brought an employer a computer .,BRING,A,to,-43.72669219970703,-44.25782012939453,-42.94115447998047,-41.59235382080078
the employee drew the army the button .,DRAW,THE,for,a colonel brought a candidate a television .,BRING,A,to,-45.164512634277344,-45.85067367553711,-45.4845085144043,-46.50532531738281
the employee drew the lawyer the glass .,DRAW,THE,for,a teacher brought a singer an engine .,BRING,A,to,-45.23232650756836,-45.348934173583984,-45.59627532958984,-43.11592864990234
the student drew the company the cup .,DRAW,THE,for,a mayor brought a band an instrument .,BRING,A,to,-46.16291809082031,-48.115970611572266,-46.14296340942383,-45.472774505615234
the princess drew the physician the plate .,DRAW,THE,for,a colonel brought a business a tea .,BRING,A,to,-46.85342788696289,-48.81414031982422,-47.75784683227539,-46.49433898925781
the actress drew the company the card .,DRAW,THE,for,an aunt brought an army a jacket .,BRING,A,to,-49.11274719238281,-50.91194534301758,-51.73984909057617,-50.44258499145508
the mother drew the business the flower .,DRAW,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-44.632843017578125,-44.643672943115234,-47.08221435546875,-44.594913482666016
the president drew the author the iron .,DRAW,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-42.75048065185547,-45.48835372924805,-43.85906982421875,-42.79168319702149
the mother drew the girl the crystal .,DRAW,THE,for,an employee brought a business a camera .,BRING,A,to,-43.75048828125,-48.33040618896485,-44.40096282958984,-45.87702178955078
the guest drew the girl the guitar .,DRAW,THE,for,a parent brought a club a meal .,BRING,A,to,-43.58675003051758,-46.71719741821289,-42.97367477416992,-44.84292984008789
the chief drew the boy the newspaper .,DRAW,THE,for,a prince brought a business a motor .,BRING,A,to,-48.93856048583984,-53.23434448242188,-49.292728424072266,-50.44875717163086
