prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew us the hat .,DRAW,THE,for,a lady brought him a pie .,BRING,A,to,-34.75968170166016,-31.03578186035156,-36.25048065185547,-32.54368591308594
the champion drew him the cup .,DRAW,THE,for,a cousin brought you a bag .,BRING,A,to,-40.01023483276367,-36.50014877319336,-40.33681869506836,-35.95415496826172
the leader drew him the telephone .,DRAW,THE,for,an uncle brought you an anchor .,BRING,A,to,-43.599002838134766,-40.60170364379883,-44.57552337646485,-41.044700622558594
the manager drew them the gun .,DRAW,THE,for,a man brought her a book .,BRING,A,to,-31.573102951049805,-30.569381713867188,-32.07488250732422,-30.26264190673828
the cop drew you the coat .,DRAW,THE,for,a girl brought her a coffee .,BRING,A,to,-36.15343475341797,-35.92982482910156,-36.375091552734375,-35.43174362182617
the secretary drew them the card .,DRAW,THE,for,a princess brought us a coffee .,BRING,A,to,-39.9010124206543,-37.36221694946289,-40.6007194519043,-36.55262756347656
the husband drew me the hat .,DRAW,THE,for,a lady brought him a computer .,BRING,A,to,-35.448143005371094,-32.68560791015625,-36.30360412597656,-33.717506408691406
the employee drew it the button .,DRAW,THE,for,a colonel brought me a television .,BRING,A,to,-43.2262077331543,-40.38802337646485,-43.45117950439453,-40.242942810058594
the employee drew us the glass .,DRAW,THE,for,a teacher brought him an engine .,BRING,A,to,-38.0376205444336,-35.786285400390625,-38.57551956176758,-35.72013854980469
the student drew her the cup .,DRAW,THE,for,a mayor brought them an instrument .,BRING,A,to,-46.87871170043945,-45.54547119140625,-47.92392349243164,-45.52682876586914
the princess drew her the plate .,DRAW,THE,for,a colonel brought you a tea .,BRING,A,to,-43.09817123413086,-39.29482269287109,-43.4348258972168,-39.462520599365234
the actress drew you the card .,DRAW,THE,for,an aunt brought him a jacket .,BRING,A,to,-40.9481086730957,-35.24631118774414,-42.15776062011719,-36.30084991455078
the mother drew him the flower .,DRAW,THE,for,a hero brought it a chocolate .,BRING,A,to,-42.84845733642578,-44.49649810791016,-44.14817428588867,-43.94849395751953
the president drew you the iron .,DRAW,THE,for,a soldier brought us a cup .,BRING,A,to,-35.397438049316406,-35.22218704223633,-36.45516204833984,-34.57173156738281
the mother drew them the crystal .,DRAW,THE,for,an employee brought you a camera .,BRING,A,to,-40.72015380859375,-37.73558807373047,-41.29106521606445,-37.81193161010742
the guest drew them the guitar .,DRAW,THE,for,a parent brought us a meal .,BRING,A,to,-40.38057708740234,-38.44137954711914,-41.49013519287109,-38.94701385498047
the chief drew it the newspaper .,DRAW,THE,for,a prince brought us a motor .,BRING,A,to,-46.82012176513672,-44.87312316894531,-46.02734375,-43.89633941650391
the employee drew us the engine .,DRAW,THE,for,a colonel brought you a bottle .,BRING,A,to,-42.77302169799805,-38.48743438720703,-42.77239227294922,-37.876243591308594
the husband drew me the button .,DRAW,THE,for,a professor brought them a tea .,BRING,A,to,-40.062442779541016,-36.58934783935547,-40.62687683105469,-36.93954086303711
the secretary drew you the card .,DRAW,THE,for,a soldier brought me a telephone .,BRING,A,to,-37.83890151977539,-36.0775146484375,-39.94160079956055,-36.99089431762695
the opponent drew you the crystal .,DRAW,THE,for,a father brought me a beer .,BRING,A,to,-38.28549957275391,-36.97598648071289,-38.60214614868164,-35.87432861328125
the professor drew them the key .,DRAW,THE,for,a doctor brought us a tea .,BRING,A,to,-38.78277206420898,-36.33256912231445,-39.60727691650391,-35.664756774902344
the kid drew us the bowl .,DRAW,THE,for,a candidate brought you a chocolate .,BRING,A,to,-47.909912109375,-42.56304931640625,-47.87473678588867,-41.40621948242188
the girl drew him the instrument .,DRAW,THE,for,a mayor brought me a coffee .,BRING,A,to,-44.2383041381836,-40.92633819580078,-45.34713363647461,-40.9141731262207
the pilot drew them the coat .,DRAW,THE,for,an employer brought you a tea .,BRING,A,to,-46.17096328735352,-41.83346557617188,-46.45643615722656,-41.57244110107422
a child drew it a jacket .,DRAW,A,for,the husband brought us the newspaper .,BRING,THE,to,-35.41561508178711,-34.4892692565918,-36.2420768737793,-34.51976776123047
a mother drew you a crystal .,DRAW,A,for,the secretary brought them the beer .,BRING,THE,to,-42.00210571289063,-42.60242462158203,-42.46086883544922,-40.632423400878906
a princess drew them a button .,DRAW,A,for,the champion brought me the hat .,BRING,THE,to,-36.14790344238281,-37.07282638549805,-37.24614715576172,-36.6953239440918
a son drew us a bell .,DRAW,A,for,the parent brought you the chocolate .,BRING,THE,to,-37.95726776123047,-34.83637237548828,-39.11984252929688,-34.04269027709961
a pilot drew you a computer .,DRAW,A,for,the secretary brought her the juice .,BRING,THE,to,-41.99794769287109,-41.6036262512207,-41.14108276367188,-39.9476318359375
a hero drew us an engine .,DRAW,A,for,the pilot brought it the pie .,BRING,THE,to,-37.069915771484375,-38.12910461425781,-37.192169189453125,-37.761695861816406
a sheriff drew it a knife .,DRAW,A,for,the mother brought you the plate .,BRING,THE,to,-39.687007904052734,-39.037376403808594,-39.20709609985352,-37.552955627441406
a worker drew him a key .,DRAW,A,for,the mother brought it the coffee .,BRING,THE,to,-35.802616119384766,-38.67819213867188,-37.58818435668945,-37.71029281616211
a chief drew me a crystal .,DRAW,A,for,the author brought you the guitar .,BRING,THE,to,-43.03968048095703,-41.39574813842773,-44.893009185791016,-42.00956726074219
a student drew you a pot .,DRAW,A,for,the guy brought it the iron .,BRING,THE,to,-34.822872161865234,-37.22880172729492,-35.740325927734375,-37.30025863647461
a husband drew you a wire .,DRAW,A,for,the employee brought us the television .,BRING,THE,to,-36.45004653930664,-37.215087890625,-36.93331146240234,-35.67284393310547
an uncle drew her a telephone .,DRAW,A,for,the lady brought it the key .,BRING,THE,to,-32.11717987060547,-34.086936950683594,-32.71747970581055,-35.02399444580078
an aunt drew him a crystal .,DRAW,A,for,the professor brought us the meal .,BRING,THE,to,-36.62739944458008,-36.417293548583984,-36.7060775756836,-35.09748077392578
a writer drew us a bowl .,DRAW,A,for,the bishop brought you the pie .,BRING,THE,to,-40.15641403198242,-38.0996322631836,-41.461055755615234,-37.77998733520508
a brother drew us a coat .,DRAW,A,for,the lawyer brought me the newspaper .,BRING,THE,to,-35.04215240478516,-33.698204040527344,-36.018280029296875,-33.68287658691406
a prince drew us a jacket .,DRAW,A,for,the lady brought you the cigarette .,BRING,THE,to,-37.997467041015625,-35.36941909790039,-39.356143951416016,-35.545013427734375
a son drew him a telephone .,DRAW,A,for,the worker brought us the pie .,BRING,THE,to,-37.970481872558594,-38.0338020324707,-39.62910079956055,-38.90562438964844
a man drew us a plate .,DRAW,A,for,the worker brought them the coffee .,BRING,THE,to,-36.71346282958984,-35.078548431396484,-37.16671371459961,-34.08641815185547
a soldier drew you a bag .,DRAW,A,for,the actor brought him the glass .,BRING,THE,to,-37.38547134399414,-38.38494491577149,-37.59796142578125,-36.91198348999024
a father drew us a crystal .,DRAW,A,for,the mayor brought you the key .,BRING,THE,to,-38.64596557617188,-35.81033706665039,-39.79004669189453,-35.55677795410156
a winner drew it an instrument .,DRAW,A,for,the guy brought you the beer .,BRING,THE,to,-34.08415985107422,-33.53758239746094,-34.296512603759766,-32.45371627807617
a pilot drew you a telephone .,DRAW,A,for,the husband brought them the beer .,BRING,THE,to,-39.53776168823242,-38.24178314208984,-40.343597412109375,-37.68406295776367
an adult drew them a machine .,DRAW,A,for,the parent brought it the beer .,BRING,THE,to,-33.54015350341797,-34.52017974853516,-34.2900505065918,-33.65445709228516
a guy drew you a glass .,DRAW,A,for,the secretary brought us the chocolate .,BRING,THE,to,-39.82186126708984,-38.259864807128906,-40.6645622253418,-37.37106704711914
a buddy drew you a bell .,DRAW,A,for,the priest brought him the pot .,BRING,THE,to,-33.522438049316406,-34.212623596191406,-34.62419128417969,-34.15562438964844
the employee found us the tea .,FIND,THE,for,a lady brought him a pie .,BRING,A,to,-33.53749084472656,-30.15264129638672,-34.13201904296875,-30.94791603088379
