ppo,pdo,tpo,tdo
a mayor purchased a gun for you .,a mayor purchased you a gun .,the physician sent the cheese to you .,the physician sent you the cheese .
a soldier bought a crystal for you .,a soldier bought you a crystal .,the physician sent the cheese to you .,the physician sent you the cheese .
a son bought a telephone for them .,a son bought them a telephone .,the physician sent the cheese to me .,the physician sent me the cheese .
a boy made a television for it .,a boy made it a television .,the physician sent the cheese to him .,the physician sent him the cheese .
a chief saved a camera for me .,a chief saved me a camera .,the physician sent the cheese to us .,the physician sent us the cheese .
a minister found a meal for them .,a minister found them a meal .,the physician sent the cheese to him .,the physician sent him the cheese .
a girl found a coffee for me .,a girl found me a coffee .,the physician sent the cheese to it .,the physician sent it the cheese .
a leader left a pie for me .,a leader left me a pie .,the physician sent the cheese to you .,the physician sent you the cheese .
an employee left a pot for him .,an employee left him a pot .,the physician sent the cheese to you .,the physician sent you the cheese .
an attorney saved a bowl for it .,an attorney saved it a bowl .,the physician sent the cheese to me .,the physician sent me the cheese .
a secretary sold a juice to you .,a secretary sold you a juice .,the doctor delivered the anchor for you .,the doctor delivered you the anchor .
a buddy promised a meal to her .,a buddy promised her a meal .,the doctor delivered the anchor for me .,the doctor delivered me the anchor .
a cop showed a book to you .,a cop showed you a book .,the doctor delivered the anchor for me .,the doctor delivered me the anchor .
a captain threw a pie to me .,a captain threw me a pie .,the doctor delivered the anchor for me .,the doctor delivered me the anchor .
a parent supplied a meal to me .,a parent supplied me a meal .,the doctor delivered the anchor for you .,the doctor delivered you the anchor .
a singer fed a chicken to you .,a singer fed you a chicken .,the doctor delivered the anchor for you .,the doctor delivered you the anchor .
an aunt sold a beer to him .,an aunt sold him a beer .,the doctor delivered the anchor for me .,the doctor delivered me the anchor .
a princess supplied a cheese to her .,a princess supplied her a cheese .,the doctor delivered the anchor for me .,the doctor delivered me the anchor .
a girl promised a chocolate to you .,a girl promised you a chocolate .,the doctor delivered the anchor for them .,the doctor delivered them the anchor .
a son fed a chicken to them .,a son fed them a chicken .,the doctor delivered the anchor for you .,the doctor delivered you the anchor .
