text,structure,verb,sen_prob,perplexity
a princess brought a corporation an instrument .,DO,BRING,-52.25946044921875,1746.9688720703125
a buddy left an uncle a flower .,DO,LEAVE,-55.442264556884766,2752.662353515625
the student purchased the club the coffee .,DO,PURCHASE,-50.660552978515625,1390.226806640625
the friend found the woman the juice .,DO,FIND,-46.978912353515625,821.6163330078125
a king took a parent a key .,DO,TAKE,-48.848419189453125,1073.1417236328125
a prince designed a pilot a box .,DO,DESIGN,-49.025962829589844,1100.70849609375
the author threw the nurse the cigarette .,DO,THROW,-48.778194427490234,1062.4298095703125
a nurse supplied an administration a glass .,DO,SUPPLY,-54.654659271240234,2459.734619140625
a cop got an administration a jacket .,DO,GET,-53.09337615966797,1967.9906005859375
a corporation designed a band a key .,DO,DESIGN,-47.74578094482422,916.7420043945312
a soldier bought a leader a beer .,DO,BUY,-49.089332580566406,1110.71826171875
the actor fed the priest the salad .,DO,FEED,-52.87439727783203,1907.379638671875
the partner fed the employer the chicken .,DO,FEED,-55.80952453613281,2900.9384765625
a boy fed a scientist a meal .,DO,FEED,-46.77783203125,798.3505249023438
an opponent took an attorney a button .,DO,TAKE,-49.30500411987305,1145.4722900390625
an actor sold a band a bowl .,DO,SELL,-49.54880905151367,1186.0711669921875
a friend sent a band a juice .,DO,SEND,-48.47042465209961,1016.7297973632812
a captain made an actor a television .,DO,MAKE,-43.01581573486328,466.43414306640625
the army designed the corporation the cigarette .,DO,DESIGN,-55.14982604980469,2640.03369140625
the parent brought the buddy the chocolate .,DO,BRING,-54.45389175415039,2390.18896484375
the mother left the corporation the juice .,DO,LEAVE,-50.176578521728516,1297.355224609375
the lawyer brought the club the beer .,DO,BRING,-45.20716094970703,637.89013671875
the guest caught the pilot the motor .,DO,CATCH,-51.792755126953125,1634.292724609375
the uncle got the aunt the coffee .,DO,GET,-49.76734161376953,1223.68310546875
the actor kept the band the guitar .,DO,KEEP,-43.7411994934082,517.3621215820312
the secretary left the army the chicken .,DO,LEAVE,-51.205406188964844,1502.759521484375
a lawyer made a cousin a book .,DO,MAKE,-43.81739807128906,523.024658203125
the doctor threw the chief the box .,DO,THROW,-50.616119384765625,1381.4300537109375
the doctor took the kid the telephone .,DO,TAKE,-46.18296813964844,733.3090209960938
the candidate showed the priest the candy .,DO,SHOW,-50.93299102783203,1445.4007568359375
an attorney made a lawyer a key .,DO,MAKE,-41.99244689941406,402.99383544921875
the kid supplied the club the anchor .,DO,SUPPLY,-55.090946197509766,2617.92041015625
a husband supplied an administration a candy .,DO,SUPPLY,-60.98127365112305,6073.01708984375
an aunt caught an author a cigarette .,DO,CATCH,-51.70048522949219,1612.8917236328125
a guy showed an army a book .,DO,SHOW,-45.52967834472656,667.9678344726562
a priest bought a manager a chicken .,DO,BUY,-52.29144287109375,1754.9688720703125
the attorney supplied the administration the guitar .,DO,SUPPLY,-56.04949951171875,3002.11328125
the professor took the lady the glass .,DO,TAKE,-47.45769500732422,879.779296875
a chief found a cousin a chicken .,DO,FIND,-50.450904846191406,1349.207275390625
a king left an army a camera .,DO,LEAVE,-50.3153076171875,1323.3232421875
a winner supplied a husband a chocolate .,DO,SUPPLY,-57.095314025878906,3485.873046875
a doctor gave a company a coffee .,DO,GIVE,-42.9338264465332,461.0027770996094
a husband kept a captain a bag .,DO,KEEP,-49.30858612060547,1146.05859375
a manager caught an aunt a television .,DO,CATCH,-55.941688537597656,2956.230224609375
an attorney kept a band a cheese .,DO,KEEP,-51.17839813232422,1496.9725341796875
an uncle sold an administration a salad .,DO,SELL,-50.582210540771484,1374.7545166015625
the pilot threw the soldier the card .,DO,THROW,-49.63412857055664,1200.615966796875
the sheriff promised the man the motor .,DO,PROMISE,-49.82942199707031,1234.583740234375
the candidate sent the child the chicken .,DO,SEND,-46.877349853515625,809.7816162109375
the actress promised the singer the chocolate .,DO,PROMISE,-48.225372314453125,981.75244140625
the professor promised the prince the meal .,DO,PROMISE,-49.356693267822266,1153.9620361328125
the mayor drew the parent the cigarette .,DO,DRAW,-58.67951965332031,4371.1826171875
a captain threw a physician an iron .,DO,THROW,-53.20818328857422,2000.533935546875
a prince drew an actor a jacket .,DO,DRAW,-52.47262954711914,1800.9873046875
a manager showed a son a juice .,DO,SHOW,-53.658058166503906,2133.325439453125
a guy purchased a mother a cheese .,DO,PURCHASE,-51.31639099121094,1526.775634765625
the leader bought the adult the juice .,DO,BUY,-50.807151794433594,1419.64892578125
the actress found the president the computer .,DO,FIND,-49.120521545410156,1115.6781005859375
a writer supplied a company a hat .,DO,SUPPLY,-50.96942901611328,1452.9443359375
a friend drew a club a newspaper .,DO,DRAW,-46.830078125,804.3314208984375
a cop supplied a minister a bell .,DO,SUPPLY,-57.96430969238281,3946.625
the adult showed the army the chocolate .,DO,SHOW,-52.47846221923828,1802.488525390625
the writer showed the bishop the tea .,DO,SHOW,-51.850799560546875,1647.9007568359375
a sheriff made a corporation an iron .,DO,MAKE,-50.70320510864258,1398.7235107421875
the nurse gave the club the juice .,DO,GIVE,-45.828453063964844,697.0952758789062
the candidate left the lawyer the coffee .,DO,LEAVE,-51.961143493652344,1674.0830078125
an attorney threw a champion a candy .,DO,THROW,-56.44102478027344,3174.812744140625
the lawyer supplied the guy the meal .,DO,SUPPLY,-52.322269439697266,1762.7144775390625
a teacher drew a cop a crystal .,DO,DRAW,-56.21809005737305,3075.294921875
the manager delivered the mayor the button .,DO,DELIVER,-50.263954162597656,1313.6505126953125
a guy drew a reader a cup .,DO,DRAW,-48.75602340698242,1059.070068359375
a kid sent an author a candy .,DO,SEND,-53.5645866394043,2105.028076171875
a mayor promised a sheriff a coffee .,DO,PROMISE,-53.96236801147461,2228.112548828125
the secretary supplied the club the ball .,DO,SUPPLY,-47.586544036865234,896.123291015625
a colonel sent an administration a chocolate .,DO,SEND,-60.427608489990234,5611.177734375
the manager drew the man the engine .,DO,DRAW,-47.859249114990234,931.7233276367188
a captain left a buddy a ball .,DO,LEAVE,-54.34278106689453,2352.549072265625
the secretary showed the father the tea .,DO,SHOW,-51.167694091796875,1494.6851806640625
a physician gave a club a cheese .,DO,GIVE,-47.99966812133789,950.602294921875
the reader caught the opponent the log .,DO,CATCH,-50.701316833496094,1398.3463134765625
an adult showed a band a pot .,DO,SHOW,-49.863197326660156,1240.5550537109375
a mayor designed a bishop a cigarette .,DO,DESIGN,-52.303565979003906,1758.010986328125
an employee sold a club a candy .,DO,SELL,-49.068519592285156,1107.4205322265625
an attorney fed a manager a cheese .,DO,FEED,-53.01365280151367,1945.704345703125
the parent promised the priest the juice .,DO,PROMISE,-50.47344970703125,1353.5596923828125
the minister kept the bishop the chicken .,DO,KEEP,-53.214569091796875,2002.3597412109375
the mother delivered the reader the tea .,DO,DELIVER,-46.10063552856445,724.7344970703125
the scientist supplied the cop the coffee .,DO,SUPPLY,-58.33888244628906,4163.56298828125
a captain drew a guy a gun .,DO,DRAW,-46.784523010253906,799.1139526367188
the employer sold the actor the key .,DO,SELL,-50.77549362182617,1413.242919921875
the opponent designed the aunt the ball .,DO,DESIGN,-56.455055236816406,3181.182373046875
a cousin sold a guest a chicken .,DO,SELL,-53.56698989868164,2105.7509765625
the mayor gave the administration the coffee .,DO,GIVE,-44.462581634521484,573.5227661132812
the worker threw the brother the cheese .,DO,THROW,-54.63352966308594,2452.3212890625
the uncle sold the administration the pie .,DO,SELL,-53.60387420654297,2116.875732421875
a scientist found a company a salad .,DO,FIND,-51.743804931640625,1622.904052734375
a singer threw a parent a candy .,DO,THROW,-53.85578918457031,2194.445068359375
a physician promised a brother a cheese .,DO,PROMISE,-51.310157775878906,1525.416748046875
the captain designed the author the bell .,DO,DESIGN,-51.472084045410156,1561.1143798828125
a writer threw a daughter a salad .,DO,THROW,-53.10791778564453,1972.0833740234375
the student purchased the actress the coffee .,DO,PURCHASE,-54.58769607543945,2436.316650390625
the student kept the employer the tea .,DO,KEEP,-54.25682067871094,2323.83642578125
a son showed a band a cheese .,DO,SHOW,-47.17491149902344,844.9464721679688
a champion drew a club a cigarette .,DO,DRAW,-51.46748352050781,1560.0887451171875
the woman bought the son the juice .,DO,BUY,-48.42110824584961,1009.5918579101562
the wife bought the physician the salad .,DO,BUY,-56.78504943847656,3334.74072265625
a parent showed a sheriff a bowl .,DO,SHOW,-54.586219787597656,2435.802978515625
an attorney left a princess a wire .,DO,LEAVE,-54.220985412597656,2311.97021484375
the cousin drew the actor the television .,DO,DRAW,-50.87550735473633,1433.5797119140625
a guest designed a secretary an instrument .,DO,DESIGN,-53.41463088989258,2060.413330078125
the captain brought the candidate the jacket .,DO,BRING,-49.40745544433594,1162.360595703125
the kid bought the sheriff the meal .,DO,BUY,-54.6063117980957,2442.804443359375
a boy caught a mother a motor .,DO,CATCH,-49.00804138183594,1097.8939208984375
the scientist sold the administration the cigarette .,DO,SELL,-56.18872833251953,3062.422607421875
the husband kept the band the key .,DO,KEEP,-46.68470001220703,787.7991943359375
a cop sold a writer an instrument .,DO,SELL,-54.800960540771484,2511.684814453125
the manager delivered the guest the telephone .,DO,DELIVER,-46.14451217651367,729.29150390625
a doctor found a son a beer .,DO,FIND,-45.635093688964844,678.1031494140625
the adult supplied the company the candy .,DO,SUPPLY,-51.0294303894043,1465.4520263671875
the parent threw the priest the candy .,DO,THROW,-54.0376091003418,2252.190673828125
a leader threw a pilot a coffee .,DO,THROW,-50.21763229370117,1304.9862060546875
a guy brought a club a tea .,DO,BRING,-50.3608512878418,1331.9610595703125
the physician sold the prince the beer .,DO,SELL,-52.82438659667969,1893.801025390625
