text,structure,verb,det,prep
a lady brought a pie to him .,PD,BRING,A,to
a lady brought him a pie .,DO,BRING,A,to
a cousin brought a bag to you .,PD,BRING,A,to
a cousin brought you a bag .,DO,BRING,A,to
an uncle brought an anchor to you .,PD,BRING,A,to
an uncle brought you an anchor .,DO,BRING,A,to
a man brought a book to her .,PD,BRING,A,to
a man brought her a book .,DO,BRING,A,to
a girl brought a coffee to her .,PD,BRING,A,to
a girl brought her a coffee .,DO,BRING,A,to
a princess brought a coffee to us .,PD,BRING,A,to
a princess brought us a coffee .,DO,BRING,A,to
a lady brought a computer to him .,PD,BRING,A,to
a lady brought him a computer .,DO,BRING,A,to
a colonel brought a television to me .,PD,BRING,A,to
a colonel brought me a television .,DO,BRING,A,to
a teacher brought an engine to him .,PD,BRING,A,to
a teacher brought him an engine .,DO,BRING,A,to
a mayor brought an instrument to them .,PD,BRING,A,to
a mayor brought them an instrument .,DO,BRING,A,to
a colonel brought a tea to you .,PD,BRING,A,to
a colonel brought you a tea .,DO,BRING,A,to
an aunt brought a jacket to him .,PD,BRING,A,to
an aunt brought him a jacket .,DO,BRING,A,to
a hero brought a chocolate to it .,PD,BRING,A,to
a hero brought it a chocolate .,DO,BRING,A,to
a soldier brought a cup to us .,PD,BRING,A,to
a soldier brought us a cup .,DO,BRING,A,to
an employee brought a camera to you .,PD,BRING,A,to
an employee brought you a camera .,DO,BRING,A,to
a parent brought a meal to us .,PD,BRING,A,to
a parent brought us a meal .,DO,BRING,A,to
a prince brought a motor to us .,PD,BRING,A,to
a prince brought us a motor .,DO,BRING,A,to
a colonel brought a bottle to you .,PD,BRING,A,to
a colonel brought you a bottle .,DO,BRING,A,to
a professor brought a tea to them .,PD,BRING,A,to
a professor brought them a tea .,DO,BRING,A,to
a soldier brought a telephone to me .,PD,BRING,A,to
a soldier brought me a telephone .,DO,BRING,A,to
a father brought a beer to me .,PD,BRING,A,to
a father brought me a beer .,DO,BRING,A,to
a doctor brought a tea to us .,PD,BRING,A,to
a doctor brought us a tea .,DO,BRING,A,to
a candidate brought a chocolate to you .,PD,BRING,A,to
a candidate brought you a chocolate .,DO,BRING,A,to
a mayor brought a coffee to me .,PD,BRING,A,to
a mayor brought me a coffee .,DO,BRING,A,to
an employer brought a tea to you .,PD,BRING,A,to
an employer brought you a tea .,DO,BRING,A,to
the husband brought the newspaper to us .,PD,BRING,THE,to
the husband brought us the newspaper .,DO,BRING,THE,to
the secretary brought the beer to them .,PD,BRING,THE,to
the secretary brought them the beer .,DO,BRING,THE,to
the champion brought the hat to me .,PD,BRING,THE,to
the champion brought me the hat .,DO,BRING,THE,to
the parent brought the chocolate to you .,PD,BRING,THE,to
the parent brought you the chocolate .,DO,BRING,THE,to
the secretary brought the juice to her .,PD,BRING,THE,to
the secretary brought her the juice .,DO,BRING,THE,to
the pilot brought the pie to it .,PD,BRING,THE,to
the pilot brought it the pie .,DO,BRING,THE,to
the mother brought the plate to you .,PD,BRING,THE,to
the mother brought you the plate .,DO,BRING,THE,to
the mother brought the coffee to it .,PD,BRING,THE,to
the mother brought it the coffee .,DO,BRING,THE,to
the author brought the guitar to you .,PD,BRING,THE,to
the author brought you the guitar .,DO,BRING,THE,to
the guy brought the iron to it .,PD,BRING,THE,to
the guy brought it the iron .,DO,BRING,THE,to
the employee brought the television to us .,PD,BRING,THE,to
the employee brought us the television .,DO,BRING,THE,to
the lady brought the key to it .,PD,BRING,THE,to
the lady brought it the key .,DO,BRING,THE,to
the professor brought the meal to us .,PD,BRING,THE,to
the professor brought us the meal .,DO,BRING,THE,to
the bishop brought the pie to you .,PD,BRING,THE,to
the bishop brought you the pie .,DO,BRING,THE,to
the lawyer brought the newspaper to me .,PD,BRING,THE,to
the lawyer brought me the newspaper .,DO,BRING,THE,to
the lady brought the cigarette to you .,PD,BRING,THE,to
the lady brought you the cigarette .,DO,BRING,THE,to
the worker brought the pie to us .,PD,BRING,THE,to
the worker brought us the pie .,DO,BRING,THE,to
the worker brought the coffee to them .,PD,BRING,THE,to
the worker brought them the coffee .,DO,BRING,THE,to
the actor brought the glass to him .,PD,BRING,THE,to
the actor brought him the glass .,DO,BRING,THE,to
the mayor brought the key to you .,PD,BRING,THE,to
the mayor brought you the key .,DO,BRING,THE,to
the guy brought the beer to you .,PD,BRING,THE,to
the guy brought you the beer .,DO,BRING,THE,to
the husband brought the beer to them .,PD,BRING,THE,to
the husband brought them the beer .,DO,BRING,THE,to
the parent brought the beer to it .,PD,BRING,THE,to
the parent brought it the beer .,DO,BRING,THE,to
the secretary brought the chocolate to us .,PD,BRING,THE,to
the secretary brought us the chocolate .,DO,BRING,THE,to
the priest brought the pot to him .,PD,BRING,THE,to
the priest brought him the pot .,DO,BRING,THE,to
a sheriff drew a knife for him .,PD,DRAW,A,for
a sheriff drew him a knife .,DO,DRAW,A,for
an uncle drew a card for us .,PD,DRAW,A,for
an uncle drew us a card .,DO,DRAW,A,for
a prince drew a wire for us .,PD,DRAW,A,for
