text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a lady brought a pie to him .,PD,BRING,A,to,-50.7798080444336,▁A|▁lady|▁brought|▁a|▁pie|▁to|▁him|.,"[-11.423389434814453, -9.04840087890625, -7.636134147644043, -1.2767843008041382, -6.910497665405273, -0.19140784442424774, -12.460260391235352, -1.8329315185546875]"
a lady brought him a pie .,DO,BRING,A,to,-43.057430267333984,▁A|▁lady|▁brought|▁him|▁a|▁pie|.,"[-11.423389434814453, -9.04840087890625, -7.636134624481201, -7.547916889190674, -1.0199933052062988, -4.48178768157959, -1.89980947971344]"
a cousin brought a bag to you .,PD,BRING,A,to,-50.68853378295898,▁A|▁cousin|▁brought|▁a|▁bag|▁to|▁you|.,"[-11.423389434814453, -10.486562728881836, -8.263916015625, -1.9777339696884155, -4.471216201782227, -5.729977607727051, -6.476315498352051, -1.859423041343689]"
a cousin brought you a bag .,DO,BRING,A,to,-49.73801040649414,▁A|▁cousin|▁brought|▁you|▁a|▁bag|.,"[-11.423389434814453, -10.486562728881836, -8.263916969299316, -5.413699150085449, -1.427353858947754, -4.693602561950684, -8.029486656188965]"
an uncle brought an anchor to you .,PD,BRING,A,to,-53.62778091430664,▁An|▁uncle|▁brought|▁an|▁anchor|▁to|▁you|.,"[-11.601554870605469, -9.93321418762207, -7.984922885894775, -4.414208889007568, -9.627415657043457, -0.752243161201477, -7.21036434173584, -2.1038601398468018]"
an uncle brought you an anchor .,DO,BRING,A,to,-50.6168327331543,▁An|▁uncle|▁brought|▁you|▁an|▁anchor|.,"[-11.601554870605469, -9.93321418762207, -7.984922885894775, -7.104542255401611, -4.633025169372559, -7.471207618713379, -1.8883661031723022]"
a man brought a book to her .,PD,BRING,A,to,-44.64645004272461,▁A|▁man|▁brought|▁a|▁book|▁to|▁her|.,"[-11.423389434814453, -5.5709428787231445, -7.715663909912109, -1.3172870874404907, -7.445487976074219, -0.49033093452453613, -8.193589210510254, -2.489762306213379]"
a man brought her a book .,DO,BRING,A,to,-44.535865783691406,▁A|▁man|▁brought|▁her|▁a|▁book|.,"[-11.423389434814453, -5.5709428787231445, -7.715663909912109, -10.241552352905273, -2.693983793258667, -4.839658260345459, -2.050673723220825]"
a girl brought a coffee to her .,PD,BRING,A,to,-49.304931640625,▁A|▁girl|▁brought|▁a|▁coffee|▁to|▁her|.,"[-11.423389434814453, -7.585927963256836, -8.318146705627441, -1.178885579109192, -8.38576889038086, -2.831939458847046, -0.835202157497406, -8.745668411254883]"
a girl brought her a coffee .,DO,BRING,A,to,-47.04362869262695,▁A|▁girl|▁brought|▁her|▁a|▁coffee|.,"[-11.423389434814453, -7.585927963256836, -8.318146705627441, -0.7909036874771118, -7.877285957336426, -8.250869750976562, -2.7971031665802]"
a princess brought a coffee to us .,PD,BRING,A,to,-56.72721099853516,▁A|▁prin|cess|▁brought|▁a|▁coffee|▁to|▁us|.,"[-11.423389434814453, -10.609856605529785, -0.016750169917941093, -9.732223510742188, -2.2410192489624023, -8.508705139160156, -2.508218288421631, -9.493818283081055, -2.193227767944336]"
a princess brought us a coffee .,DO,BRING,A,to,-48.95932388305664,▁A|▁prin|cess|▁brought|▁us|▁a|▁coffee|.,"[-11.423389434814453, -10.609856605529785, -0.016750169917941093, -9.732223510742188, -5.87631893157959, -1.5159311294555664, -7.405448913574219, -2.3794045448303223]"
a lady brought a computer to him .,PD,BRING,A,to,-50.196327209472656,▁A|▁lady|▁brought|▁a|▁computer|▁to|▁him|.,"[-11.423389434814453, -9.04840087890625, -7.636134147644043, -1.2767843008041382, -9.012540817260742, -0.14745864272117615, -9.191155433654785, -2.4604649543762207]"
a lady brought him a computer .,DO,BRING,A,to,-49.49577331542969,▁A|▁lady|▁brought|▁him|▁a|▁computer|.,"[-11.423389434814453, -9.04840087890625, -7.636134624481201, -7.547916889190674, -1.0199933052062988, -9.945656776428223, -2.8742809295654297]"
a colonel brought a television to me .,PD,BRING,A,to,-56.01675033569336,▁A|▁colon|el|▁brought|▁a|▁television|▁to|▁me|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -1.3735599517822266, -9.196402549743652, -1.3630934953689575, -7.729415416717529, -2.0076115131378174]"
a colonel brought me a television .,DO,BRING,A,to,-52.00411605834961,▁A|▁colon|el|▁brought|▁me|▁a|▁television|.,"[-11.423389434814453, -9.612052917480469, -3.346273899078369, -9.96495532989502, -3.5345897674560547, -1.3173657655715942, -9.989486694335938, -2.8159964084625244]"
a teacher brought an engine to him .,PD,BRING,A,to,-55.93819046020508,▁A|▁teacher|▁brought|▁an|▁engine|▁to|▁him|.,"[-11.423389434814453, -7.834280014038086, -7.724752426147461, -3.9938268661499023, -10.499307632446289, -0.9656836986541748, -11.250296592712402, -2.2466530799865723]"
a teacher brought him an engine .,DO,BRING,A,to,-49.0260009765625,▁A|▁teacher|▁brought|▁him|▁an|▁engine|.,"[-11.423389434814453, -7.834280014038086, -7.7247514724731445, -6.926263332366943, -4.636165142059326, -8.024675369262695, -2.4564781188964844]"
a mayor brought an instrument to them .,PD,BRING,A,to,-59.566932678222656,▁A|▁mayor|▁brought|▁an|▁instrument|▁to|▁them|.,"[-11.423389434814453, -10.422484397888184, -9.422684669494629, -3.667393922805786, -9.339017868041992, -0.9808009266853333, -11.832980155944824, -2.4781811237335205]"
a mayor brought them an instrument .,DO,BRING,A,to,-56.99576950073242,▁A|▁mayor|▁brought|▁them|▁an|▁instrument|.,"[-11.423389434814453, -10.422484397888184, -9.422682762145996, -8.435656547546387, -6.632801532745361, -7.972879409790039, -2.685873508453369]"
