prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a friend gave a reader a beer .,the author brought the guitar to the company .,DO,PD,GIVE,BRING,A,THE,to,to,-43.23619079589844,"[-3.1488082, -6.6833577, -9.5455, -2.6480212, -10.298456, -1.1606053, -1.3833312, -6.6065197, -1.7615871]"
a friend gave a reader a beer .,the author brought the company the guitar .,DO,DO,GIVE,BRING,A,THE,to,to,-45.20501708984375,"[-3.1488113, -6.6833563, -9.545498, -2.6480212, -7.042038, -4.787451, -9.620521, -1.7293181]"
a friend gave a secretary a tea .,the guy delivered the juice for the uncle .,DO,PD,GIVE,DELIVER,A,THE,to,for,-48.37361526489258,"[-3.1684568, -8.156764, -9.984035, -1.270534, -8.457759, -3.9616866, -1.1561098, -11.459101, -0.75916904]"
a friend gave a secretary a tea .,the guy delivered the uncle the juice .,DO,DO,GIVE,DELIVER,A,THE,to,for,-46.46128463745117,"[-3.1684628, -8.156765, -9.984036, -1.270535, -12.268219, -3.032923, -7.911997, -0.66834545]"
a friend gave a tea to a secretary .,the guy delivered the juice for the uncle .,PD,PD,GIVE,DELIVER,A,THE,to,for,-48.31709289550781,"[-3.2278974, -8.286114, -10.053383, -1.1630753, -8.553676, -3.7093441, -0.9529427, -11.608295, -0.7623646]"
a friend gave a tea to a secretary .,the guy delivered the uncle the juice .,PD,DO,GIVE,DELIVER,A,THE,to,for,-47.67543411254883,"[-3.2278957, -8.286113, -10.053383, -1.1630747, -12.694822, -3.5028915, -7.957451, -0.7898042]"
a friend gave an administration a juice .,the child got the pie for the business .,DO,PD,GIVE,GET,A,THE,to,for,-46.42472839355469,"[-3.1629252, -8.40241, -7.254903, -2.7304878, -8.64633, -4.177624, -1.9729981, -8.902604, -1.1744492]"
a friend gave an administration a juice .,the child got the business the pie .,DO,DO,GIVE,GET,A,THE,to,for,-49.09309005737305,"[-3.1629243, -8.402409, -7.254904, -2.7304873, -8.397765, -6.334139, -11.352091, -1.4583708]"
a friend gave an administration a juice .,the candidate sold the book to the husband .,DO,PD,GIVE,SELL,A,THE,to,to,-42.580711364746094,"[-3.1629252, -9.455692, -9.994064, -1.9361845, -4.6827374, -1.9742721, -1.9163151, -8.086251, -1.3722668]"
a friend gave an administration a juice .,the candidate sold the husband the book .,DO,DO,GIVE,SELL,A,THE,to,to,-45.39881896972656,"[-3.1629243, -9.45569, -9.994064, -1.9361843, -10.348484, -3.6949096, -5.492861, -1.3137022]"
a friend gave an administration a juice .,the cop threw the beer to the sheriff .,DO,PD,GIVE,THROW,A,THE,to,to,-45.418540954589844,"[-3.1629252, -10.179506, -9.061964, -1.4677916, -5.8798857, -3.9947352, -0.71053207, -9.342774, -1.6184292]"
a friend gave an administration a juice .,the cop threw the sheriff the beer .,DO,DO,GIVE,THROW,A,THE,to,to,-43.31085205078125,"[-3.1629243, -10.179506, -9.061966, -1.4677916, -8.121857, -4.619465, -5.5533767, -1.1439627]"
a friend got a bag for an army .,the sheriff showed the bowl to the club .,PD,PD,GET,SHOW,A,THE,for,to,-46.64550018310547,"[-3.1882532, -9.478701, -8.796004, -2.3379035, -10.707943, -1.502652, -1.0036952, -7.8220425, -1.8083048]"
a friend got a bag for an army .,the sheriff showed the club the bowl .,PD,DO,GET,SHOW,A,THE,for,to,-46.14399337768555,"[-3.1882505, -9.478702, -8.796008, -2.3379006, -8.864704, -2.381459, -9.135515, -1.9614525]"
