text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a lady brought a pie to a club .,PD,BRING,A,to,-41.00347518920898,▁A|▁lady|▁brought|▁a|▁pie|▁to|▁a|▁club|.,"[-4.20621395111084, -8.734609603881836, -6.4457478523254395, -1.3401566743850708, -8.830141067504883, -0.5015961527824402, -1.3527846336364746, -6.963181972503662, -2.6290476322174072]"
a lady brought a club a pie .,DO,BRING,A,to,-45.46480941772461,▁A|▁lady|▁brought|▁a|▁club|▁a|▁pie|.,"[-4.20621395111084, -8.734609603881836, -6.445747375488281, -1.3401548862457275, -8.943428039550781, -6.095309734344482, -7.320853233337402, -2.378495216369629]"
a cousin brought a bag to a company .,PD,BRING,A,to,-47.40406799316406,▁A|▁cousin|▁brought|▁a|▁bag|▁to|▁a|▁company|.,"[-4.20621395111084, -10.634753227233887, -6.688499450683594, -2.5480709075927734, -3.7902438640594482, -4.286914825439453, -2.582035541534424, -7.4673004150390625, -5.200037002563477]"
a cousin brought a company a bag .,DO,BRING,A,to,-52.42717742919922,▁A|▁cousin|▁brought|▁a|▁company|▁a|▁bag|.,"[-4.20621395111084, -10.634753227233887, -6.688499927520752, -2.548069953918457, -10.124946594238281, -6.7997565269470215, -5.799213409423828, -5.625722885131836]"
an uncle brought an anchor to a priest .,PD,BRING,A,to,-50.9047966003418,▁An|▁uncle|▁brought|▁an|▁anchor|▁to|▁a|▁priest|.,"[-6.080687522888184, -9.927350044250488, -6.611840724945068, -4.5163774490356445, -9.00436019897461, -1.8996354341506958, -2.331976890563965, -8.202853202819824, -2.329712390899658]"
an uncle brought a priest an anchor .,DO,BRING,A,to,-52.84624862670898,▁An|▁uncle|▁brought|▁a|▁priest|▁an|▁anchor|.,"[-6.080687522888184, -9.927350044250488, -6.611842155456543, -2.176891326904297, -9.3673095703125, -7.20311164855957, -9.021448135375977, -2.457608222961426]"
a man brought a book to an administration .,PD,BRING,A,to,-46.98641586303711,▁A|▁man|▁brought|▁a|▁book|▁to|▁an|▁administration|.,"[-4.20621395111084, -5.117517471313477, -7.589262962341309, -1.2211849689483643, -8.453474044799805, -1.1585266590118408, -4.105114936828613, -10.321221351623535, -4.813899993896484]"
a man brought an administration a book .,DO,BRING,A,to,-46.96271896362305,▁A|▁man|▁brought|▁an|▁administration|▁a|▁book|.,"[-4.20621395111084, -5.117517471313477, -7.589263916015625, -4.120367527008057, -10.244001388549805, -7.32893180847168, -5.52920389175415, -2.8272204399108887]"
a girl brought a coffee to a guy .,PD,BRING,A,to,-37.54464340209961,▁A|▁girl|▁brought|▁a|▁coffee|▁to|▁a|▁gu|y|.,"[-4.20621395111084, -7.445895195007324, -7.604894638061523, -1.5243937969207764, -7.388216018676758, -2.023294448852539, -2.053464412689209, -2.6515495777130127, -0.0014277036534622312, -2.645296812057495]"
a girl brought a guy a coffee .,DO,BRING,A,to,-36.59185791015625,▁A|▁girl|▁brought|▁a|▁gu|y|▁a|▁coffee|.,"[-4.20621395111084, -7.445895195007324, -7.604894638061523, -1.5243937969207764, -5.204907417297363, -0.4771255552768707, -3.752027988433838, -4.378294944763184, -1.9981052875518799]"
