prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew the attorney the hat .,DRAW,THE,for,a lady brought a club a pie .,BRING,A,to,-41.45654678344727,-45.49673461914063,-43.07525253295898,-45.19868087768555
the champion drew the buddy the cup .,DRAW,THE,for,a cousin brought a company a bag .,BRING,A,to,-46.061805725097656,-45.46993255615234,-46.10271835327149,-43.91715621948242
the leader drew the company the telephone .,DRAW,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-47.453590393066406,-47.63674545288086,-47.28597640991211,-47.23228073120117
the manager drew the band the gun .,DRAW,THE,for,a man brought an administration a book .,BRING,A,to,-45.59822082519531,-47.305763244628906,-45.75699615478516,-46.84274673461914
the cop drew the club the coat .,DRAW,THE,for,a girl brought a guy a coffee .,BRING,A,to,-37.59718704223633,-34.22648239135742,-40.81835174560547,-37.626861572265625
the secretary drew the band the card .,DRAW,THE,for,a princess brought an adult a coffee .,BRING,A,to,-48.77220916748047,-48.067325592041016,-47.61613464355469,-45.84746170043945
the husband drew the administration the hat .,DRAW,THE,for,a lady brought an employer a computer .,BRING,A,to,-47.33921813964844,-44.62238311767578,-49.1821174621582,-43.69120407104492
the employee drew the army the button .,DRAW,THE,for,a colonel brought a candidate a television .,BRING,A,to,-41.727813720703125,-44.47591400146485,-43.48898315429688,-44.61843490600586
the employee drew the lawyer the glass .,DRAW,THE,for,a teacher brought a singer an engine .,BRING,A,to,-47.21068572998047,-49.42432403564453,-48.95062255859375,-47.79312515258789
the student drew the company the cup .,DRAW,THE,for,a mayor brought a band an instrument .,BRING,A,to,-47.94679641723633,-46.20246124267578,-49.38410568237305,-45.60566329956055
the princess drew the physician the plate .,DRAW,THE,for,a colonel brought a business a tea .,BRING,A,to,-52.92310333251953,-51.50617980957031,-52.479740142822266,-51.02289962768555
the actress drew the company the card .,DRAW,THE,for,an aunt brought an army a jacket .,BRING,A,to,-56.34337615966797,-55.30662155151367,-56.54886245727539,-55.2539291381836
the mother drew the business the flower .,DRAW,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-49.55987548828125,-48.337799072265625,-49.78220748901367,-45.87208938598633
the president drew the author the iron .,DRAW,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-42.61728286743164,-41.19282150268555,-41.76578140258789,-36.946285247802734
the mother drew the girl the crystal .,DRAW,THE,for,an employee brought a business a camera .,BRING,A,to,-44.75756072998047,-48.77382659912109,-45.65843963623047,-49.17557144165039
the guest drew the girl the guitar .,DRAW,THE,for,a parent brought a club a meal .,BRING,A,to,-42.714691162109375,-41.14640045166016,-43.30753326416016,-41.84710693359375
the chief drew the boy the newspaper .,DRAW,THE,for,a prince brought a business a motor .,BRING,A,to,-52.79147720336914,-52.13090515136719,-52.54259490966797,-51.42152404785156
the employee drew the king the engine .,DRAW,THE,for,a colonel brought a business a bottle .,BRING,A,to,-48.86088180541992,-48.49187850952149,-49.573951721191406,-47.99493408203125
