prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
the scientist showed the bag to them .,a child saved a juice for her .,PD,PD,SHOW,SAVE,THE,A,to,for,-45.9398193359375,"[-3.632752, -6.1154637, -9.928867, -2.941671, -12.817073, -5.9284787, -1.8251233, -2.750387]"
the scientist showed the bag to them .,a child saved her a juice .,PD,DO,SHOW,SAVE,THE,A,to,for,-43.672218322753906,"[-3.632752, -6.1154637, -9.928867, -1.9647917, -7.4140744, -10.649483, -3.9667897]"
the scientist showed the coffee to me .,a girl sold a beer to us .,PD,PD,SHOW,SELL,THE,A,to,to,-31.882795333862305,"[-3.6012917, -6.681075, -9.707584, -2.0409138, -4.866192, -0.62147605, -3.6667109, -0.6975514]"
the scientist showed the coffee to me .,a girl sold us a beer .,PD,DO,SHOW,SELL,THE,A,to,to,-32.71330261230469,"[-3.6012917, -6.681075, -9.707584, -6.828021, -1.0140712, -3.661643, -1.2196163]"
the scientist showed the coffee to you .,an aunt gave a tea to me .,PD,PD,SHOW,GIVE,THE,A,to,to,-32.37932205200195,"[-5.704883, -8.788898, -5.47744, -1.804827, -8.18755, -0.17837664, -1.5967145, -0.6406328]"
the scientist showed the coffee to you .,an aunt gave me a tea .,PD,DO,SHOW,GIVE,THE,A,to,to,-30.63557243347168,"[-5.704883, -8.788898, -5.47744, -1.6816218, -0.55367327, -6.9277954, -1.5012605]"
the scientist showed the salad to me .,an employer kept a coffee for it .,PD,PD,SHOW,KEEP,THE,A,to,for,-47.67333984375,"[-5.6789784, -7.9754133, -9.873528, -1.668276, -9.423355, -5.0833673, -6.8681583, -1.1022633]"
the scientist showed the salad to me .,an employer kept it a coffee .,PD,DO,SHOW,KEEP,THE,A,to,for,-47.241214752197266,"[-5.6789784, -7.9754133, -9.873528, -4.686859, -2.590677, -13.074, -3.3617582]"
the scientist showed the salad to you .,a man gave a card to me .,PD,PD,SHOW,GIVE,THE,A,to,to,-30.749902725219727,"[-3.6430323, -3.8302612, -7.734423, -1.3610075, -9.174994, -0.092189096, -3.686108, -1.2278881]"
the scientist showed the salad to you .,a man gave me a card .,PD,DO,SHOW,GIVE,THE,A,to,to,-28.34502601623535,"[-3.6430323, -3.8302612, -7.734423, -2.9794452, -0.6112795, -7.2299256, -2.316659]"
the scientist showed the tea to him .,a chief drew a telephone for you .,PD,PD,SHOW,DRAW,THE,A,to,for,-47.35935974121094,"[-3.6348507, -9.197151, -12.093671, -1.3958372, -7.0501547, -6.036834, -7.307924, -0.6429363]"
