prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew us the hat .,DRAW,THE,for,a lady brought him a pie .,BRING,A,to,-35.47735595703125,-28.67793655395508,-37.04059600830078,-29.214696884155277
the champion drew him the cup .,DRAW,THE,for,a cousin brought you a bag .,BRING,A,to,-41.11934661865234,-36.84490203857422,-39.86225891113281,-34.811466217041016
the leader drew him the telephone .,DRAW,THE,for,an uncle brought you an anchor .,BRING,A,to,-44.060279846191406,-39.99312973022461,-44.8494873046875,-40.46004104614258
the manager drew them the gun .,DRAW,THE,for,a man brought her a book .,BRING,A,to,-32.101985931396484,-28.42514038085937,-32.804222106933594,-28.41489791870117
the cop drew you the coat .,DRAW,THE,for,a girl brought her a coffee .,BRING,A,to,-37.1399040222168,-32.389610290527344,-36.35822677612305,-31.284730911254883
the secretary drew them the card .,DRAW,THE,for,a princess brought us a coffee .,BRING,A,to,-39.39231491088867,-34.32925796508789,-40.76993942260742,-34.29176712036133
the husband drew me the hat .,DRAW,THE,for,a lady brought him a computer .,BRING,A,to,-37.727027893066406,-31.4018669128418,-38.76670837402344,-31.76482391357422
the employee drew it the button .,DRAW,THE,for,a colonel brought me a television .,BRING,A,to,-40.05758285522461,-36.90420913696289,-40.476524353027344,-37.49688720703125
the employee drew us the glass .,DRAW,THE,for,a teacher brought him an engine .,BRING,A,to,-39.23819732666016,-36.12973785400391,-41.22614669799805,-37.11750030517578
the student drew her the cup .,DRAW,THE,for,a mayor brought them an instrument .,BRING,A,to,-44.0260009765625,-44.14645767211914,-45.42025375366211,-44.54030990600586
the princess drew her the plate .,DRAW,THE,for,a colonel brought you a tea .,BRING,A,to,-43.59040832519531,-37.9116439819336,-43.09775924682617,-37.668067932128906
the actress drew you the card .,DRAW,THE,for,an aunt brought him a jacket .,BRING,A,to,-42.57163238525391,-35.07105255126953,-43.025665283203125,-35.60820770263672
the mother drew him the flower .,DRAW,THE,for,a hero brought it a chocolate .,BRING,A,to,-45.52180099487305,-45.12712097167969,-45.56974411010742,-44.678321838378906
the president drew you the iron .,DRAW,THE,for,a soldier brought us a cup .,BRING,A,to,-35.6810417175293,-32.79917907714844,-34.88889694213867,-30.518733978271484
the mother drew them the crystal .,DRAW,THE,for,an employee brought you a camera .,BRING,A,to,-39.169559478759766,-35.31641387939453,-39.66209030151367,-35.657501220703125
the guest drew them the guitar .,DRAW,THE,for,a parent brought us a meal .,BRING,A,to,-40.395145416259766,-36.69076919555664,-41.070068359375,-36.06100845336914
the chief drew it the newspaper .,DRAW,THE,for,a prince brought us a motor .,BRING,A,to,-45.3314094543457,-42.25687026977539,-45.84739303588867,-42.726261138916016
the employee drew us the engine .,DRAW,THE,for,a colonel brought you a bottle .,BRING,A,to,-42.3625373840332,-38.19895935058594,-42.15256118774414,-37.98987579345703
the husband drew me the button .,DRAW,THE,for,a professor brought them a tea .,BRING,A,to,-43.125282287597656,-38.72078323364258,-43.62885665893555,-38.05537033081055
the secretary drew you the card .,DRAW,THE,for,a soldier brought me a telephone .,BRING,A,to,-37.441104888916016,-33.637046813964844,-36.942832946777344,-32.5272331237793
the opponent drew you the crystal .,DRAW,THE,for,a father brought me a beer .,BRING,A,to,-41.17483901977539,-36.4649543762207,-40.86589813232422,-36.16392517089844
the professor drew them the key .,DRAW,THE,for,a doctor brought us a tea .,BRING,A,to,-39.87331008911133,-33.9088134765625,-40.56699752807617,-33.97032928466797
the kid drew us the bowl .,DRAW,THE,for,a candidate brought you a chocolate .,BRING,A,to,-47.64282989501953,-42.68123245239258,-47.995731353759766,-41.73503875732422
the girl drew him the instrument .,DRAW,THE,for,a mayor brought me a coffee .,BRING,A,to,-46.60280227661133,-39.36837387084961,-47.40928649902344,-39.94576644897461
the pilot drew them the coat .,DRAW,THE,for,an employer brought you a tea .,BRING,A,to,-47.57063293457031,-42.42941284179688,-45.86778259277344,-40.31696319580078
a child drew it a jacket .,DRAW,A,for,the husband brought us the newspaper .,BRING,THE,to,-35.82619857788086,-32.07673263549805,-35.874549865722656,-32.1130485534668
a mother drew you a crystal .,DRAW,A,for,the secretary brought them the beer .,BRING,THE,to,-40.16533660888672,-40.52524566650391,-40.76498794555664,-40.35465240478516
a princess drew them a button .,DRAW,A,for,the champion brought me the hat .,BRING,THE,to,-36.329200744628906,-34.5145378112793,-37.77991485595703,-34.66411590576172
a son drew us a bell .,DRAW,A,for,the parent brought you the chocolate .,BRING,THE,to,-38.35161209106445,-34.94441604614258,-38.829288482666016,-33.69805145263672
a pilot drew you a computer .,DRAW,A,for,the secretary brought her the juice .,BRING,THE,to,-41.10393905639648,-40.417423248291016,-40.07106018066406,-37.89274215698242
a hero drew us an engine .,DRAW,A,for,the pilot brought it the pie .,BRING,THE,to,-37.75283432006836,-38.3691291809082,-36.98169708251953,-37.78651428222656
a sheriff drew it a knife .,DRAW,A,for,the mother brought you the plate .,BRING,THE,to,-38.65944290161133,-34.55400085449219,-39.22552490234375,-33.915279388427734
a worker drew him a key .,DRAW,A,for,the mother brought it the coffee .,BRING,THE,to,-34.751991271972656,-37.711673736572266,-35.18772888183594,-37.88335418701172
a chief drew me a crystal .,DRAW,A,for,the author brought you the guitar .,BRING,THE,to,-42.44538116455078,-38.64834213256836,-43.78751754760742,-38.303810119628906
a student drew you a pot .,DRAW,A,for,the guy brought it the iron .,BRING,THE,to,-36.27964019775391,-37.93624877929688,-36.22652053833008,-38.24082946777344
a husband drew you a wire .,DRAW,A,for,the employee brought us the television .,BRING,THE,to,-36.031532287597656,-33.33565902709961,-36.60769271850586,-33.53592300415039
