text,structure,verb,det,prep,SUBJ,VERB,DOBJ,IOBJ,PREP,EOS,sen_prob_nospace,perplexity_nospace
a lady brought a pie to a club .,PD,BRING,A,to,-12.000818252563477,-6.752418518066406,-9.61194896697998,-8.29198932647705,-1.246826171875,-3.0163276195526123,-40.92033386230469,94.32099151611328
a lady brought a club a pie .,DO,BRING,A,to,-12.000818252563477,-6.752418518066406,-16.03777503967285,-11.687278747558594,0.0,-2.0117249488830566,-48.49001693725586,428.9121398925781
a cousin brought a bag to a company .,PD,BRING,A,to,-13.185147285461426,-8.548628807067871,-6.063891410827637,-11.896452903747559,-2.7677810192108154,-6.706402778625488,-49.168304443359375,235.83795166015625
a cousin brought a company a bag .,DO,BRING,A,to,-13.185147285461426,-8.548628807067871,-10.910263061523438,-11.191919326782227,0.0,-5.247770309448242,-49.08373260498047,461.95458984375
an uncle brought an anchor to a priest .,PD,BRING,A,to,-13.840133666992188,-8.038311958312988,-12.767114639282227,-13.072787284851074,-1.573969841003418,-4.004129409790039,-53.29644775390625,373.0929260253906
an uncle brought a priest an anchor .,DO,BRING,A,to,-13.840133666992188,-8.038311958312988,-15.288827896118164,-11.247505187988281,0.0,-3.6119112968444824,-52.02668762207031,667.3641967773438
a man brought a book to an administration .,PD,BRING,A,to,-7.066828727722168,-7.713242530822754,-9.011258125305176,-12.744656562805176,-1.7320748567581177,-7.868862628936768,-46.13692092895508,168.3970489501953
a man brought an administration a book .,DO,BRING,A,to,-7.066828727722168,-7.713242530822754,-13.204134941101074,-15.310368537902832,0.0,-4.471524238586426,-47.76609802246094,391.80419921875
a girl brought a coffee to a guy .,PD,BRING,A,to,-10.199785232543945,-7.858173370361328,-9.591175079345703,-9.395084381103516,-3.0435614585876465,-3.6007537841796875,-43.68852996826172,128.28843688964844
a girl brought a guy a coffee .,DO,BRING,A,to,-10.199785232543945,-7.858173370361328,-10.434864044189453,-10.227566719055176,0.0,-2.386786937713623,-41.107177734375,170.44236755371094
a princess brought a coffee to an adult .,PD,BRING,A,to,-13.73668098449707,-7.630829811096191,-11.755401611328125,-9.092546463012695,-2.2181363105773926,-4.057863235473633,-48.491455078125,218.75216674804688
a princess brought an adult a coffee .,DO,BRING,A,to,-13.73668098449707,-7.630829811096191,-15.033246040344238,-10.38165283203125,0.0,-2.6012637615203857,-49.3836784362793,479.6035461425781
a lady brought a computer to an employer .,PD,BRING,A,to,-12.000818252563477,-6.752418518066406,-9.80945110321045,-10.514049530029297,-1.4729716777801514,-3.675844192504883,-44.225555419921875,136.17633056640625
a lady brought an employer a computer .,DO,BRING,A,to,-12.000818252563477,-6.752418518066406,-9.25456428527832,-13.378052711486816,0.0,-3.2608141899108887,-44.646671295166016,265.2927551269531
a colonel brought a television to a candidate .,PD,BRING,A,to,-14.578892707824707,-8.523704528808594,-8.949772834777832,-11.38823127746582,-1.7670563459396362,-5.207432746887207,-50.41509246826172,270.8802795410156
a colonel brought a candidate a television .,DO,BRING,A,to,-14.578892707824707,-8.523704528808594,-13.382791519165039,-12.095266342163086,0.0,-3.1563398838043213,-51.73699188232422,643.6300048828125
a teacher brought an engine to a singer .,PD,BRING,A,to,-10.483430862426758,-8.138422012329102,-13.293794631958008,-14.663524627685547,-1.5210199356079102,-4.412225723266602,-52.51241683959961,341.9665832519531
a teacher brought a singer an engine .,DO,BRING,A,to,-10.483430862426758,-8.138422012329102,-18.978839874267578,-13.414153099060059,0.0,-3.4536361694335938,-54.46847915649414,905.5657348632812
a mayor brought an instrument to a band .,PD,BRING,A,to,-13.049970626831055,-9.310009002685547,-11.487353324890137,-10.170730590820312,-1.1755810976028442,-5.285125732421875,-50.4787712097168,272.80364990234375
a mayor brought a band an instrument .,DO,BRING,A,to,-13.049970626831055,-9.310009002685547,-13.863950729370117,-11.071378707885742,0.0,-3.030141830444336,-50.32545471191406,539.5210571289062
a colonel brought a tea to a business .,PD,BRING,A,to,-14.578892707824707,-8.523704528808594,-10.032611846923828,-8.831767082214355,-3.697739601135254,-6.6917338371276855,-52.356449127197266,336.0914306640625
a colonel brought a business a tea .,DO,BRING,A,to,-14.578892707824707,-8.523704528808594,-17.115873336791992,-10.968694686889648,0.0,-3.0382471084594727,-54.22541046142578,878.4652099609375
an aunt brought a jacket to an army .,PD,BRING,A,to,-14.843006134033203,-8.049108505249023,-11.211028099060059,-11.253487586975098,-1.1276065111160278,-9.1553373336792,-55.63957595825195,484.0436706542969
an aunt brought an army a jacket .,DO,BRING,A,to,-14.843006134033203,-8.049108505249023,-18.016807556152344,-10.753477096557617,0.0,-2.9099984169006348,-54.5723991394043,917.4058227539062
a hero brought a chocolate to a wife .,PD,BRING,A,to,-11.998435020446777,-7.970982551574707,-13.294519424438477,-9.993755340576172,-5.308660507202148,-3.3997180461883545,-51.9660758972168,321.8251647949219
a hero brought a wife a chocolate .,DO,BRING,A,to,-11.998435020446777,-7.970982551574707,-15.18539047241211,-10.194925308227539,0.0,-5.695309638977051,-51.045040130615234,590.2994995117188
a soldier brought a cup to a scientist .,PD,BRING,A,to,-10.697359085083008,-7.821072578430176,-8.891717910766602,-13.47184944152832,-3.1766085624694824,-3.8617372512817383,-47.920345306396484,205.30215454101562
a soldier brought a scientist a cup .,DO,BRING,A,to,-10.697359085083008,-7.821072578430176,-10.127548217773438,-14.171314239501953,0.0,-6.61811637878418,-49.43540954589844,482.71490478515625
an employee brought a camera to a business .,PD,BRING,A,to,-10.643842697143555,-8.626062393188477,-6.68267297744751,-8.251707077026367,-0.9488301277160645,-6.388200283050537,-41.541316986083984,101.0587387084961
an employee brought a business a camera .,DO,BRING,A,to,-10.643842697143555,-8.626062393188477,-15.75537395477295,-8.720306396484375,0.0,-3.0706939697265625,-46.816280364990234,347.9417419433594
a parent brought a meal to a club .,PD,BRING,A,to,-11.674575805664062,-6.699357986450195,-11.912035942077637,-10.001821517944336,-0.8094024062156677,-4.775747776031494,-45.87294006347656,163.5294952392578
a parent brought a club a meal .,DO,BRING,A,to,-11.674575805664062,-6.699357986450195,-15.990291595458984,-12.231979370117188,0.0,-3.7131032943725586,-50.30930709838867,538.4331665039062
a prince brought a motor to a business .,PD,BRING,A,to,-13.386516571044922,-7.976057529449463,-10.499164581298828,-9.285684585571289,-6.375901222229004,-5.475156307220459,-52.99848175048828,360.94305419921875
a prince brought a business a motor .,DO,BRING,A,to,-13.386516571044922,-7.976057529449463,-18.560935974121094,-9.901542663574219,0.0,-6.709616184234619,-56.53466796875,1172.4296875
a colonel brought a bottle to a business .,PD,BRING,A,to,-14.578892707824707,-8.523704528808594,-7.7040228843688965,-9.670097351074219,-3.6589229106903076,-7.3845953941345215,-51.52023696899414,306.2711486816406
a colonel brought a business a bottle .,DO,BRING,A,to,-14.578892707824707,-8.523704528808594,-14.695293426513672,-10.968694686889648,0.0,-6.702723979949951,-55.46930694580078,1026.24658203125
a professor brought a tea to a band .,PD,BRING,A,to,-10.543238639831543,-8.807196617126465,-10.174179077148438,-10.85999870300293,-5.060533046722412,-5.356705188751221,-50.801849365234375,282.7745361328125
a professor brought a band a tea .,DO,BRING,A,to,-10.543238639831543,-8.807196617126465,-15.051137924194336,-10.655866622924805,0.0,-3.044205665588379,-48.10164260864258,408.5871887207031
a soldier brought a telephone to a kid .,PD,BRING,A,to,-10.697359085083008,-7.821072578430176,-11.069432258605957,-11.906502723693848,-1.054762601852417,-3.7582411766052246,-46.307369232177734,171.6166534423828
a soldier brought a kid a telephone .,DO,BRING,A,to,-10.697359085083008,-7.821072578430176,-15.586299896240234,-10.468881607055664,0.0,-2.199141502380371,-46.77275848388672,346.0539855957031
a father brought a beer to a corporation .,PD,BRING,A,to,-9.997565269470215,-7.542752742767334,-10.728446960449219,-15.566648483276367,-1.9254651069641113,-4.968358993530273,-50.7292366027832,280.5022888183594
a father brought a corporation a beer .,DO,BRING,A,to,-9.997565269470215,-7.542752742767334,-13.008676528930664,-15.448444366455078,0.0,-3.3774406909942627,-49.3748779296875,479.07623291015625
a doctor brought a tea to a chief .,PD,BRING,A,to,-10.418859481811523,-8.041662216186523,-10.784774780273438,-10.7860107421875,-4.207448959350586,-6.6603684425354,-50.89912414550781,285.8474426269531
a doctor brought a chief a tea .,DO,BRING,A,to,-10.418859481811523,-8.041662216186523,-13.945945739746094,-13.511181831359863,0.0,-3.382941246032715,-49.30059051513672,474.6481628417969
a candidate brought a chocolate to a man .,PD,BRING,A,to,-11.735186576843262,-8.25794506072998,-12.524378776550293,-9.266483306884766,-6.300931453704834,-5.501384258270264,-53.58631134033203,385.30474853515625
a candidate brought a man a chocolate .,DO,BRING,A,to,-11.735186576843262,-8.25794506072998,-12.204790115356445,-9.559406280517578,0.0,-6.521181583404541,-48.27851486206055,417.72125244140625
a mayor brought a coffee to a priest .,PD,BRING,A,to,-13.049970626831055,-9.310009002685547,-11.128042221069336,-10.234474182128906,-3.496934175491333,-3.450284957885742,-50.66971206665039,278.6531982421875
a mayor brought a priest a coffee .,DO,BRING,A,to,-13.049970626831055,-9.310009002685547,-12.540094375610352,-11.793768882751465,0.0,-3.259458541870117,-49.95330047607422,514.9977416992188
an employer brought a tea to an attorney .,PD,BRING,A,to,-13.461597442626953,-9.177968978881836,-12.08110523223877,-11.03496265411377,-6.267288684844971,-3.6951537132263184,-55.71807861328125,488.2842102050781
an employer brought an attorney a tea .,DO,BRING,A,to,-13.461597442626953,-9.177968978881836,-16.577816009521484,-8.51616096496582,0.0,-5.987011432647705,-53.72055435180664,824.7409057617188
the husband brought the newspaper to the candidate .,PD,BRING,THE,to,-10.889007568359375,-10.058489799499512,-10.188718795776367,-10.620119094848633,-1.0056195259094238,-2.787179946899414,-45.549137115478516,157.75059509277344
the husband brought the candidate the newspaper .,DO,BRING,THE,to,-10.889007568359375,-10.058489799499512,-10.011735916137695,-13.112857818603516,0.0,-2.248807907104492,-46.320899963378906,327.0498046875
the secretary brought the beer to the soldier .,PD,BRING,THE,to,-11.448559761047363,-10.714244842529297,-11.326800346374512,-9.850725173950195,-1.5137840509414673,-2.759521961212158,-47.61363220214844,198.42349243164062
the secretary brought the soldier the beer .,DO,BRING,THE,to,-11.448559761047363,-10.714244842529297,-13.235821723937988,-10.973832130432129,0.0,-1.8756591081619263,-48.24811935424805,416.1371765136719
the champion brought the hat to the guy .,PD,BRING,THE,to,-12.580184936523438,-9.345340728759766,-10.552238464355469,-11.683040618896484,-1.7167174816131592,-3.5966246128082275,-49.474143981933594,243.98997497558594
the champion brought the guy the hat .,DO,BRING,THE,to,-12.580184936523438,-9.345340728759766,-12.84703254699707,-11.2789888381958,0.0,-2.3799474239349365,-48.43149185180664,425.78582763671875
the parent brought the chocolate to the buddy .,PD,BRING,THE,to,-11.258129119873047,-10.648144721984863,-11.97511100769043,-13.133063316345215,-2.12908935546875,-3.1007981300354004,-52.24433898925781,331.9308166503906
the parent brought the buddy the chocolate .,DO,BRING,THE,to,-11.258129119873047,-10.648144721984863,-13.80759334564209,-13.697307586669922,0.0,-2.9675893783569336,-52.37876510620117,697.3905639648438
the secretary brought the juice to the corporation .,PD,BRING,THE,to,-11.448559761047363,-10.714244842529297,-13.752881050109863,-12.07100772857666,-1.6063491106033325,-2.6625962257385254,-52.25564193725586,332.3479309082031
the secretary brought the corporation the juice .,DO,BRING,THE,to,-11.448559761047363,-10.714244842529297,-17.156147003173828,-12.168377876281738,0.0,-2.823853015899658,-54.31118392944336,887.9345092773438
the pilot brought the pie to the band .,PD,BRING,THE,to,-10.663193702697754,-10.138343811035156,-13.287914276123047,-8.704246520996094,-1.44078528881073,-2.6469995975494385,-46.8814811706543,182.92083740234375
the pilot brought the band the pie .,DO,BRING,THE,to,-10.663193702697754,-10.138343811035156,-16.99427604675293,-10.462471008300781,0.0,-2.141303062438965,-50.39958953857422,544.5439453125
the mother brought the plate to the club .,PD,BRING,THE,to,-9.259241104125977,-9.621148109436035,-11.694168090820312,-8.512397766113281,-1.1344918012619019,-2.863919258117676,-43.085365295410156,119.9725341796875
the mother brought the club the plate .,DO,BRING,THE,to,-9.259241104125977,-9.621148109436035,-14.037982940673828,-11.935895919799805,0.0,-2.62630295753479,-47.48057556152344,378.06719970703125
the mother brought the coffee to the buddy .,PD,BRING,THE,to,-9.259241104125977,-9.621148109436035,-11.354331970214844,-13.655842781066895,-1.571555256843567,-3.2976179122924805,-48.75973892211914,225.37118530273438
the mother brought the buddy the coffee .,DO,BRING,THE,to,-9.259241104125977,-9.621148109436035,-12.443931579589844,-15.491552352905273,0.0,-2.1992249488830566,-49.015098571777344,458.00830078125
the author brought the guitar to the company .,PD,BRING,THE,to,-9.116205215454102,-9.329059600830078,-11.08711051940918,-9.617938995361328,-1.4818825721740723,-4.721109867095947,-45.353309631347656,154.355224609375
the author brought the company the guitar .,DO,BRING,THE,to,-9.116205215454102,-9.329059600830078,-14.771381378173828,-9.724611282348633,0.0,-3.7442262172698975,-46.685482025146484,342.2992248535156
the guy brought the iron to the author .,PD,BRING,THE,to,-10.440812110900879,-7.8980607986450195,-10.829259872436523,-11.673583030700684,-3.064509391784668,-1.9092679023742676,-45.815494537353516,162.48902893066406
the guy brought the author the iron .,DO,BRING,THE,to,-10.440812110900879,-7.8980607986450195,-13.21950912475586,-12.697332382202148,0.0,-3.210670232772827,-47.46638488769531,377.39715576171875
the employee brought the television to the doctor .,PD,BRING,THE,to,-11.96430778503418,-6.845383644104004,-10.168965339660645,-7.659571170806885,-1.2754300832748413,-2.8809094429016113,-40.7945671081543,93.0121078491211
the employee brought the doctor the television .,DO,BRING,THE,to,-11.96430778503418,-6.845383644104004,-13.649898529052734,-9.786752700805664,0.0,-2.400205612182617,-44.64655303955078,265.288818359375
the lady brought the key to the club .,PD,BRING,THE,to,-11.508102416992188,-7.5677642822265625,-8.979998588562012,-7.492467403411865,-0.8672016859054565,-1.7686132192611694,-38.184146881103516,69.59432220458984
the lady brought the club the key .,DO,BRING,THE,to,-11.508102416992188,-7.5677642822265625,-10.58889389038086,-11.104745864868164,0.0,-2.3457231521606445,-43.11522674560547,219.0726318359375
the professor brought the meal to the kid .,PD,BRING,THE,to,-11.328598022460938,-7.483733654022217,-11.067269325256348,-11.528166770935059,-0.8789947032928467,-2.6176767349243164,-44.90443420410156,146.8455810546875
the professor brought the kid the meal .,DO,BRING,THE,to,-11.328598022460938,-7.483733654022217,-12.80958366394043,-10.968387603759766,0.0,-1.865584135055542,-44.45589065551758,259.0409851074219
the bishop brought the pie to the club .,PD,BRING,THE,to,-12.751842498779297,-8.25132942199707,-12.305444717407227,-10.413971900939941,-1.1385619640350342,-2.6336636543273926,-47.49481201171875,195.82107543945312
the bishop brought the club the pie .,DO,BRING,THE,to,-12.751842498779297,-8.25132942199707,-15.145707130432129,-10.820104598999023,0.0,-1.8997058868408203,-48.868690490722656,449.7025146484375
the lawyer brought the newspaper to the corporation .,PD,BRING,THE,to,-10.93069839477539,-8.363317489624023,-11.25484561920166,-10.971558570861816,-1.9329837560653687,-3.468449592590332,-46.921852111816406,183.74319458007812
the lawyer brought the corporation the newspaper .,DO,BRING,THE,to,-10.93069839477539,-8.363317489624023,-14.21127700805664,-12.860260963439941,0.0,-4.204502582550049,-50.5700569152832,556.2718505859375
the lady brought the cigarette to the administration .,PD,BRING,THE,to,-11.508102416992188,-7.5677642822265625,-9.877435684204102,-12.150114059448242,-2.0447349548339844,-2.2881572246551514,-45.436309814453125,155.78530883789062
the lady brought the administration the cigarette .,DO,BRING,THE,to,-11.508102416992188,-7.5677642822265625,-12.904184341430664,-14.86429214477539,0.0,-2.2635860443115234,-49.10792541503906,463.35369873046875
the worker brought the pie to the corporation .,PD,BRING,THE,to,-12.315877914428711,-7.112924575805664,-10.551822662353516,-11.810470581054688,-0.989113986492157,-3.351871967315674,-46.132080078125,168.30648803710938
the worker brought the corporation the pie .,DO,BRING,THE,to,-12.315877914428711,-7.112924575805664,-14.45689582824707,-12.519941329956055,0.0,-1.7245090007781982,-48.130149841308594,410.0457458496094
the worker brought the coffee to the club .,PD,BRING,THE,to,-12.315877914428711,-7.112924575805664,-8.737768173217773,-8.769535064697266,-1.493392825126648,-2.8824691772460938,-41.31196594238281,98.51594543457031
the worker brought the club the coffee .,DO,BRING,THE,to,-12.315877914428711,-7.112924575805664,-13.737153053283691,-9.894338607788086,0.0,-2.181471347808838,-45.24176788330078,285.7796325683594
the actor brought the glass to the aunt .,PD,BRING,THE,to,-10.18032455444336,-7.5401291847229,-12.39148235321045,-14.738646507263184,-2.7503256797790527,-5.413171768188477,-53.01408004760742,361.56915283203125
the actor brought the aunt the glass .,DO,BRING,THE,to,-10.18032455444336,-7.5401291847229,-15.296893119812012,-15.461701393127441,0.0,-5.115553855895996,-53.5946044921875,811.8580932617188
the mayor brought the key to the actress .,PD,BRING,THE,to,-9.358541488647461,-9.983226776123047,-10.46661376953125,-12.675227165222168,-1.5261286497116089,-3.4667153358459473,-47.4764518737793,195.4219970703125
the mayor brought the actress the key .,DO,BRING,THE,to,-9.358541488647461,-9.983226776123047,-12.52817440032959,-13.316366195678711,0.0,-4.817584991455078,-50.0038948059082,518.2650756835938
the guy brought the beer to the business .,PD,BRING,THE,to,-10.440812110900879,-7.8980607986450195,-7.0846943855285645,-9.66832447052002,-2.0023767948150635,-2.0083532333374023,-39.10261917114258,77.07164764404297
the guy brought the business the beer .,DO,BRING,THE,to,-10.440812110900879,-7.8980607986450195,-14.151264190673828,-10.4116792678833,0.0,-1.6490663290023804,-44.55088424682617,262.1352233886719
the husband brought the beer to the business .,PD,BRING,THE,to,-10.889007568359375,-10.058489799499512,-9.927229881286621,-8.323972702026367,-1.2633880376815796,-2.9921956062316895,-43.45428466796875,124.99251556396484
the husband brought the business the beer .,DO,BRING,THE,to,-10.889007568359375,-10.058489799499512,-16.288837432861328,-10.381336212158203,0.0,-2.446382522583008,-50.064056396484375,522.17724609375
the parent brought the beer to the king .,PD,BRING,THE,to,-11.258129119873047,-10.648144721984863,-10.23808479309082,-11.222102165222168,-1.2742271423339844,-2.820908546447754,-47.46159362792969,195.09963989257812
the parent brought the king the beer .,DO,BRING,THE,to,-11.258129119873047,-10.648144721984863,-13.979991912841797,-11.727890968322754,0.0,-1.9076067209243774,-49.52176284790039,487.95361328125
the secretary brought the chocolate to the soldier .,PD,BRING,THE,to,-11.448559761047363,-10.714244842529297,-12.534998893737793,-9.918025970458984,-2.1718897819519043,-2.606496810913086,-49.39421463012695,241.83267211914062
the secretary brought the soldier the chocolate .,DO,BRING,THE,to,-11.448559761047363,-10.714244842529297,-14.441082954406738,-10.973832130432129,0.0,-2.9289255142211914,-50.50664520263672,551.8800048828125
the priest brought the pot to the partner .,PD,BRING,THE,to,-12.285171508789062,-7.287104606628418,-8.93486213684082,-12.409730911254883,-1.6099332571029663,-2.561575174331665,-45.08837890625,149.8777313232422
the priest brought the partner the pot .,DO,BRING,THE,to,-12.285171508789062,-7.287104606628418,-12.904208183288574,-12.826950073242188,0.0,-3.18051815032959,-48.48395538330078,428.5872802734375
a sheriff drew a knife for an administration .,PD,DRAW,A,for,-11.962423324584961,-10.397174835205078,-7.082294464111328,-14.38535213470459,-6.324077129364014,-6.284843921661377,-56.4361686706543,528.8397216796875
a sheriff drew an administration a knife .,DO,DRAW,A,for,-11.962423324584961,-10.397174835205078,-15.52375602722168,-14.597685813903809,0.0,-3.5333807468414307,-56.01441955566406,1098.611572265625
an uncle drew a card for a corporation .,PD,DRAW,A,for,-13.840133666992188,-10.109580993652344,-7.842813014984131,-14.366460800170898,-2.773524284362793,-2.61737060546875,-51.54988479614258,307.2817077636719
an uncle drew a corporation a card .,DO,DRAW,A,for,-13.840133666992188,-10.109580993652344,-14.307616233825684,-14.536666870117188,0.0,-2.6417014598846436,-55.435699462890625,1021.9444580078125
a prince drew a wire for a man .,PD,DRAW,A,for,-13.386516571044922,-9.515405654907227,-13.352678298950195,-6.166787624359131,-3.371615409851074,-5.246339321136475,-51.039344787597656,290.3358459472656
