prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew us the hat .,DRAW,THE,for,a lady brought him a pie .,BRING,A,to,-41.957786560058594,-34.80377578735352,-39.84963607788086,-31.8709659576416
the champion drew him the cup .,DRAW,THE,for,a cousin brought you a bag .,BRING,A,to,-41.12060928344727,-37.91873550415039,-40.63564300537109,-36.46257781982422
the leader drew him the telephone .,DRAW,THE,for,an uncle brought you an anchor .,BRING,A,to,-42.27066802978516,-40.4380989074707,-42.2954330444336,-38.89330291748047
the manager drew them the gun .,DRAW,THE,for,a man brought her a book .,BRING,A,to,-33.32444763183594,-31.704307556152344,-33.221435546875,-29.663291931152344
the cop drew you the coat .,DRAW,THE,for,a girl brought her a coffee .,BRING,A,to,-36.47153472900391,-33.22193908691406,-37.24053955078125,-30.64830017089844
the secretary drew them the card .,DRAW,THE,for,a princess brought us a coffee .,BRING,A,to,-43.36473083496094,-38.90009689331055,-40.676002502441406,-35.4626579284668
the husband drew me the hat .,DRAW,THE,for,a lady brought him a computer .,BRING,A,to,-42.66492462158203,-39.65098571777344,-40.375587463378906,-35.371063232421875
the employee drew it the button .,DRAW,THE,for,a colonel brought me a television .,BRING,A,to,-44.88532638549805,-42.521141052246094,-44.69384002685547,-42.25096893310547
the employee drew us the glass .,DRAW,THE,for,a teacher brought him an engine .,BRING,A,to,-42.03825378417969,-38.657901763916016,-38.89482879638672,-33.9027099609375
the student drew her the cup .,DRAW,THE,for,a mayor brought them an instrument .,BRING,A,to,-46.6463623046875,-43.91067123413086,-44.316184997558594,-40.73321533203125
the princess drew her the plate .,DRAW,THE,for,a colonel brought you a tea .,BRING,A,to,-46.34800720214844,-38.79021072387695,-43.48195266723633,-36.55993270874024
the actress drew you the card .,DRAW,THE,for,an aunt brought him a jacket .,BRING,A,to,-45.10360336303711,-41.98317337036133,-43.40717697143555,-38.85539245605469
the mother drew him the flower .,DRAW,THE,for,a hero brought it a chocolate .,BRING,A,to,-49.93693542480469,-48.94549560546875,-48.63399505615234,-44.47880172729492
the president drew you the iron .,DRAW,THE,for,a soldier brought us a cup .,BRING,A,to,-37.63175201416016,-33.993751525878906,-37.87067413330078,-32.69142532348633
the mother drew them the crystal .,DRAW,THE,for,an employee brought you a camera .,BRING,A,to,-48.16143035888672,-41.87791061401367,-42.47586441040039,-36.82756423950195
the guest drew them the guitar .,DRAW,THE,for,a parent brought us a meal .,BRING,A,to,-41.34016036987305,-37.486961364746094,-39.54673767089844,-34.75550842285156
the chief drew it the newspaper .,DRAW,THE,for,a prince brought us a motor .,BRING,A,to,-44.43578720092773,-39.23326873779297,-42.81110763549805,-38.17295455932617
the employee drew us the engine .,DRAW,THE,for,a colonel brought you a bottle .,BRING,A,to,-43.19921875,-40.09143829345703,-41.54727935791016,-37.02548599243164
the husband drew me the button .,DRAW,THE,for,a professor brought them a tea .,BRING,A,to,-50.71119689941406,-41.158809661865234,-49.453269958496094,-40.203834533691406
the secretary drew you the card .,DRAW,THE,for,a soldier brought me a telephone .,BRING,A,to,-46.63068389892578,-43.258209228515625,-42.26996612548828,-36.92160415649414
the opponent drew you the crystal .,DRAW,THE,for,a father brought me a beer .,BRING,A,to,-48.12556076049805,-44.460086822509766,-43.95832443237305,-39.73246765136719
the professor drew them the key .,DRAW,THE,for,a doctor brought us a tea .,BRING,A,to,-46.17550277709961,-38.045448303222656,-43.502384185791016,-34.484275817871094
the kid drew us the bowl .,DRAW,THE,for,a candidate brought you a chocolate .,BRING,A,to,-47.16887664794922,-39.705848693847656,-45.57566833496094,-38.31884002685547
the girl drew him the instrument .,DRAW,THE,for,a mayor brought me a coffee .,BRING,A,to,-45.741455078125,-41.60400390625,-42.903900146484375,-37.8673095703125
the pilot drew them the coat .,DRAW,THE,for,an employer brought you a tea .,BRING,A,to,-47.385520935058594,-39.72397613525391,-46.334259033203125,-38.73826217651367
a child drew it a jacket .,DRAW,A,for,the husband brought us the newspaper .,BRING,THE,to,-36.33806228637695,-30.39339637756348,-36.14988708496094,-30.500951766967773
a mother drew you a crystal .,DRAW,A,for,the secretary brought them the beer .,BRING,THE,to,-47.67413330078125,-44.94316482543945,-45.356422424316406,-41.53124237060547
a princess drew them a button .,DRAW,A,for,the champion brought me the hat .,BRING,THE,to,-40.62872695922852,-38.61127853393555,-41.54486846923828,-37.41667556762695
a son drew us a bell .,DRAW,A,for,the parent brought you the chocolate .,BRING,THE,to,-41.59710311889648,-40.650238037109375,-43.07201385498047,-40.52482986450195
a pilot drew you a computer .,DRAW,A,for,the secretary brought her the juice .,BRING,THE,to,-48.28447341918945,-43.00383758544922,-49.38445663452149,-40.8227767944336
a hero drew us an engine .,DRAW,A,for,the pilot brought it the pie .,BRING,THE,to,-41.08407211303711,-40.764461517333984,-42.59659576416016,-40.48846435546875
a sheriff drew it a knife .,DRAW,A,for,the mother brought you the plate .,BRING,THE,to,-39.395111083984375,-39.030548095703125,-36.938289642333984,-36.35491561889648
a worker drew him a key .,DRAW,A,for,the mother brought it the coffee .,BRING,THE,to,-41.3121452331543,-41.35771179199219,-44.74956893920898,-41.67290496826172
a chief drew me a crystal .,DRAW,A,for,the author brought you the guitar .,BRING,THE,to,-43.88639450073242,-43.14669799804688,-45.0171012878418,-41.97418212890625
a student drew you a pot .,DRAW,A,for,the guy brought it the iron .,BRING,THE,to,-40.92046356201172,-43.72060775756836,-42.3864631652832,-44.399532318115234
a husband drew you a wire .,DRAW,A,for,the employee brought us the television .,BRING,THE,to,-42.11875915527344,-40.862579345703125,-41.2530517578125,-39.04513549804688
an uncle drew her a telephone .,DRAW,A,for,the lady brought it the key .,BRING,THE,to,-34.83176803588867,-36.348365783691406,-34.938472747802734,-35.990745544433594
an aunt drew him a crystal .,DRAW,A,for,the professor brought us the meal .,BRING,THE,to,-43.823089599609375,-39.44974136352539,-42.808326721191406,-37.255821228027344
a writer drew us a bowl .,DRAW,A,for,the bishop brought you the pie .,BRING,THE,to,-44.232940673828125,-39.67572021484375,-47.78601837158203,-41.9939079284668
a brother drew us a coat .,DRAW,A,for,the lawyer brought me the newspaper .,BRING,THE,to,-36.65959167480469,-35.63408660888672,-38.23836898803711,-35.993125915527344
a prince drew us a jacket .,DRAW,A,for,the lady brought you the cigarette .,BRING,THE,to,-42.8881950378418,-36.89523696899414,-47.24456024169922,-38.80212020874024
a son drew him a telephone .,DRAW,A,for,the worker brought us the pie .,BRING,THE,to,-39.96122360229492,-37.73063659667969,-39.52902603149414,-35.345726013183594
a man drew us a plate .,DRAW,A,for,the worker brought them the coffee .,BRING,THE,to,-38.21474838256836,-37.0385627746582,-41.82439804077149,-37.78643035888672
a soldier drew you a bag .,DRAW,A,for,the actor brought him the glass .,BRING,THE,to,-39.53823471069336,-40.57950210571289,-38.922454833984375,-36.77923583984375
a father drew us a crystal .,DRAW,A,for,the mayor brought you the key .,BRING,THE,to,-39.33710479736328,-35.21043395996094,-41.73797225952149,-35.812339782714844
a winner drew it an instrument .,DRAW,A,for,the guy brought you the beer .,BRING,THE,to,-35.40388107299805,-35.06399154663086,-35.64155960083008,-34.2544059753418
a pilot drew you a telephone .,DRAW,A,for,the husband brought them the beer .,BRING,THE,to,-43.67244338989258,-40.41657257080078,-44.980918884277344,-39.32574844360352
an adult drew them a machine .,DRAW,A,for,the parent brought it the beer .,BRING,THE,to,-42.53324890136719,-42.977821350097656,-41.6009521484375,-40.46462631225586
a guy drew you a glass .,DRAW,A,for,the secretary brought us the chocolate .,BRING,THE,to,-43.21823120117188,-39.182159423828125,-45.533485412597656,-39.75859069824219
a buddy drew you a bell .,DRAW,A,for,the priest brought him the pot .,BRING,THE,to,-38.216793060302734,-38.689414978027344,-37.23483657836914,-36.26987457275391
the employee found us the tea .,FIND,THE,for,a lady brought him a pie .,BRING,A,to,-38.731353759765625,-34.96989440917969,-36.26079940795898,-31.32324981689453
the employee found them the salad .,FIND,THE,for,a cousin brought you a bag .,BRING,A,to,-38.982303619384766,-36.35955429077149,-37.01892852783203,-34.035648345947266
the nurse found it the ball .,FIND,THE,for,an uncle brought you an anchor .,BRING,A,to,-42.98114013671875,-39.87367630004883,-43.12884140014648,-39.64911651611328
the guest found him the bowl .,FIND,THE,for,a man brought her a book .,BRING,A,to,-30.66274070739746,-28.44638442993164,-27.90481758117676,-24.404539108276367
the adult found them the cheese .,FIND,THE,for,a girl brought her a coffee .,BRING,A,to,-36.86890411376953,-35.651817321777344,-37.03479766845703,-32.747840881347656
the woman found them the pot .,FIND,THE,for,a princess brought us a coffee .,BRING,A,to,-41.6523666381836,-36.52140808105469,-41.694602966308594,-36.20301055908203
the wife found me the chicken .,FIND,THE,for,a lady brought him a computer .,BRING,A,to,-38.03141021728516,-34.051414489746094,-36.969573974609375,-35.35043716430664
the employer found them the chicken .,FIND,THE,for,a colonel brought me a television .,BRING,A,to,-48.304443359375,-44.4454231262207,-45.98067474365234,-42.05376434326172
the parent found them the cheese .,FIND,THE,for,a teacher brought him an engine .,BRING,A,to,-45.13414001464844,-39.00532531738281,-44.02888870239258,-37.29349899291992
the kid found him the juice .,FIND,THE,for,a mayor brought them an instrument .,BRING,A,to,-47.71808242797852,-44.690574645996094,-47.01155090332031,-42.556060791015625
the physician found us the candy .,FIND,THE,for,a colonel brought you a tea .,BRING,A,to,-44.58143997192383,-44.16304016113281,-43.69246292114258,-39.51227188110352
the lawyer found you the coffee .,FIND,THE,for,an aunt brought him a jacket .,BRING,A,to,-44.96497344970703,-39.6265869140625,-47.020263671875,-39.52525329589844
the daughter found you the meal .,FIND,THE,for,a hero brought it a chocolate .,BRING,A,to,-50.54478454589844,-49.16965103149414,-47.17361068725586,-47.12080764770508
the employer found them the motor .,FIND,THE,for,a soldier brought us a cup .,BRING,A,to,-42.59719467163086,-39.715328216552734,-41.36698913574219,-37.52902221679688
the son found her the juice .,FIND,THE,for,an employee brought you a camera .,BRING,A,to,-42.32830810546875,-36.79891586303711,-43.86670303344727,-36.52488708496094
the author found me the candy .,FIND,THE,for,a parent brought us a meal .,BRING,A,to,-44.32917022705078,-39.512577056884766,-43.124732971191406,-37.673709869384766
the physician found him the pie .,FIND,THE,for,a prince brought us a motor .,BRING,A,to,-44.94557571411133,-43.7370719909668,-45.24223709106445,-42.144309997558594
the soldier found me the plate .,FIND,THE,for,a colonel brought you a bottle .,BRING,A,to,-39.40699768066406,-35.702327728271484,-35.724849700927734,-29.92569923400879
the employee found it the iron .,FIND,THE,for,a professor brought them a tea .,BRING,A,to,-48.73257064819336,-37.92937088012695,-47.84192657470703,-36.813270568847656
the actress found her the newspaper .,FIND,THE,for,a soldier brought me a telephone .,BRING,A,to,-45.577911376953125,-38.47174453735352,-42.812835693359375,-37.81672668457031
the reader found us the coat .,FIND,THE,for,a father brought me a beer .,BRING,A,to,-44.285892486572266,-37.57781219482422,-40.81964874267578,-34.186553955078125
the manager found it the juice .,FIND,THE,for,a doctor brought us a tea .,BRING,A,to,-41.73919296264648,-36.6962890625,-40.77195739746094,-36.232818603515625
the bishop found it the instrument .,FIND,THE,for,a candidate brought you a chocolate .,BRING,A,to,-52.57544708251953,-44.57610702514648,-47.40922927856445,-41.33503341674805
the son found them the juice .,FIND,THE,for,a mayor brought me a coffee .,BRING,A,to,-44.790287017822266,-38.80368423461914,-43.98077774047852,-37.348289489746094
the actress found us the beer .,FIND,THE,for,an employer brought you a tea .,BRING,A,to,-49.711238861083984,-44.04695129394531,-50.98064804077149,-42.44401168823242
a manager found you a wire .,FIND,A,for,the husband brought us the newspaper .,BRING,THE,to,-39.83528518676758,-35.54945373535156,-38.26897430419922,-33.28609085083008
an aunt found you an iron .,FIND,A,for,the secretary brought them the beer .,BRING,THE,to,-46.88433837890625,-42.00991439819336,-46.47911834716797,-39.24747085571289
a minister found you a glass .,FIND,A,for,the champion brought me the hat .,BRING,THE,to,-39.48590850830078,-38.15632629394531,-40.05744934082031,-36.72555541992188
an uncle found us a beer .,FIND,A,for,the parent brought you the chocolate .,BRING,THE,to,-45.346134185791016,-40.56336975097656,-46.38735961914063,-40.957664489746094
a captain found me a cheese .,FIND,A,for,the secretary brought her the juice .,BRING,THE,to,-45.86246871948242,-39.9056396484375,-46.12824630737305,-37.32617950439453
a buddy found us a jacket .,FIND,A,for,the pilot brought it the pie .,BRING,THE,to,-44.80322265625,-41.47589492797852,-44.75368881225586,-42.42781829833984
