prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a band designed a card for me .,the captain gave the coffee to us .,PD,PD,DESIGN,GIVE,A,THE,for,to,-38.5626220703125,"[-3.2323, -9.310026, -6.7468266, -1.8115678, -10.355607, -1.3606257, -4.543336, -1.2023333]"
a band designed a card for me .,the captain gave us the coffee .,PD,DO,DESIGN,GIVE,A,THE,for,to,-35.94842529296875,"[-3.2323, -9.310026, -6.7468266, -3.7387786, -1.8005785, -9.439397, -1.6805148]"
a band designed a card for them .,the uncle took the plate to you .,PD,PD,DESIGN,TAKE,A,THE,for,to,-41.6662712097168,"[-3.2364225, -11.48587, -6.9186563, -1.6596917, -6.9288244, -2.50087, -7.8929167, -1.0430216]"
a band designed a card for them .,the uncle took you the plate .,PD,DO,DESIGN,TAKE,A,THE,for,to,-45.928810119628906,"[-3.2364225, -11.48587, -6.9186563, -6.60721, -6.4390593, -9.819477, -1.4221165]"
a band designed a cigarette for him .,the employer purchased the salad for us .,PD,PD,DESIGN,PURCHASE,A,THE,for,for,-42.58175277709961,"[-3.243874, -10.016892, -9.738635, -1.0136484, -10.877305, -2.2321296, -4.186104, -1.2731638]"
a band designed a cigarette for him .,the employer purchased us the salad .,PD,DO,DESIGN,PURCHASE,A,THE,for,for,-47.194618225097656,"[-3.243874, -10.016892, -9.738635, -8.799154, -3.5294528, -9.9144745, -1.952135]"
a band designed a cigarette for me .,the boy threw the cheese to them .,PD,PD,DESIGN,THROW,A,THE,for,to,-41.461082458496094,"[-3.2491598, -8.466261, -7.2976766, -1.9467777, -8.425578, -4.2275696, -6.8054447, -1.0426173]"
a band designed a cigarette for me .,the boy threw them the cheese .,PD,DO,DESIGN,THROW,A,THE,for,to,-38.472145080566406,"[-3.2491598, -8.466261, -7.2976766, -6.688662, -3.4189806, -7.925129, -1.4262745]"
a band designed a computer for it .,the worker got the beer for us .,PD,PD,DESIGN,GET,A,THE,for,for,-40.97748947143555,"[-3.2103412, -10.2736, -6.9042025, -2.5216682, -7.978774, -3.2450433, -5.800051, -1.0438067]"
a band designed a computer for it .,the worker got us the beer .,PD,DO,DESIGN,GET,A,THE,for,for,-39.54824447631836,"[-3.2103412, -10.2736, -6.9042025, -7.6588707, -2.980565, -7.140295, -1.3803709]"
a band designed a computer for them .,the colonel delivered the coffee for me .,PD,PD,DESIGN,DELIVER,A,THE,for,for,-41.58968353271485,"[-3.22181, -11.676149, -9.171132, -1.568109, -9.62609, -3.2804403, -2.2321644, -0.81379044]"
a band designed a computer for them .,the colonel delivered me the coffee .,PD,DO,DESIGN,DELIVER,A,THE,for,for,-40.36558532714844,"[-3.22181, -11.676149, -9.171132, -5.53599, -2.2919729, -7.263219, -1.2053136]"
a band designed a computer for you .,the hero delivered the salad for us .,PD,PD,DESIGN,DELIVER,A,THE,for,for,-43.9991340637207,"[-3.2265067, -9.793871, -11.251353, -1.5277603, -12.048681, -3.0208797, -2.3434424, -0.78663814]"
a band designed a computer for you .,the hero delivered us the salad .,PD,DO,DESIGN,DELIVER,A,THE,for,for,-44.0867919921875,"[-3.2265067, -9.793871, -11.251353, -5.9029408, -1.9512565, -10.584419, -1.376446]"
a band designed a cup for them .,the wife kept the chicken for you .,PD,PD,DESIGN,KEEP,A,THE,for,for,-44.043701171875,"[-3.2339396, -8.877111, -10.6835375, -2.3265016, -7.372508, -3.3214056, -7.3076286, -0.92106867]"
a band designed a cup for them .,the wife kept you the chicken .,PD,DO,DESIGN,KEEP,A,THE,for,for,-45.65274810791016,"[-3.2339396, -8.877111, -10.6835375, -6.884321, -6.315699, -8.374281, -1.2838596]"
a band designed a cup for them .,the husband promised the plate to you .,PD,PD,DESIGN,PROMISE,A,THE,for,to,-45.4840202331543,"[-3.2339396, -9.540819, -8.663363, -3.2611103, -11.098068, -2.100112, -6.4789495, -1.107656]"
a band designed a cup for them .,the husband promised you the plate .,PD,DO,DESIGN,PROMISE,A,THE,for,to,-43.0057487487793,"[-3.2339396, -9.540819, -8.663363, -6.113146, -3.10339, -10.777068, -1.5740241]"
a band designed a flower for him .,the singer promised the salad to you .,PD,PD,DESIGN,PROMISE,A,THE,for,to,-46.961891174316406,"[-3.2529094, -8.785398, -8.166993, -3.9192903, -11.4195, -3.3305457, -6.659352, -1.4279037]"
a band designed a flower for him .,the singer promised you the salad .,PD,DO,DESIGN,PROMISE,A,THE,for,to,-43.07185363769531,"[-3.2529094, -8.785398, -8.166993, -6.419134, -3.3749847, -11.303523, -1.7689104]"
a band designed a flower for you .,the president fed the candy to him .,PD,PD,DESIGN,FEED,A,THE,for,to,-40.13589477539063,"[-3.246041, -7.1478906, -11.140506, -1.8801446, -9.880131, -1.906332, -3.98062, -0.95423186]"
a band designed a flower for you .,the president fed him the candy .,PD,DO,DESIGN,FEED,A,THE,for,to,-39.10929107666016,"[-3.246041, -7.1478906, -11.140506, -4.9978404, -2.678251, -8.656359, -1.2424062]"
a band designed a gun for him .,the mother sold the computer to us .,PD,PD,DESIGN,SELL,A,THE,for,to,-40.2114372253418,"[-3.217461, -7.776232, -10.912035, -1.6784213, -7.2040997, -1.3709179, -6.7178864, -1.3343841]"
a band designed a gun for him .,the mother sold us the computer .,PD,DO,DESIGN,SELL,A,THE,for,to,-40.34226989746094,"[-3.217461, -7.776232, -10.912035, -6.8717127, -2.5849905, -7.549479, -1.4303612]"
a band designed a gun for him .,the leader took the iron to us .,PD,PD,DESIGN,TAKE,A,THE,for,to,-45.55987548828125,"[-3.217461, -7.7177606, -10.759786, -1.8991994, -9.081532, -3.5880456, -8.367076, -0.9290163]"
a band designed a gun for him .,the leader took us the iron .,PD,DO,DESIGN,TAKE,A,THE,for,to,-48.035682678222656,"[-3.217461, -7.7177606, -10.759786, -5.845868, -6.00251, -10.483749, -4.008546]"
a band designed a gun for you .,the attorney fed the chocolate to us .,PD,PD,DESIGN,FEED,A,THE,for,to,-46.6613883972168,"[-3.2210505, -9.221859, -15.053553, -1.4664009, -9.160301, -2.6532805, -5.045741, -0.8392037]"
a band designed a gun for you .,the attorney fed us the chocolate .,PD,DO,DESIGN,FEED,A,THE,for,to,-45.419952392578125,"[-3.2210505, -9.221859, -15.053553, -5.3540545, -2.0613265, -9.054822, -1.4532914]"
a band designed a key for him .,the father drew the card for us .,PD,PD,DESIGN,DRAW,A,THE,for,for,-39.08927154541016,"[-3.1877565, -8.108919, -10.266921, -2.1418276, -6.3606114, -2.656383, -5.355199, -1.0116516]"
a band designed a key for him .,the father drew us the card .,PD,DO,DESIGN,DRAW,A,THE,for,for,-39.98869323730469,"[-3.1877565, -8.108919, -10.266921, -7.037051, -3.5701566, -6.2691, -1.548788]"
a band designed a key for him .,the minister delivered the juice for you .,PD,PD,DESIGN,DELIVER,A,THE,for,for,-49.20594787597656,"[-3.1877565, -9.238323, -10.056322, -1.7263354, -13.961559, -2.401565, -7.4448185, -1.1892657]"
a band designed a key for him .,the minister delivered you the juice .,PD,DO,DESIGN,DELIVER,A,THE,for,for,-45.95188522338867,"[-3.1877565, -9.238323, -10.056322, -10.523584, -1.78547, -10.225739, -0.93469065]"
a band designed a key for us .,the leader drew the telephone for you .,PD,PD,DESIGN,DRAW,A,THE,for,for,-49.47648620605469,"[-3.1934698, -7.715669, -15.732068, -2.6003408, -9.673758, -3.5038974, -6.3442945, -0.7129913]"
a band designed a key for us .,the leader drew you the telephone .,PD,DO,DESIGN,DRAW,A,THE,for,for,-52.48332214355469,"[-3.1934698, -7.715669, -15.732068, -8.486688, -4.419585, -11.518053, -1.4177866]"
a band designed a knife for her .,the prince purchased the beer for it .,PD,PD,DESIGN,PURCHASE,A,THE,for,for,-42.72076416015625,"[-3.2357023, -10.061584, -9.56009, -1.3100139, -8.244919, -2.1365378, -6.7841463, -1.3877718]"
a band designed a knife for her .,the prince purchased it the beer .,PD,DO,DESIGN,PURCHASE,A,THE,for,for,-47.67030334472656,"[-3.2357023, -10.061584, -9.56009, -4.409709, -5.856887, -12.434045, -2.1122837]"
a band designed a knife for her .,the priest saved the meal for us .,PD,PD,DESIGN,SAVE,A,THE,for,for,-42.740570068359375,"[-3.2357023, -10.344681, -9.610662, -1.6524917, -10.186195, -1.7396235, -5.2364483, -0.7347644]"
a band designed a knife for her .,the priest saved us the meal .,PD,DO,DESIGN,SAVE,A,THE,for,for,-44.28446960449219,"[-3.2357023, -10.344681, -9.610662, -5.875169, -4.9935746, -8.952229, -1.2724545]"
a band designed a knife for them .,the reader left the log for him .,PD,PD,DESIGN,LEAVE,A,THE,for,for,-39.11468505859375,"[-3.2385902, -9.061759, -8.764444, -2.064764, -7.778417, -4.183383, -2.8357275, -1.1875972]"
a band designed a knife for them .,the reader left him the log .,PD,DO,DESIGN,LEAVE,A,THE,for,for,-39.8996696472168,"[-3.2385902, -9.061759, -8.764444, -3.883934, -4.1630077, -8.506216, -2.2817202]"
a band designed a motor for him .,the king sent the tea to you .,PD,PD,DESIGN,SEND,A,THE,for,to,-40.230690002441406,"[-3.2175362, -8.21557, -7.2260275, -2.354333, -9.759966, -1.5204159, -6.9470434, -0.98979807]"
a band designed a motor for him .,the king sent you the tea .,PD,DO,DESIGN,SEND,A,THE,for,to,-36.19303894042969,"[-3.2175362, -8.21557, -7.2260275, -5.7237253, -2.7394786, -8.0020275, -1.0686728]"
a band designed a motor for me .,the candidate left the knife for him .,PD,PD,DESIGN,LEAVE,A,THE,for,for,-41.30288696289063,"[-3.2217147, -9.801516, -7.8374515, -1.3330965, -10.56807, -3.9740648, -3.504055, -1.0629153]"
a band designed a motor for me .,the candidate left him the knife .,PD,DO,DESIGN,LEAVE,A,THE,for,for,-41.1737174987793,"[-3.2217147, -9.801516, -7.8374515, -5.488817, -4.4701977, -8.469401, -1.8846194]"
a band designed a motor for us .,the friend purchased the box for me .,PD,PD,DESIGN,PURCHASE,A,THE,for,for,-34.9334716796875,"[-3.2223194, -10.125689, -9.408665, -1.5044858, -5.4470396, -2.7995262, -0.934111, -1.4916393]"
a band designed a motor for us .,the friend purchased me the box .,PD,DO,DESIGN,PURCHASE,A,THE,for,for,-37.8167610168457,"[-3.2223194, -10.125689, -9.408665, -4.562484, -2.95728, -5.734817, -1.8055056]"
a band designed a newspaper for you .,the singer gave the juice to me .,PD,PD,DESIGN,GIVE,A,THE,for,to,-38.86038589477539,"[-3.2010622, -9.118221, -6.722783, -2.278939, -11.327432, -0.5254775, -4.242204, -1.4442664]"
a band designed a newspaper for you .,the singer gave me the juice .,PD,DO,DESIGN,GIVE,A,THE,for,to,-35.81037521362305,"[-3.2010622, -9.118221, -6.722783, -3.8981225, -2.0932696, -9.00562, -1.7712983]"
a band designed a plate for you .,the actor sold the knife to me .,PD,PD,DESIGN,SELL,A,THE,for,to,-40.40018081665039,"[-3.2371786, -8.503561, -9.715278, -1.8870158, -8.65759, -0.81062615, -5.6747656, -1.9141674]"
a band designed a plate for you .,the actor sold me the knife .,PD,DO,DESIGN,SELL,A,THE,for,to,-39.84739303588867,"[-3.2371786, -8.503561, -9.715278, -6.591676, -2.6198947, -7.5985703, -1.581236]"
a band designed her a knife .,the prince purchased the beer for it .,DO,PD,DESIGN,PURCHASE,A,THE,for,for,-43.67593383789063,"[-3.2376528, -9.900419, -9.551004, -1.3354588, -8.464033, -2.9463754, -6.9142585, -1.3267323]"
a band designed her a knife .,the prince purchased it the beer .,DO,DO,DESIGN,PURCHASE,A,THE,for,for,-45.94240188598633,"[-3.2376528, -9.900419, -9.551004, -4.363557, -5.7350383, -11.41334, -1.7413914]"
a band designed her a knife .,the priest saved the meal for us .,DO,PD,DESIGN,SAVE,A,THE,for,for,-42.91714477539063,"[-3.2376528, -10.178335, -9.49485, -1.7670983, -10.111881, -2.38854, -4.910024, -0.8287616]"
a band designed her a knife .,the priest saved us the meal .,DO,DO,DESIGN,SAVE,A,THE,for,for,-43.329925537109375,"[-3.2376528, -10.178335, -9.49485, -5.5226965, -4.6183963, -9.117452, -1.1605417]"
a band designed him a cigarette .,the employer purchased the salad for us .,DO,PD,DESIGN,PURCHASE,A,THE,for,for,-44.54005432128906,"[-3.2708223, -9.999793, -9.774438, -1.1410717, -10.852917, -3.5032134, -4.4331613, -1.5646404]"
a band designed him a cigarette .,the employer purchased us the salad .,DO,DO,DESIGN,PURCHASE,A,THE,for,for,-45.56535720825195,"[-3.2708223, -9.999793, -9.774438, -8.257411, -3.378757, -9.120177, -1.7639588]"
a band designed him a flower .,the singer promised the salad to you .,DO,PD,DESIGN,PROMISE,A,THE,for,to,-47.542945861816406,"[-3.266347, -8.68755, -8.18558, -3.9418306, -11.492048, -3.7723951, -6.602433, -1.5947611]"
a band designed him a flower .,the singer promised you the salad .,DO,DO,DESIGN,PROMISE,A,THE,for,to,-42.958290100097656,"[-3.266347, -8.68755, -8.18558, -6.3175516, -3.490521, -11.383227, -1.6275132]"
a band designed him a gun .,the mother sold the computer to us .,DO,PD,DESIGN,SELL,A,THE,for,to,-41.169769287109375,"[-3.2414966, -7.729611, -10.796871, -1.9502599, -7.34824, -1.3895284, -7.2242274, -1.4895368]"
a band designed him a gun .,the mother sold us the computer .,DO,DO,DESIGN,SELL,A,THE,for,to,-40.107521057128906,"[-3.2414966, -7.729611, -10.796871, -6.658972, -2.5560358, -7.8588057, -1.2657299]"
a band designed him a gun .,the leader took the iron to us .,DO,PD,DESIGN,TAKE,A,THE,for,to,-45.875770568847656,"[-3.2414966, -7.704403, -10.6490755, -2.0637827, -8.8858185, -3.8641975, -8.391822, -1.0751736]"
a band designed him a gun .,the leader took us the iron .,DO,DO,DESIGN,TAKE,A,THE,for,to,-47.05396270751953,"[-3.2414966, -7.704403, -10.6490755, -5.759096, -5.4062967, -10.104226, -4.18937]"
a band designed him a key .,the father drew the card for us .,DO,PD,DESIGN,DRAW,A,THE,for,for,-40.16684722900391,"[-3.1902654, -8.084003, -9.970238, -2.258809, -6.233109, -3.17907, -6.058326, -1.1930281]"
a band designed him a key .,the father drew us the card .,DO,DO,DESIGN,DRAW,A,THE,for,for,-38.788841247558594,"[-3.1902654, -8.084003, -9.970238, -6.8937864, -3.0623043, -6.1569633, -1.4312781]"
a band designed him a key .,the minister delivered the juice for you .,DO,PD,DESIGN,DELIVER,A,THE,for,for,-50.87982177734375,"[-3.1902654, -9.218908, -9.871092, -1.830121, -14.008299, -2.8905473, -8.413324, -1.4572651]"
a band designed him a key .,the minister delivered you the juice .,DO,DO,DESIGN,DELIVER,A,THE,for,for,-45.65244674682617,"[-3.1902654, -9.218908, -9.871092, -10.469248, -1.8185909, -10.236951, -0.8473913]"
a band designed him a motor .,the king sent the tea to you .,DO,PD,DESIGN,SEND,A,THE,for,to,-40.912845611572266,"[-3.2321959, -8.191843, -7.2510667, -2.4086618, -9.930189, -1.6591412, -7.1348953, -1.1048535]"
a band designed him a motor .,the king sent you the tea .,DO,DO,DESIGN,SEND,A,THE,for,to,-35.88874053955078,"[-3.2321959, -8.191843, -7.2510667, -5.5974493, -2.4687798, -8.207027, -0.9403784]"
a band designed it a computer .,the worker got the beer for us .,DO,PD,DESIGN,GET,A,THE,for,for,-42.513671875,"[-3.1894479, -10.35019, -7.0866947, -2.5689106, -7.8675103, -3.5945854, -6.584075, -1.2722563]"
a band designed it a computer .,the worker got us the beer .,DO,DO,DESIGN,GET,A,THE,for,for,-39.629024505615234,"[-3.1894479, -10.35019, -7.0866947, -7.518793, -2.9353104, -7.175105, -1.3734833]"
a band designed me a card .,the captain gave the coffee to us .,DO,PD,DESIGN,GIVE,A,THE,for,to,-39.60947799682617,"[-3.2430673, -9.213764, -6.600389, -2.0148833, -10.42175, -1.5545093, -5.083941, -1.477174]"
a band designed me a card .,the captain gave us the coffee .,DO,DO,DESIGN,GIVE,A,THE,for,to,-36.00421905517578,"[-3.2430673, -9.213764, -6.600389, -3.7104046, -1.9381334, -9.716929, -1.5815305]"
a band designed me a cigarette .,the boy threw the cheese to them .,DO,PD,DESIGN,THROW,A,THE,for,to,-42.08955001831055,"[-3.2637136, -8.491262, -7.111864, -2.0168335, -8.750867, -4.4605665, -6.883758, -1.1106837]"
a band designed me a cigarette .,the boy threw them the cheese .,DO,DO,DESIGN,THROW,A,THE,for,to,-38.113380432128906,"[-3.2637136, -8.491262, -7.111864, -6.455266, -3.2235868, -8.31448, -1.2532061]"
a band designed me a motor .,the candidate left the knife for him .,DO,PD,DESIGN,LEAVE,A,THE,for,for,-42.44920349121094,"[-3.2370832, -9.856895, -7.849932, -1.500298, -10.537209, -4.27365, -3.8960328, -1.2980996]"
a band designed me a motor .,the candidate left him the knife .,DO,DO,DESIGN,LEAVE,A,THE,for,for,-41.388092041015625,"[-3.2370832, -9.856895, -7.849932, -5.3044553, -4.6043634, -8.617155, -1.9182055]"
a band designed them a card .,the uncle took the plate to you .,DO,PD,DESIGN,TAKE,A,THE,for,to,-42.10848236083984,"[-3.216706, -11.431245, -7.1639347, -1.7370697, -6.809719, -2.610763, -7.8786755, -1.2603662]"
a band designed them a card .,the uncle took you the plate .,DO,DO,DESIGN,TAKE,A,THE,for,to,-44.87215042114258,"[-3.216706, -11.431245, -7.1639347, -6.544399, -5.901658, -9.248582, -1.3656249]"
