prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep
the partner drew the hat for the attorney .,a lady brought a pie to a club .,PD,PD,DRAW,BRING,THE,A,for,to
the partner drew the hat for the attorney .,a lady brought a club a pie .,PD,DO,DRAW,BRING,THE,A,for,to
the partner drew the attorney the hat .,a lady brought a pie to a club .,DO,PD,DRAW,BRING,THE,A,for,to
the partner drew the attorney the hat .,a lady brought a club a pie .,DO,DO,DRAW,BRING,THE,A,for,to
the champion drew the cup for the buddy .,a cousin brought a bag to a company .,PD,PD,DRAW,BRING,THE,A,for,to
the champion drew the cup for the buddy .,a cousin brought a company a bag .,PD,DO,DRAW,BRING,THE,A,for,to
the champion drew the buddy the cup .,a cousin brought a bag to a company .,DO,PD,DRAW,BRING,THE,A,for,to
the champion drew the buddy the cup .,a cousin brought a company a bag .,DO,DO,DRAW,BRING,THE,A,for,to
the leader drew the telephone for the company .,an uncle brought an anchor to a priest .,PD,PD,DRAW,BRING,THE,A,for,to
the leader drew the telephone for the company .,an uncle brought a priest an anchor .,PD,DO,DRAW,BRING,THE,A,for,to
the leader drew the company the telephone .,an uncle brought an anchor to a priest .,DO,PD,DRAW,BRING,THE,A,for,to
the leader drew the company the telephone .,an uncle brought a priest an anchor .,DO,DO,DRAW,BRING,THE,A,for,to
the manager drew the gun for the band .,a man brought a book to an administration .,PD,PD,DRAW,BRING,THE,A,for,to
the manager drew the gun for the band .,a man brought an administration a book .,PD,DO,DRAW,BRING,THE,A,for,to
the manager drew the band the gun .,a man brought a book to an administration .,DO,PD,DRAW,BRING,THE,A,for,to
the manager drew the band the gun .,a man brought an administration a book .,DO,DO,DRAW,BRING,THE,A,for,to
the cop drew the coat for the club .,a girl brought a coffee to a guy .,PD,PD,DRAW,BRING,THE,A,for,to
the cop drew the coat for the club .,a girl brought a guy a coffee .,PD,DO,DRAW,BRING,THE,A,for,to
the cop drew the club the coat .,a girl brought a coffee to a guy .,DO,PD,DRAW,BRING,THE,A,for,to
the cop drew the club the coat .,a girl brought a guy a coffee .,DO,DO,DRAW,BRING,THE,A,for,to
the secretary drew the card for the band .,a princess brought a coffee to an adult .,PD,PD,DRAW,BRING,THE,A,for,to
the secretary drew the card for the band .,a princess brought an adult a coffee .,PD,DO,DRAW,BRING,THE,A,for,to
the secretary drew the band the card .,a princess brought a coffee to an adult .,DO,PD,DRAW,BRING,THE,A,for,to
