prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew the attorney the hat .,DRAW,THE,for,a lady brought a club a pie .,BRING,A,to,-47.42423629760742,-49.15364074707031,-42.55349349975586,-46.35440444946289
the champion drew the buddy the cup .,DRAW,THE,for,a cousin brought a company a bag .,BRING,A,to,-41.88462448120117,-46.420806884765625,-41.61323547363281,-43.21722412109375
the leader drew the company the telephone .,DRAW,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-45.50539016723633,-46.56303787231445,-45.28549957275391,-44.73370361328125
the manager drew the band the gun .,DRAW,THE,for,a man brought an administration a book .,BRING,A,to,-45.81044387817383,-46.575439453125,-44.7158203125,-42.92362976074219
the cop drew the club the coat .,DRAW,THE,for,a girl brought a guy a coffee .,BRING,A,to,-33.59779357910156,-36.460391998291016,-34.155662536621094,-33.44114685058594
the secretary drew the band the card .,DRAW,THE,for,a princess brought an adult a coffee .,BRING,A,to,-50.6505126953125,-48.14308166503906,-43.73443984985352,-40.736961364746094
the husband drew the administration the hat .,DRAW,THE,for,a lady brought an employer a computer .,BRING,A,to,-46.42758560180664,-47.699127197265625,-42.61261749267578,-41.880897521972656
the employee drew the army the button .,DRAW,THE,for,a colonel brought a candidate a television .,BRING,A,to,-46.69791412353516,-51.09919357299805,-46.919044494628906,-47.82481384277344
the employee drew the lawyer the glass .,DRAW,THE,for,a teacher brought a singer an engine .,BRING,A,to,-45.51658630371094,-46.274169921875,-40.524261474609375,-39.66144180297852
the student drew the company the cup .,DRAW,THE,for,a mayor brought a band an instrument .,BRING,A,to,-41.698238372802734,-47.42167663574219,-40.91455078125,-44.59138870239258
the princess drew the physician the plate .,DRAW,THE,for,a colonel brought a business a tea .,BRING,A,to,-51.43795394897461,-51.556034088134766,-48.11053085327149,-45.17151641845703
the actress drew the company the card .,DRAW,THE,for,an aunt brought an army a jacket .,BRING,A,to,-50.197784423828125,-52.99753952026367,-50.32267761230469,-51.27992248535156
the mother drew the business the flower .,DRAW,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-51.13012313842773,-52.338417053222656,-49.0661735534668,-47.38426208496094
the president drew the author the iron .,DRAW,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-41.62152862548828,-42.81988143920898,-42.49435043334961,-41.78362274169922
the mother drew the girl the crystal .,DRAW,THE,for,an employee brought a business a camera .,BRING,A,to,-48.77549743652344,-52.66792678833008,-45.83404922485352,-47.78719329833984
the guest drew the girl the guitar .,DRAW,THE,for,a parent brought a club a meal .,BRING,A,to,-49.77920150756836,-53.50371551513672,-45.81319427490234,-47.45068740844727
the chief drew the boy the newspaper .,DRAW,THE,for,a prince brought a business a motor .,BRING,A,to,-54.81810760498047,-53.47304534912109,-51.97095489501953,-50.50625991821289
the employee drew the king the engine .,DRAW,THE,for,a colonel brought a business a bottle .,BRING,A,to,-47.31702423095703,-50.98823547363281,-43.8602180480957,-44.243648529052734
