text,structure,verb,det,prep
a lady brought a pie to a club .,PD,BRING,A,to
a lady brought a club a pie .,DO,BRING,A,to
a cousin brought a bag to a company .,PD,BRING,A,to
a cousin brought a company a bag .,DO,BRING,A,to
an uncle brought an anchor to a priest .,PD,BRING,A,to
an uncle brought a priest an anchor .,DO,BRING,A,to
a man brought a book to an administration .,PD,BRING,A,to
a man brought an administration a book .,DO,BRING,A,to
a girl brought a coffee to a guy .,PD,BRING,A,to
a girl brought a guy a coffee .,DO,BRING,A,to
a princess brought a coffee to an adult .,PD,BRING,A,to
a princess brought an adult a coffee .,DO,BRING,A,to
a lady brought a computer to an employer .,PD,BRING,A,to
a lady brought an employer a computer .,DO,BRING,A,to
a colonel brought a television to a candidate .,PD,BRING,A,to
a colonel brought a candidate a television .,DO,BRING,A,to
a teacher brought an engine to a singer .,PD,BRING,A,to
a teacher brought a singer an engine .,DO,BRING,A,to
a mayor brought an instrument to a band .,PD,BRING,A,to
a mayor brought a band an instrument .,DO,BRING,A,to
a colonel brought a tea to a business .,PD,BRING,A,to
a colonel brought a business a tea .,DO,BRING,A,to
an aunt brought a jacket to an army .,PD,BRING,A,to
an aunt brought an army a jacket .,DO,BRING,A,to
a hero brought a chocolate to a wife .,PD,BRING,A,to
a hero brought a wife a chocolate .,DO,BRING,A,to
a soldier brought a cup to a scientist .,PD,BRING,A,to
a soldier brought a scientist a cup .,DO,BRING,A,to
an employee brought a camera to a business .,PD,BRING,A,to
an employee brought a business a camera .,DO,BRING,A,to
a parent brought a meal to a club .,PD,BRING,A,to
a parent brought a club a meal .,DO,BRING,A,to
a prince brought a motor to a business .,PD,BRING,A,to
a prince brought a business a motor .,DO,BRING,A,to
a colonel brought a bottle to a business .,PD,BRING,A,to
a colonel brought a business a bottle .,DO,BRING,A,to
a professor brought a tea to a band .,PD,BRING,A,to
a professor brought a band a tea .,DO,BRING,A,to
a soldier brought a telephone to a kid .,PD,BRING,A,to
a soldier brought a kid a telephone .,DO,BRING,A,to
a father brought a beer to a corporation .,PD,BRING,A,to
a father brought a corporation a beer .,DO,BRING,A,to
a doctor brought a tea to a chief .,PD,BRING,A,to
a doctor brought a chief a tea .,DO,BRING,A,to
a candidate brought a chocolate to a man .,PD,BRING,A,to
a candidate brought a man a chocolate .,DO,BRING,A,to
a mayor brought a coffee to a priest .,PD,BRING,A,to
a mayor brought a priest a coffee .,DO,BRING,A,to
an employer brought a tea to an attorney .,PD,BRING,A,to
