text,structure,verb,det,prep,SUBJ,VERB,DOBJ,IOBJ,PREP,EOS,sen_prob_nospace,perplexity_nospace
a lady brought a pie to a club .,PD,BRING,A,to,-12.528146743774414,-7.516814708709717,-9.436224937438965,-8.46650218963623,-1.1053590774536133,-2.4488422870635986,-41.50188446044922,100.61692810058594
a lady brought a club a pie .,DO,BRING,A,to,-12.528146743774414,-7.516814708709717,-13.720759391784668,-11.71992015838623,0.0,-2.436845064163208,-47.9224853515625,399.5387268066406
a cousin brought a bag to a company .,PD,BRING,A,to,-13.521003723144531,-8.00344467163086,-6.841179370880127,-11.191064834594727,-2.929222822189331,-6.3477277755737305,-48.833641052246094,227.22940063476562
a cousin brought a company a bag .,DO,BRING,A,to,-13.521003723144531,-8.00344467163086,-10.54328727722168,-10.986597061157227,0.0,-5.569111347198486,-48.62344741821289,436.1258850097656
an uncle brought an anchor to a priest .,PD,BRING,A,to,-14.965593338012695,-8.241844177246094,-12.563051223754883,-11.398948669433594,-0.9764209985733032,-3.4205775260925293,-51.56643295288086,307.84722900390625
an uncle brought a priest an anchor .,DO,BRING,A,to,-14.965593338012695,-8.241844177246094,-15.67131233215332,-11.249310493469238,0.0,-3.4169845581054688,-53.545047760009766,806.844482421875
a man brought a book to an administration .,PD,BRING,A,to,-7.685215950012207,-8.406869888305664,-7.873169898986816,-14.8471040725708,-0.9195200204849243,-7.785818576812744,-47.5177001953125,196.3197021484375
a man brought an administration a book .,DO,BRING,A,to,-7.685215950012207,-8.406869888305664,-12.645918846130371,-15.542444229125977,0.0,-4.119103908538818,-48.39955520629883,424.0894470214844
a girl brought a coffee to a guy .,PD,BRING,A,to,-11.087949752807617,-7.8447160720825195,-9.662212371826172,-7.208370685577393,-1.525012493133545,-2.95654559135437,-40.28480529785156,87.89030456542969
a girl brought a guy a coffee .,DO,BRING,A,to,-11.087949752807617,-7.8447160720825195,-10.198419570922852,-10.270276069641113,0.0,-2.325282573699951,-41.726646423339844,184.16476440429688
a princess brought a coffee to an adult .,PD,BRING,A,to,-14.581560134887695,-7.428006172180176,-10.76276683807373,-9.489635467529297,-1.3805313110351562,-2.2226717472076416,-45.865169525146484,163.38836669921875
a princess brought an adult a coffee .,DO,BRING,A,to,-14.581560134887695,-7.428006172180176,-13.700469017028809,-10.346013069152832,0.0,-2.11301326751709,-48.1690673828125,412.04534912109375
a lady brought a computer to an employer .,PD,BRING,A,to,-12.528146743774414,-7.516814708709717,-9.903740882873535,-10.545676231384277,-0.9234083890914917,-3.161412239074707,-44.579200744628906,141.63375854492188
a lady brought an employer a computer .,DO,BRING,A,to,-12.528146743774414,-7.516814708709717,-11.265827178955078,-14.687331199645996,0.0,-4.120565414428711,-50.118682861328125,525.7550048828125
a colonel brought a television to a candidate .,PD,BRING,A,to,-14.814725875854492,-8.236944198608398,-9.88901424407959,-11.362957954406738,-1.884395718574524,-5.502486705780029,-51.690521240234375,312.12109375
a colonel brought a candidate a television .,DO,BRING,A,to,-14.814725875854492,-8.236944198608398,-13.62772274017334,-12.038618087768555,0.0,-5.254115104675293,-53.97212600708008,851.0881958007812
a teacher brought an engine to a singer .,PD,BRING,A,to,-11.452590942382812,-7.912125587463379,-12.436148643493652,-14.854162216186523,-0.9267409443855286,-4.366641521453857,-51.94841003417969,321.194091796875
