text,structure,verb,det,prep,SUBJ,VERB,DOBJ,IOBJ,PREP,EOS,sen_prob_nospace,perplexity_nospace
a lady brought a pie to him .,PD,BRING,A,to,-13.002620697021484,-8.294351577758789,-8.623966217041016,-6.733097076416016,-0.5648365020751953,-2.0187301635742188,-39.23760223388672,134.92247009277344
a lady brought him a pie .,DO,BRING,A,to,-13.002620697021484,-8.294351577758789,-7.433409690856934,-5.685195446014404,0.0,-1.5464239120483398,-35.961997985839844,170.2772979736328
a cousin brought a bag to you .,PD,BRING,A,to,-13.750970840454102,-8.772215843200684,-6.255206108093262,-8.62080192565918,-4.078192710876465,-2.109215021133423,-43.58660125732422,232.36865234375
a cousin brought you a bag .,DO,BRING,A,to,-13.750970840454102,-8.772215843200684,-8.618563652038574,-6.160910606384277,0.0,-5.608821392059326,-42.91148376464844,459.5335693359375
an uncle brought an anchor to you .,PD,BRING,A,to,-14.346532821655273,-7.561369895935059,-12.473801612854004,-8.210439682006836,-1.0850902795791626,-2.012528419494629,-45.68976593017578,302.23980712890625
an uncle brought you an anchor .,DO,BRING,A,to,-14.346532821655273,-7.561369895935059,-12.712152481079102,-6.181356430053711,0.0,-2.10573148727417,-42.907142639160156,459.2486572265625
a man brought a book to her .,PD,BRING,A,to,-6.948237895965576,-8.155011177062988,-8.912109375,-5.907177448272705,-1.3260316848754883,-4.910696029663086,-36.159263610839844,91.8271484375
a man brought her a book .,DO,BRING,A,to,-6.948237895965576,-8.155011177062988,-7.588961601257324,-5.611812114715576,0.0,-3.1650099754333496,-31.469032287597656,89.61978149414062
a girl brought a coffee to her .,PD,BRING,A,to,-10.547883987426758,-7.532788276672363,-10.659296989440918,-1.5357493162155151,-1.7081834077835083,-8.676074981689453,-40.659976959228516,161.176025390625
a girl brought her a coffee .,DO,BRING,A,to,-10.547883987426758,-7.532788276672363,-13.698991775512695,-2.202714443206787,0.0,-2.8214914798736572,-36.80386734008789,192.03839111328125
a princess brought a coffee to us .,PD,BRING,A,to,-14.147998809814453,-8.037335395812988,-11.784621238708496,-7.398035049438477,-1.6373088359832764,-2.019050359725952,-45.02435302734375,278.11761474609375
a princess brought us a coffee .,DO,BRING,A,to,-14.147998809814453,-8.037335395812988,-11.254449844360352,-7.19722843170166,0.0,-2.2545862197875977,-42.891597747802734,458.2299499511719
a lady brought a computer to him .,PD,BRING,A,to,-13.002620697021484,-8.294351577758789,-9.59130859375,-7.895707130432129,-0.8919955492019653,-2.463679313659668,-42.13966369628906,193.92237854003906
a lady brought him a computer .,DO,BRING,A,to,-13.002620697021484,-8.294351577758789,-10.163013458251953,-5.685195446014404,0.0,-2.0917510986328125,-39.23693084716797,271.8569030761719
a colonel brought a television to me .,PD,BRING,A,to,-14.825262069702148,-9.1569242477417,-10.074518203735352,-6.377255439758301,-2.3408267498016357,-2.1196253299713135,-44.8944091796875,273.63665771484375
a colonel brought me a television .,DO,BRING,A,to,-14.825262069702148,-9.1569242477417,-10.26094913482666,-5.023542881011963,0.0,-1.8464370965957642,-41.11311721801758,355.4208068847656
a teacher brought an engine to him .,PD,BRING,A,to,-10.682794570922852,-8.437044143676758,-13.339059829711914,-8.131473541259766,-1.4341849088668823,-2.484933853149414,-44.509490966796875,260.78240966796875
a teacher brought him an engine .,DO,BRING,A,to,-10.682794570922852,-8.437044143676758,-13.79477596282959,-6.32697868347168,0.0,-3.1747868061065674,-42.4163818359375,428.1540832519531
a mayor brought an instrument to them .,PD,BRING,A,to,-13.140932083129883,-9.343238830566406,-12.969371795654297,-9.06270694732666,-2.1382408142089844,-2.1625208854675293,-48.81700897216797,446.8067321777344
a mayor brought them an instrument .,DO,BRING,A,to,-13.140932083129883,-9.343238830566406,-16.21097183227539,-7.789454936981201,0.0,-2.8860626220703125,-49.37065887451172,1156.26611328125
a colonel brought a tea to you .,PD,BRING,A,to,-14.825262069702148,-9.1569242477417,-10.971330642700195,-7.554886341094971,-2.9233555793762207,-1.8683594465255737,-47.300113677978516,369.63433837890625
a colonel brought you a tea .,DO,BRING,A,to,-14.825262069702148,-9.1569242477417,-9.715709686279297,-7.201455593109131,0.0,-2.7695040702819824,-43.66885757446289,512.0427856445312
an aunt brought a jacket to him .,PD,BRING,A,to,-14.620113372802734,-9.46393871307373,-9.785462379455566,-6.204888820648193,-1.1310539245605469,-2.3575727939605713,-43.56303024291992,231.68502807617188
an aunt brought him a jacket .,DO,BRING,A,to,-14.620113372802734,-9.46393871307373,-9.18272590637207,-4.138733386993408,0.0,-2.3542208671569824,-39.75973129272461,292.93817138671875
a hero brought a chocolate to it .,PD,BRING,A,to,-12.545509338378906,-8.35987663269043,-11.22890853881836,-8.761795997619629,-4.557687759399414,-2.6143946647644043,-48.06817626953125,406.88153076171875
a hero brought it a chocolate .,DO,BRING,A,to,-12.545509338378906,-8.35987663269043,-17.53688621520996,-6.4171929359436035,0.0,-4.691806316375732,-49.551273345947266,1186.4884033203125
a soldier brought a cup to us .,PD,BRING,A,to,-10.762775421142578,-8.649892807006836,-9.446992874145508,-8.263587951660156,-3.84920334815979,-2.3053181171417236,-43.27777099609375,223.5692901611328
a soldier brought us a cup .,DO,BRING,A,to,-10.762775421142578,-8.649892807006836,-8.156841278076172,-7.167672157287598,0.0,-5.858634948730469,-40.5958137512207,330.1020812988281
an employee brought a camera to you .,PD,BRING,A,to,-10.46243667602539,-8.97075366973877,-7.041881561279297,-10.842340469360352,-0.5980603694915771,-2.5707783699035645,-40.48625183105469,157.71371459960938
an employee brought you a camera .,DO,BRING,A,to,-10.46243667602539,-8.97075366973877,-9.734577178955078,-8.273920059204102,0.0,-2.880988121032715,-40.32267761230469,317.4697570800781
a parent brought a meal to us .,PD,BRING,A,to,-11.838857650756836,-7.4618988037109375,-10.175129890441895,-8.367095947265625,-0.646401584148407,-3.081139087677002,-41.570526123046875,180.60562133789062
a parent brought us a meal .,DO,BRING,A,to,-11.838857650756836,-7.4618988037109375,-10.130661964416504,-8.035133361816406,0.0,-3.3912506103515625,-40.85780334472656,342.6909484863281
a prince brought a motor to us .,PD,BRING,A,to,-13.514665603637695,-8.757452964782715,-10.98314380645752,-8.74370002746582,-6.806705951690674,-2.2918148040771484,-51.09748077392578,594.181640625
a prince brought us a motor .,DO,BRING,A,to,-13.514665603637695,-8.757452964782715,-12.912513732910156,-6.360381126403809,0.0,-5.256255626678467,-46.80126953125,801.0277709960938
a colonel brought a bottle to you .,PD,BRING,A,to,-14.825262069702148,-9.1569242477417,-7.349060535430908,-9.031416893005371,-4.573060035705566,-2.099508762359619,-47.03523254394531,357.5960693359375
a colonel brought you a bottle .,DO,BRING,A,to,-14.825262069702148,-9.1569242477417,-7.221221446990967,-7.201455593109131,0.0,-4.898818016052246,-43.303680419921875,486.0152893066406
a professor brought a tea to them .,PD,BRING,A,to,-10.801044464111328,-9.28198528289795,-11.208649635314941,-9.068764686584473,-3.6916308403015137,-1.9143825769424438,-45.96645736694336,312.8760681152344
a professor brought them a tea .,DO,BRING,A,to,-10.801044464111328,-9.28198528289795,-11.796642303466797,-8.21081256866455,0.0,-2.5249948501586914,-42.615478515625,440.5066223144531
a soldier brought a telephone to me .,PD,BRING,A,to,-10.762775421142578,-8.649892807006836,-11.240374565124512,-7.1834306716918945,-1.3195574283599854,-2.0754499435424805,-41.23147964477539,173.11134338378906
a soldier brought me a telephone .,DO,BRING,A,to,-10.762775421142578,-8.649892807006836,-10.313523292541504,-6.763515472412109,0.0,-1.960330605506897,-38.450035095214844,242.9515838623047
a father brought a beer to me .,PD,BRING,A,to,-10.41616439819336,-8.175292015075684,-10.098292350769043,-8.235706329345703,-0.981066107749939,-2.977675437927246,-40.88420104980469,165.7573699951172
a father brought me a beer .,DO,BRING,A,to,-10.41616439819336,-8.175292015075684,-7.417374610900879,-9.35568618774414,0.0,-2.1897339820861816,-37.55424880981445,213.76829528808594
a doctor brought a tea to us .,PD,BRING,A,to,-11.013708114624023,-8.73480224609375,-11.279321670532227,-6.653802871704102,-3.3432750701904297,-2.3587803840637207,-43.383689880371094,226.5489959716797
a doctor brought us a tea .,DO,BRING,A,to,-11.013708114624023,-8.73480224609375,-10.971956253051758,-6.41178560256958,0.0,-2.907947063446045,-40.04019546508789,304.9134216308594
a candidate brought a chocolate to you .,PD,BRING,A,to,-11.586334228515625,-9.550198554992676,-10.594098091125488,-9.78000259399414,-5.858941555023193,-2.389561176300049,-49.75913619995117,502.6489562988281
a candidate brought you a chocolate .,DO,BRING,A,to,-11.586334228515625,-9.550198554992676,-11.13451099395752,-8.921907424926758,0.0,-6.257672309875488,-47.45062255859375,878.8905639648438
a mayor brought a coffee to me .,PD,BRING,A,to,-13.140932083129883,-9.343238830566406,-10.732415199279785,-5.791441440582275,-1.8501638174057007,-2.4300568103790283,-43.288246154785156,223.86221313476562
a mayor brought me a coffee .,DO,BRING,A,to,-13.140932083129883,-9.343238830566406,-6.87175178527832,-6.787081241607666,0.0,-1.5360751152038574,-37.679080963134766,217.61465454101562
an employer brought a tea to you .,PD,BRING,A,to,-13.422576904296875,-10.676025390625,-12.684252738952637,-6.816404819488525,-4.590914726257324,-2.2062559127807617,-50.39643478393555,544.3292846679688
