prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
the doctor saved the beer for the company .,a girl purchased a log for a business .,PD,PD,SAVE,PURCHASE,THE,A,for,for,-41.53611755371094,"[-3.530016, -6.7489953, -10.20212, -0.56463265, -9.579422, -1.5023127, -2.2364306, -5.192839, -1.9793501]"
the doctor saved the beer for the company .,a girl purchased a business a log .,PD,DO,SAVE,PURCHASE,THE,A,for,for,-49.76385498046875,"[-3.530016, -6.7489953, -10.20212, -0.56463265, -8.310982, -6.6224265, -9.326993, -4.457691]"
the doctor saved the beer for the company .,a singer showed a cheese to a corporation .,PD,PD,SAVE,SHOW,THE,A,for,to,-54.24386215209961,"[-3.530016, -10.202343, -9.003027, -2.625946, -11.644889, -4.1830244, -0.87056494, -10.289491, -1.8945607]"
the doctor saved the beer for the company .,a singer showed a corporation a cheese .,PD,DO,SAVE,SHOW,THE,A,for,to,-55.86233139038086,"[-3.530016, -10.202343, -9.003027, -2.625946, -13.713048, -1.6830168, -11.219959, -3.8849742]"
the doctor saved the bowl for the company .,a singer caught a book for a mayor .,PD,PD,SAVE,CATCH,THE,A,for,for,-52.49097442626953,"[-3.533884, -10.301977, -6.9205055, -4.1875634, -8.749575, -3.5580158, -1.9543625, -11.332709, -1.9523809]"
the doctor saved the bowl for the company .,a singer caught a mayor a book .,PD,DO,SAVE,CATCH,THE,A,for,for,-55.28654098510742,"[-3.533884, -10.301977, -6.9205055, -4.1875634, -12.059881, -7.015909, -8.090085, -3.1767364]"
the doctor saved the bowl for the company .,a soldier promised a pie to a father .,PD,PD,SAVE,PROMISE,THE,A,for,to,-46.22615051269531,"[-3.533884, -7.3555408, -12.206228, -2.383321, -9.083517, -1.585777, -1.7552006, -6.176711, -2.1459687]"
the doctor saved the bowl for the company .,a soldier promised a father a pie .,PD,DO,SAVE,PROMISE,THE,A,for,to,-44.51148223876953,"[-3.533884, -7.3555408, -12.206228, -2.383321, -7.962086, -1.8394301, -7.272425, -1.9585665]"
the doctor saved the cheese for the student .,a soldier gave a pie to an army .,PD,PD,SAVE,GIVE,THE,A,for,to,-44.89740753173828,"[-3.5451555, -7.2552547, -8.146488, -1.360499, -9.710292, -0.097886026, -2.666501, -5.5194993, -6.5958314]"
the doctor saved the cheese for the student .,a soldier gave an army a pie .,PD,DO,SAVE,GIVE,THE,A,for,to,-44.336551666259766,"[-3.5451555, -7.2552547, -8.146488, -3.1486402, -5.9260693, -5.4014444, -9.104159, -1.8093405]"
the doctor saved the chocolate for the singer .,an opponent supplied a juice to a company .,PD,PD,SAVE,SUPPLY,THE,A,for,to,-54.86570358276367,"[-5.677046, -8.451443, -13.114366, -1.6779987, -9.24276, -1.5921961, -2.5909479, -8.945155, -3.5737934]"
