prime_sentence,prime_structure,prime_verb,target_sentence,target_structure,target_verb,perplexity,log_prob
a mayor purchased a gun for a corporation .,PD,PURCHASE,the physician sent the cheese to the mother .,PD,SEND,390.7094421386719,-47.74371337890625
a mayor purchased a corporation a gun .,DO,PURCHASE,the physician sent the cheese to the mother .,PD,SEND,386.1637878417969,-47.65009307861328
a mayor purchased a gun for a corporation .,PD,PURCHASE,the physician sent the mother the cheese .,DO,SEND,1605.7327880859375,-51.66934585571289
a mayor purchased a corporation a gun .,DO,PURCHASE,the physician sent the mother the cheese .,DO,SEND,1565.780029296875,-51.49297332763672
a soldier bought a crystal for a guy .,PD,BUY,the physician sent the cheese to the mother .,PD,SEND,388.8276672363281,-47.7050895690918
a soldier bought a guy a crystal .,DO,BUY,the physician sent the cheese to the mother .,PD,SEND,389.7028503417969,-47.72307586669922
a soldier bought a crystal for a guy .,PD,BUY,the physician sent the mother the cheese .,DO,SEND,1605.9610595703125,-51.67034149169922
a soldier bought a guy a crystal .,DO,BUY,the physician sent the mother the cheese .,DO,SEND,1597.6387939453125,-51.63397216796875
a son bought a telephone for a guest .,PD,BUY,the physician sent the cheese to the mother .,PD,SEND,384.041748046875,-47.60601043701172
a son bought a guest a telephone .,DO,BUY,the physician sent the cheese to the mother .,PD,SEND,385.8680114746094,-47.64396286010742
a son bought a telephone for a guest .,PD,BUY,the physician sent the mother the cheese .,DO,SEND,1567.7796630859375,-51.50190734863281
a son bought a guest a telephone .,DO,BUY,the physician sent the mother the cheese .,DO,SEND,1549.9974365234375,-51.42205810546875
a boy made a television for a student .,PD,MAKE,the physician sent the cheese to the mother .,PD,SEND,377.460693359375,-47.46773147583008
a boy made a student a television .,DO,MAKE,the physician sent the cheese to the mother .,PD,SEND,383.2331848144531,-47.589149475097656
a boy made a television for a student .,PD,MAKE,the physician sent the mother the cheese .,DO,SEND,1526.506103515625,-51.315155029296875
a boy made a student a television .,DO,MAKE,the physician sent the mother the cheese .,DO,SEND,1549.26123046875,-51.418731689453125
a chief saved a camera for an administration .,PD,SAVE,the physician sent the cheese to the mother .,PD,SEND,394.18170166015625,-47.81449508666992
a chief saved an administration a camera .,DO,SAVE,the physician sent the cheese to the mother .,PD,SEND,390.6272888183594,-47.74203109741211
a chief saved a camera for an administration .,PD,SAVE,the physician sent the mother the cheese .,DO,SEND,1623.3145751953125,-51.745574951171875
a chief saved an administration a camera .,DO,SAVE,the physician sent the mother the cheese .,DO,SEND,1593.6710205078125,-51.6165657043457
a minister found a meal for a club .,PD,FIND,the physician sent the cheese to the mother .,PD,SEND,391.88214111328125,-47.7676887512207
a minister found a club a meal .,DO,FIND,the physician sent the cheese to the mother .,PD,SEND,391.95855712890625,-47.769248962402344
a minister found a meal for a club .,PD,FIND,the physician sent the mother the cheese .,DO,SEND,1609.011474609375,-51.683624267578125
a minister found a club a meal .,DO,FIND,the physician sent the mother the cheese .,DO,SEND,1605.70556640625,-51.669227600097656
a girl found a coffee for a princess .,PD,FIND,the physician sent the cheese to the mother .,PD,SEND,389.2858581542969,-47.71451187133789
a girl found a princess a coffee .,DO,FIND,the physician sent the cheese to the mother .,PD,SEND,389.6339111328125,-47.72166061401367
a girl found a coffee for a princess .,PD,FIND,the physician sent the mother the cheese .,DO,SEND,1599.73486328125,-51.643150329589844
a girl found a princess a coffee .,DO,FIND,the physician sent the mother the cheese .,DO,SEND,1594.0177001953125,-51.61808776855469
a leader left a pie for a chief .,PD,LEAVE,the physician sent the cheese to the mother .,PD,SEND,380.1761474609375,-47.52507781982422
a leader left a chief a pie .,DO,LEAVE,the physician sent the cheese to the mother .,PD,SEND,383.1191711425781,-47.586769104003906
a leader left a pie for a chief .,PD,LEAVE,the physician sent the mother the cheese .,DO,SEND,1537.880126953125,-51.36711883544922
a leader left a chief a pie .,DO,LEAVE,the physician sent the mother the cheese .,DO,SEND,1560.4493408203125,-51.46910095214844
an employee left a pot for a sheriff .,PD,LEAVE,the physician sent the cheese to the mother .,PD,SEND,389.70245361328125,-47.72306823730469
an employee left a sheriff a pot .,DO,LEAVE,the physician sent the cheese to the mother .,PD,SEND,385.5805358886719,-47.63800048828125
an employee left a pot for a sheriff .,PD,LEAVE,the physician sent the mother the cheese .,DO,SEND,1600.0035400390625,-51.644325256347656
an employee left a sheriff a pot .,DO,LEAVE,the physician sent the mother the cheese .,DO,SEND,1582.853515625,-51.56888961791992
an attorney saved a bowl for a manager .,PD,SAVE,the physician sent the cheese to the mother .,PD,SEND,389.575927734375,-47.7204704284668
an attorney saved a manager a bowl .,DO,SAVE,the physician sent the cheese to the mother .,PD,SEND,391.5912780761719,-47.761749267578125
an attorney saved a bowl for a manager .,PD,SAVE,the physician sent the mother the cheese .,DO,SEND,1593.3045654296875,-51.61495590209961
an attorney saved a manager a bowl .,DO,SAVE,the physician sent the mother the cheese .,DO,SEND,1608.5775146484375,-51.68173599243164
a secretary sold a juice to a manager .,PD,SELL,the doctor delivered the anchor for the kid .,PD,DELIVER,957.5577392578125,-54.91508865356445
a secretary sold a manager a juice .,DO,SELL,the doctor delivered the anchor for the kid .,PD,DELIVER,984.0286254882812,-55.13323974609375
a secretary sold a juice to a manager .,PD,SELL,the doctor delivered the kid the anchor .,DO,DELIVER,1500.8533935546875,-51.1965217590332
a secretary sold a manager a juice .,DO,SELL,the doctor delivered the kid the anchor .,DO,DELIVER,1547.25146484375,-51.409645080566406
a buddy promised a meal to a priest .,PD,PROMISE,the doctor delivered the anchor for the kid .,PD,DELIVER,961.2518920898438,-54.945892333984375
a buddy promised a priest a meal .,DO,PROMISE,the doctor delivered the anchor for the kid .,PD,DELIVER,971.03515625,-55.02690124511719
a buddy promised a meal to a priest .,PD,PROMISE,the doctor delivered the kid the anchor .,DO,DELIVER,1509.2603759765625,-51.23562240600586
a buddy promised a priest a meal .,DO,PROMISE,the doctor delivered the kid the anchor .,DO,DELIVER,1523.338134765625,-51.30061340332031
a cop showed a book to a bishop .,PD,SHOW,the doctor delivered the anchor for the kid .,PD,DELIVER,964.7435913085938,-54.97489929199219
a cop showed a bishop a book .,DO,SHOW,the doctor delivered the anchor for the kid .,PD,DELIVER,957.8080444335938,-54.917179107666016
a cop showed a book to a bishop .,PD,SHOW,the doctor delivered the kid the anchor .,DO,DELIVER,1515.7596435546875,-51.26570129394531
a cop showed a bishop a book .,DO,SHOW,the doctor delivered the kid the anchor .,DO,DELIVER,1502.002197265625,-51.20187759399414
a captain threw a pie to a partner .,PD,THROW,the doctor delivered the anchor for the kid .,PD,DELIVER,971.316650390625,-55.02922058105469
a captain threw a partner a pie .,DO,THROW,the doctor delivered the anchor for the kid .,PD,DELIVER,976.5347290039062,-55.07208251953125
a captain threw a pie to a partner .,PD,THROW,the doctor delivered the kid the anchor .,DO,DELIVER,1531.359375,-51.33737564086914
a captain threw a partner a pie .,DO,THROW,the doctor delivered the kid the anchor .,DO,DELIVER,1532.4857177734375,-51.34252166748047
a parent supplied a meal to a hero .,PD,SUPPLY,the doctor delivered the anchor for the kid .,PD,DELIVER,967.7716674804688,-54.999969482421875
a parent supplied a hero a meal .,DO,SUPPLY,the doctor delivered the anchor for the kid .,PD,DELIVER,964.9157104492188,-54.97632598876953
a parent supplied a meal to a hero .,PD,SUPPLY,the doctor delivered the kid the anchor .,DO,DELIVER,1518.4927978515625,-51.27831268310547
a parent supplied a hero a meal .,DO,SUPPLY,the doctor delivered the kid the anchor .,DO,DELIVER,1510.393310546875,-51.240875244140625
a singer fed a chicken to a chief .,PD,FEED,the doctor delivered the anchor for the kid .,PD,DELIVER,963.1316528320312,-54.96152114868164
a singer fed a chief a chicken .,DO,FEED,the doctor delivered the anchor for the kid .,PD,DELIVER,976.7904052734375,-55.07417678833008
a singer fed a chicken to a chief .,PD,FEED,the doctor delivered the kid the anchor .,DO,DELIVER,1513.137451171875,-51.25358200073242
a singer fed a chief a chicken .,DO,FEED,the doctor delivered the kid the anchor .,DO,DELIVER,1535.76611328125,-51.35749053955078
an aunt sold a beer to a mayor .,PD,SELL,the doctor delivered the anchor for the kid .,PD,DELIVER,968.2457275390625,-55.00388717651367
an aunt sold a mayor a beer .,DO,SELL,the doctor delivered the anchor for the kid .,PD,DELIVER,982.2453002929688,-55.11872863769531
an aunt sold a beer to a mayor .,PD,SELL,the doctor delivered the kid the anchor .,DO,DELIVER,1523.3050537109375,-51.30046081542969
an aunt sold a mayor a beer .,DO,SELL,the doctor delivered the kid the anchor .,DO,DELIVER,1548.404541015625,-51.414859771728516
a princess supplied a cheese to a club .,PD,SUPPLY,the doctor delivered the anchor for the kid .,PD,DELIVER,979.9464111328125,-55.09998321533203
a princess supplied a club a cheese .,DO,SUPPLY,the doctor delivered the anchor for the kid .,PD,DELIVER,973.5154418945312,-55.04730987548828
a princess supplied a cheese to a club .,PD,SUPPLY,the doctor delivered the kid the anchor .,DO,DELIVER,1541.879638671875,-51.38529968261719
a princess supplied a club a cheese .,DO,SUPPLY,the doctor delivered the kid the anchor .,DO,DELIVER,1527.35400390625,-51.31904220581055
a girl promised a chocolate to a pilot .,PD,PROMISE,the doctor delivered the anchor for the kid .,PD,DELIVER,961.255615234375,-54.9459228515625
a girl promised a pilot a chocolate .,DO,PROMISE,the doctor delivered the anchor for the kid .,PD,DELIVER,984.4378662109375,-55.136566162109375
a girl promised a chocolate to a pilot .,PD,PROMISE,the doctor delivered the kid the anchor .,DO,DELIVER,1505.3831787109375,-51.21761703491211
a girl promised a pilot a chocolate .,DO,PROMISE,the doctor delivered the kid the anchor .,DO,DELIVER,1542.9681396484375,-51.39023971557617
a son fed a chicken to a friend .,PD,FEED,the doctor delivered the anchor for the kid .,PD,DELIVER,957.0647583007812,-54.91096878051758
a son fed a friend a chicken .,DO,FEED,the doctor delivered the anchor for the kid .,PD,DELIVER,975.8197631835938,-55.06622314453125
a son fed a chicken to a friend .,PD,FEED,the doctor delivered the kid the anchor .,DO,DELIVER,1500.281005859375,-51.193851470947266
a son fed a friend a chicken .,DO,FEED,the doctor delivered the kid the anchor .,DO,DELIVER,1531.43701171875,-51.337730407714844
a pilot drew a crystal for a company .,PD,DRAW,the hero brought the book to the partner .,PD,BRING,589.033935546875,-51.027870178222656
a pilot drew a company a crystal .,DO,DRAW,the hero brought the book to the partner .,PD,BRING,584.4781494140625,-50.965755462646484
a pilot drew a crystal for a company .,PD,DRAW,the hero brought the partner the book .,DO,BRING,1709.15478515625,-52.10627746582031
a pilot drew a company a crystal .,DO,DRAW,the hero brought the partner the book .,DO,BRING,1703.142822265625,-52.08161163330078
a captain drew a crystal for a daughter .,PD,DRAW,the hero brought the book to the partner .,PD,BRING,582.160888671875,-50.93397521972656
a captain drew a daughter a crystal .,DO,DRAW,the hero brought the book to the partner .,PD,BRING,586.26123046875,-50.9901237487793
a captain drew a crystal for a daughter .,PD,DRAW,the hero brought the partner the book .,DO,BRING,1686.584228515625,-52.013221740722656
a captain drew a daughter a crystal .,DO,DRAW,the hero brought the partner the book .,DO,BRING,1707.0919189453125,-52.09782409667969
a kid purchased an anchor for an army .,PD,PURCHASE,the hero brought the book to the partner .,PD,BRING,588.9483032226562,-51.02670669555664
a kid purchased an army an anchor .,DO,PURCHASE,the hero brought the book to the partner .,PD,BRING,573.2846069335938,-50.811058044433594
a kid purchased an anchor for an army .,PD,PURCHASE,the hero brought the partner the book .,DO,BRING,1710.6923828125,-52.112571716308594
a kid purchased an army an anchor .,DO,PURCHASE,the hero brought the partner the book .,DO,BRING,1672.347900390625,-51.95388412475586
an actor bought a coffee for a father .,PD,BUY,the hero brought the book to the partner .,PD,BRING,574.55712890625,-50.82879638671875
an actor bought a father a coffee .,DO,BUY,the hero brought the book to the partner .,PD,BRING,582.7711181640625,-50.94235610961914
