rt,set_id,participant_id,theme_type,recipient_id,verb_id,theme_id,DOsentence,PDsentence,frequency_rank,classification,trial_index,DOpreference,verb
7588.535000104457,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,pronoun,101,2,Alice took him the blanket,Alice took the blanket to him,1,alternating,5,8,took
8010.565000004135,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,pronoun,107,4,Mary brought him a blanket,Mary brought a blanket to him,7,alternating,6,96,brought
12014.414999983273,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,something,shortDefinite,110,5,Juan sent the man something,Juan sent something to the man,10,alternating,7,6,sent
5073.590000043623,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,shortIndefinite,114,1,Alice drove a man the car,Alice drove the car to a man,14,alternating,8,6,drove
8397.740000043996,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,longDefinite,117,3,Linda taught the man from work a concept,Linda taught a concept to the man from work,17,alternating,9,4,taught
6219.09999998752,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,something,longDefinite,123,5,Juan flew the team from work something,Juan flew something to the team from work,23,alternating,10,4,flew
8362.259999965318,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,longIndefinite,127,1,John kicked a man from work the weapon,John kicked the weapon to a man from work,27,alternating,11,2,kicked
4484.304999932647,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,pronoun,130,2,John cited her the book,John cited the book to her,30,alternating,12,2,cited
5185.360000003129,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,shortDefinite,133,3,Maria quoted the man a sentence,Maria quoted a sentence to the man,33,alternating,13,4,quoted
31468.869999982417,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,shortIndefinite,136,4,Mary traded a man some food,Mary traded some food to a man,36,alternating,14,37,traded
5163.28999993857,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,shortIndefinite,143,1,Juan floated a woman the idea,Juan floated the idea to a woman,43,alternating,15,5,floated
6353.739999933168,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,longDefinite,146,3,Juan flipped the woman who was wearing the hat some candy,Juan flipped some candy to the woman who was wearing the hat,46,alternating,16,5,flipped
9590.04499996081,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,longIndefinite,149,4,Michael slammed a woman who was wearing a hat a beer,Michael slammed a beer to a woman who was wearing a hat,49,alternating,17,4,slammed
3960.560000035912,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,something,pronoun,152,5,Michael bounced her something,Michael bounced something to her,52,alternating,18,4,bounced
4969.900000025518,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,shortDefinite,156,1,Bob preached the team the truth,Bob preached the truth to the team,56,alternating,19,7,preached
4775.429999921471,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,shortDefinite,162,3,Linda batted the woman a curve-ball,Linda batted a curve-ball to the woman,62,alternating,20,7,batted
4600.525000016205,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,shortIndefinite,165,4,Linda flung a man a blanket,Linda flung a blanket to a man,65,alternating,21,5,flung
6203.1199999619275,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,longDefinite,169,1,Alice repaid the man who was wearing the hat the favor,Alice repaid the favor to the man who was wearing the hat,69,alternating,22,6,repaid
4746.170000056736,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,longIndefinite,172,2,Linda leased a man who was from work the home,Linda leased the home to a man who was from work,72,alternating,23,6,leased
10565.754999988712,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,longIndefinite,178,4,John rowed a woman who was wearing a hat some goods,John rowed some goods to a woman who was wearing a hat,78,alternating,24,95,rowed
9961.209999979474,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,something,pronoun,181,5,Mary slung him something,Mary slung something to him,81,alternating,25,59,slung
5273.795000044629,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,shortDefinite,185,1,Maria ceded the woman the point,Maria ceded the point to the woman,85,alternating,27,6,ceded
5830.205000005662,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,shortIndefinite,188,2,Mary alloted a man the bonus,Mary alloted the bonus to a man,88,alternating,28,1,alloted
4558.180000050925,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,longDefinite,191,4,Alice carted the team from work some books,Alice carted some books to the team from work,91,alternating,29,4,carted
5265.260000014678,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,longDefinite,198,1,Maria shuttled the team from work the packages,Maria shuttled the packages to the team from work,98,alternating,30,4,shuttled
6598.194999969564,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,longIndefinite,1,2,Juan said a man from work the words,Juan said the words to a man from work,1,non-alternating,31,3,said
9946.7949999962,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,pronoun,4,3,Bob explained her an idea,Bob explained an idea to her,4,non-alternating,32,43,explained
7631.300000008196,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,shortDefinite,7,4,Mary described the woman a headline,Mary described a headline to the woman,7,non-alternating,33,5,described
5320.799999986775,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,shortIndefinite,17,2,Alice announced a woman the outcome,Alice announced the outcome to a woman,17,non-alternating,34,5,announced
9183.049999992363,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,longDefinite,20,4,Alice introduced the woman who was wearing the hat a winner,Alice introduced a winner to the woman who was wearing the hat,20,non-alternating,35,5,introduced
5673.594999941997,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,something,longIndefinite,23,5,Alice recommended a man who was from work something,Alice recommended something to a man who was from work,23,non-alternating,36,8,recommended
8359.229999943636,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,pronoun,27,1,Michael proposed her the suggestion,Michael proposed the suggestion to her,27,non-alternating,37,40,proposed
7086.670000106096,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,pronoun,33,3,Alice yelled him some directions,Alice yelled some directions to him,33,non-alternating,38,39,yelled
5797.359999967739,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,shortDefinite,36,4,Juan illustrated the woman the dance move,Juan illustrated the dance move to the woman,36,non-alternating,39,8,illustrated
7580.710000009276,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,something,shortIndefinite,39,5,Mary snapped a woman something,Mary snapped something to a woman,39,non-alternating,40,29,snapped
5309.819999965839,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,longDefinite,43,2,Alice donated the team from work the sculpture,Alice donated the sculpture to the team from work,43,non-alternating,41,8,donated
6138.4450000477955,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,longIndefinite,46,3,Alice confessed a man from work an error,Alice confessed an error to a man from work,46,non-alternating,42,9,confessed
5915.890000062063,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,something,longIndefinite,52,5,Mary dictated a man wearing a hat something,Mary dictated something to a man wearing a hat,52,non-alternating,43,7,dictated
5879.294999991544,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,pronoun,56,1,Maria muttered him the remarks,Maria muttered the remarks to him,56,non-alternating,45,5,muttered
4729.255000012927,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,def,shortDefinite,59,2,Maria recounted the man the tale,Maria recounted the tale to the man,59,non-alternating,46,5,recounted
7306.235000025481,4,4230-c034696d-43aa-4e41-879c-1869b630dc86,indef,shortIndefinite,62,3,Linda chanted a man a prayer,Linda chanted a prayer to a man,62,non-alternating,47,13,chanted
