text,structure,verb,det,prep,SUBJ,VERB,DOBJ,IOBJ,PREP,EOS,sen_prob_nospace,perplexity_nospace
a lady brought a pie to a club .,PD,BRING,A,to,-13.002620697021484,-8.294351577758789,-8.623966217041016,-8.027674674987793,-0.5648365020751953,-2.9486842155456543,-41.46213150024414,100.1734848022461
a lady brought a club a pie .,DO,BRING,A,to,-13.002620697021484,-8.294351577758789,-13.038752555847168,-11.346485137939453,0.0,-1.9467989206314087,-47.62900924682617,385.14739990234375
a cousin brought a bag to a company .,PD,BRING,A,to,-13.750970840454102,-8.772215843200684,-6.255206108093262,-10.835990905761719,-4.078192710876465,-5.926301956176758,-49.61888122558594,247.9455108642578
a cousin brought a company a bag .,DO,BRING,A,to,-13.750970840454102,-8.772215843200684,-11.565752029418945,-11.074258804321289,0.0,-3.9657840728759766,-49.12898254394531,464.5749206542969
an uncle brought an anchor to a priest .,PD,BRING,A,to,-14.346532821655273,-7.561369895935059,-12.473801612854004,-10.972455978393555,-1.0850902795791626,-3.1598615646362305,-49.5991096496582,247.4014129638672
an uncle brought a priest an anchor .,DO,BRING,A,to,-14.346532821655273,-7.561369895935059,-14.48641586303711,-9.683608055114746,0.0,-2.8890933990478516,-48.967018127441406,455.263916015625
a man brought a book to an administration .,PD,BRING,A,to,-6.948237895965576,-8.155011177062988,-8.912109375,-13.202322006225586,-1.3260316848754883,-8.76663589477539,-47.31034851074219,191.848388671875
a man brought an administration a book .,DO,BRING,A,to,-6.948237895965576,-8.155011177062988,-14.729286193847656,-15.866535186767578,0.0,-4.511453628540039,-50.21052551269531,531.8256225585938
a girl brought a coffee to a guy .,PD,BRING,A,to,-10.547883987426758,-7.532788276672363,-10.659296989440918,-8.100796699523926,-1.7081834077835083,-3.8683438301086426,-42.417293548583984,111.38945007324219
a girl brought a guy a coffee .,DO,BRING,A,to,-10.547883987426758,-7.532788276672363,-9.908554077148438,-10.523823738098145,0.0,-1.9315156936645508,-40.44456481933594,156.89402770996094
a princess brought a coffee to an adult .,PD,BRING,A,to,-14.147998809814453,-8.037335395812988,-11.784621238708496,-9.489709854125977,-1.6373088359832764,-4.56097412109375,-49.6579475402832,249.02410888671875
a princess brought an adult a coffee .,DO,BRING,A,to,-14.147998809814453,-8.037335395812988,-14.518543243408203,-10.711570739746094,0.0,-1.8975797891616821,-49.313026428222656,475.3865661621094
a lady brought a computer to an employer .,PD,BRING,A,to,-13.002620697021484,-8.294351577758789,-9.59130859375,-11.081816673278809,-0.8919955492019653,-4.131425380706787,-46.9935188293457,185.21217346191406
a lady brought an employer a computer .,DO,BRING,A,to,-13.002620697021484,-8.294351577758789,-9.535377502441406,-13.396812438964844,0.0,-3.675391912460327,-47.90455627441406,398.644287109375
a colonel brought a television to a candidate .,PD,BRING,A,to,-14.825262069702148,-9.1569242477417,-10.074518203735352,-11.543596267700195,-2.3408267498016357,-4.326406478881836,-52.26753616333008,332.7874450683594
a colonel brought a candidate a television .,DO,BRING,A,to,-14.825262069702148,-9.1569242477417,-14.374565124511719,-11.619816780090332,0.0,-2.366856813430786,-52.343421936035156,694.31640625
a teacher brought an engine to a singer .,PD,BRING,A,to,-10.682794570922852,-8.437044143676758,-13.339059829711914,-14.658432006835938,-1.4341849088668823,-3.708942413330078,-52.260459899902344,332.5259094238281
a teacher brought a singer an engine .,DO,BRING,A,to,-10.682794570922852,-8.437044143676758,-16.74455451965332,-12.85900592803955,0.0,-3.2430362701416016,-51.96643829345703,662.3570556640625
a mayor brought an instrument to a band .,PD,BRING,A,to,-13.140932083129883,-9.343238830566406,-12.969371795654297,-9.570712089538574,-2.1382408142089844,-4.166566371917725,-51.329063415527344,299.8340759277344
a mayor brought a band an instrument .,DO,BRING,A,to,-13.140932083129883,-9.343238830566406,-15.599613189697266,-9.585384368896484,0.0,-2.890531539916992,-50.55970001220703,555.5521850585938
a colonel brought a tea to a business .,PD,BRING,A,to,-14.825262069702148,-9.1569242477417,-10.971330642700195,-10.304945945739746,-2.9233555793762207,-6.541875839233398,-54.723697662353516,437.20880126953125
a colonel brought a business a tea .,DO,BRING,A,to,-14.825262069702148,-9.1569242477417,-17.16562271118164,-10.156928062438965,0.0,-3.036799669265747,-54.34153747558594,891.3098754882812
an aunt brought a jacket to an army .,PD,BRING,A,to,-14.620113372802734,-9.46393871307373,-9.785462379455566,-11.358139038085938,-1.1310539245605469,-8.62419319152832,-54.9828987121582,449.9835205078125
an aunt brought an army a jacket .,DO,BRING,A,to,-14.620113372802734,-9.46393871307373,-17.484603881835938,-10.524336814880371,0.0,-2.9534599781036377,-55.04645538330078,973.4114990234375
a hero brought a chocolate to a wife .,PD,BRING,A,to,-12.545509338378906,-8.35987663269043,-11.22890853881836,-12.367226600646973,-4.557687759399414,-4.538623809814453,-53.59783172607422,385.79827880859375
a hero brought a wife a chocolate .,DO,BRING,A,to,-12.545509338378906,-8.35987663269043,-11.235799789428711,-11.396686553955078,0.0,-5.386630058288574,-48.924503326416016,452.85089111328125
a soldier brought a cup to a scientist .,PD,BRING,A,to,-10.762775421142578,-8.649892807006836,-9.446992874145508,-12.257375717163086,-3.84920334815979,-2.864107847213745,-47.83034896850586,203.2594451904297
a soldier brought a scientist a cup .,DO,BRING,A,to,-10.762775421142578,-8.649892807006836,-7.868631839752197,-12.270489692687988,0.0,-6.445351600646973,-45.99713897705078,314.07830810546875
an employee brought a camera to a business .,PD,BRING,A,to,-10.46243667602539,-8.97075366973877,-7.041881561279297,-8.448813438415527,-0.5980603694915771,-5.038422107696533,-40.560367584228516,90.62295532226562
an employee brought a business a camera .,DO,BRING,A,to,-10.46243667602539,-8.97075366973877,-14.691917419433594,-8.23957633972168,0.0,-3.9281365871429443,-46.29281997680664,325.90386962890625
a parent brought a meal to a club .,PD,BRING,A,to,-11.838857650756836,-7.4618988037109375,-10.175129890441895,-11.137932777404785,-0.646401584148407,-4.384455680847168,-45.644676208496094,159.43409729003906
a parent brought a club a meal .,DO,BRING,A,to,-11.838857650756836,-7.4618988037109375,-13.507896423339844,-11.151603698730469,0.0,-3.826366901397705,-47.786624908447266,392.8108215332031
a prince brought a motor to a business .,PD,BRING,A,to,-13.514665603637695,-8.757452964782715,-10.98314380645752,-9.94058609008789,-6.806705951690674,-5.529388427734375,-55.53193664550781,478.28900146484375
a prince brought a business a motor .,DO,BRING,A,to,-13.514665603637695,-8.757452964782715,-17.79048728942871,-9.56794548034668,0.0,-6.611698150634766,-56.242244720458984,1130.3477783203125
a colonel brought a bottle to a business .,PD,BRING,A,to,-14.825262069702148,-9.1569242477417,-7.349060535430908,-8.952825546264648,-4.573060035705566,-7.409512042999268,-52.26664352416992,332.75445556640625
a colonel brought a business a bottle .,DO,BRING,A,to,-14.825262069702148,-9.1569242477417,-12.951857566833496,-10.156928062438965,0.0,-5.902938365936279,-52.99391174316406,753.130859375
a professor brought a tea to a band .,PD,BRING,A,to,-10.801044464111328,-9.28198528289795,-11.208649635314941,-11.087858200073242,-3.6916308403015137,-4.963815212249756,-51.03498458862305,290.1952209472656
a professor brought a band a tea .,DO,BRING,A,to,-10.801044464111328,-9.28198528289795,-17.021203994750977,-10.66273307800293,0.0,-3.3189077377319336,-51.085880279541016,593.3206787109375
a soldier brought a telephone to a kid .,PD,BRING,A,to,-10.762775421142578,-8.649892807006836,-11.240374565124512,-10.255873680114746,-1.3195574283599854,-4.343549728393555,-46.572021484375,176.7381134033203
a soldier brought a kid a telephone .,DO,BRING,A,to,-10.762775421142578,-8.649892807006836,-15.098612785339355,-9.847460746765137,0.0,-2.2195076942443848,-46.578250885009766,337.74169921875
a father brought a beer to a corporation .,PD,BRING,A,to,-10.41616439819336,-8.175292015075684,-10.098292350769043,-14.93822956085205,-0.981066107749939,-4.2326836585998535,-48.84172821044922,227.43368530273438
a father brought a corporation a beer .,DO,BRING,A,to,-10.41616439819336,-8.175292015075684,-13.21765422821045,-15.006535530090332,0.0,-3.912576675415039,-50.72822570800781,567.37939453125
a doctor brought a tea to a chief .,PD,BRING,A,to,-11.013708114624023,-8.73480224609375,-11.279321670532227,-10.882129669189453,-3.3432750701904297,-7.3775177001953125,-52.63075637817383,346.49273681640625
a doctor brought a chief a tea .,DO,BRING,A,to,-11.013708114624023,-8.73480224609375,-16.20890998840332,-13.079855918884277,0.0,-3.365349531173706,-52.402626037597656,699.4737548828125
a candidate brought a chocolate to a man .,PD,BRING,A,to,-11.586334228515625,-9.550198554992676,-10.594098091125488,-10.03626823425293,-5.858941555023193,-7.204740524291992,-54.83058166503906,442.4320373535156
a candidate brought a man a chocolate .,DO,BRING,A,to,-11.586334228515625,-9.550198554992676,-11.95290756225586,-7.887767314910889,0.0,-6.246038436889648,-47.223243713378906,366.099609375
a mayor brought a coffee to a priest .,PD,BRING,A,to,-13.140932083129883,-9.343238830566406,-10.732415199279785,-8.364398956298828,-1.8501638174057007,-2.9278743267059326,-46.35901641845703,172.6043243408203
a mayor brought a priest a coffee .,DO,BRING,A,to,-13.140932083129883,-9.343238830566406,-11.576166152954102,-10.21480655670166,0.0,-2.4161291122436523,-46.6912727355957,342.54705810546875
an employer brought a tea to an attorney .,PD,BRING,A,to,-13.422576904296875,-10.676025390625,-12.684252738952637,-10.415809631347656,-4.590914726257324,-4.16204833984375,-55.951629638671875,501.1210632324219
an employer brought an attorney a tea .,DO,BRING,A,to,-13.422576904296875,-10.676025390625,-18.810760498046875,-8.471039772033691,0.0,-4.587756156921387,-55.96815872192383,1092.277099609375
