text,structure,verb,det,prep,tokens,log_prob_tokens,log_prob
a lady brought a pie to a club .,PD,BRING,A,to,"['A', ' lady', ' brought', ' a', ' pie', ' to', ' a', ' club', '.']","[-4.11528, -8.180256, -7.2579746, -1.8542073, -9.606231, -0.52376425, -1.5423688, -7.6975245, -3.4277203]",-44.20532989501953
a lady brought a club a pie .,DO,BRING,A,to,"['A', ' lady', ' brought', ' a', ' club', ' a', ' pie', '.']","[-4.116546, -8.180323, -7.2666187, -1.8502101, -10.169329, -6.14485, -8.321616, -3.0196867]",-49.06917953491211
a cousin brought a bag to a company .,PD,BRING,A,to,"['A', ' cousin', ' brought', ' a', ' bag', ' to', ' a', ' company', '.']","[-4.116546, -10.5689945, -6.6260257, -2.3692677, -3.8863604, -4.5229154, -3.1086173, -7.7790933, -4.951979]",-47.92980194091797
a cousin brought a company a bag .,DO,BRING,A,to,"['A', ' cousin', ' brought', ' a', ' company', ' a', ' bag', '.']","[-4.116546, -10.5689945, -6.6260257, -2.3692677, -8.640266, -6.2242246, -6.175669, -5.6581078]",-50.37910461425781
an uncle brought an anchor to a priest .,PD,BRING,A,to,"['An', ' uncle', ' brought', ' an', ' anchor', ' to', ' a', ' priest', '.']","[-6.034515, -9.476351, -6.516577, -4.0563993, -9.640451, -1.5635846, -2.4021502, -8.46214, -2.2420702]",-50.39423370361328
an uncle brought a priest an anchor .,DO,BRING,A,to,"['An', ' uncle', ' brought', ' a', ' priest', ' an', ' anchor', '.']","[-6.034515, -9.476351, -6.516577, -2.0876493, -9.077758, -6.932119, -8.471856, -2.2969124]",-50.89373779296875
a man brought a book to an administration .,PD,BRING,A,to,"['A', ' man', ' brought', ' a', ' book', ' to', ' an', ' administration', '.']","[-4.116546, -4.836572, -8.4113865, -1.2281985, -6.3338804, -1.1670493, -3.6605027, -10.417957, -5.5820055]",-45.75410079956055
a man brought an administration a book .,DO,BRING,A,to,"['A', ' man', ' brought', ' an', ' administration', ' a', ' book', '.']","[-4.116546, -4.836572, -8.4113865, -3.3688235, -10.786779, -6.7154527, -6.345561, -3.872023]",-48.453147888183594
a girl brought a coffee to a guy .,PD,BRING,A,to,"['A', ' girl', ' brought', ' a', ' coffee', ' to', ' a', ' guy', '.']","[-4.116546, -7.145166, -7.5971317, -1.6747817, -6.89165, -1.5312936, -1.653575, -2.640187, -2.4826803]",-35.733009338378906
a girl brought a guy a coffee .,DO,BRING,A,to,"['A', ' girl', ' brought', ' a', ' guy', ' a', ' coffee', '.']","[-4.116546, -7.145166, -7.5971317, -1.6747817, -4.626025, -2.3640323, -3.2953284, -2.069889]",-32.88890075683594
