prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep
the partner drew the hat for us .,a lady brought a pie to him .,PD,PD,DRAW,BRING,THE,A,for,to
the partner drew the hat for us .,a lady brought him a pie .,PD,DO,DRAW,BRING,THE,A,for,to
the partner drew us the hat .,a lady brought a pie to him .,DO,PD,DRAW,BRING,THE,A,for,to
the partner drew us the hat .,a lady brought him a pie .,DO,DO,DRAW,BRING,THE,A,for,to
the champion drew the cup for him .,a cousin brought a bag to you .,PD,PD,DRAW,BRING,THE,A,for,to
the champion drew the cup for him .,a cousin brought you a bag .,PD,DO,DRAW,BRING,THE,A,for,to
the champion drew him the cup .,a cousin brought a bag to you .,DO,PD,DRAW,BRING,THE,A,for,to
the champion drew him the cup .,a cousin brought you a bag .,DO,DO,DRAW,BRING,THE,A,for,to
the leader drew the telephone for him .,an uncle brought an anchor to you .,PD,PD,DRAW,BRING,THE,A,for,to
the leader drew the telephone for him .,an uncle brought you an anchor .,PD,DO,DRAW,BRING,THE,A,for,to
the leader drew him the telephone .,an uncle brought an anchor to you .,DO,PD,DRAW,BRING,THE,A,for,to
the leader drew him the telephone .,an uncle brought you an anchor .,DO,DO,DRAW,BRING,THE,A,for,to
the manager drew the gun for them .,a man brought a book to her .,PD,PD,DRAW,BRING,THE,A,for,to
the manager drew the gun for them .,a man brought her a book .,PD,DO,DRAW,BRING,THE,A,for,to
the manager drew them the gun .,a man brought a book to her .,DO,PD,DRAW,BRING,THE,A,for,to
the manager drew them the gun .,a man brought her a book .,DO,DO,DRAW,BRING,THE,A,for,to
the cop drew the coat for you .,a girl brought a coffee to her .,PD,PD,DRAW,BRING,THE,A,for,to
the cop drew the coat for you .,a girl brought her a coffee .,PD,DO,DRAW,BRING,THE,A,for,to
the cop drew you the coat .,a girl brought a coffee to her .,DO,PD,DRAW,BRING,THE,A,for,to
the cop drew you the coat .,a girl brought her a coffee .,DO,DO,DRAW,BRING,THE,A,for,to
the secretary drew the card for them .,a princess brought a coffee to us .,PD,PD,DRAW,BRING,THE,A,for,to
the secretary drew the card for them .,a princess brought us a coffee .,PD,DO,DRAW,BRING,THE,A,for,to
the secretary drew them the card .,a princess brought a coffee to us .,DO,PD,DRAW,BRING,THE,A,for,to
the secretary drew them the card .,a princess brought us a coffee .,DO,DO,DRAW,BRING,THE,A,for,to
the husband drew the hat for me .,a lady brought a computer to him .,PD,PD,DRAW,BRING,THE,A,for,to
the husband drew the hat for me .,a lady brought him a computer .,PD,DO,DRAW,BRING,THE,A,for,to
the husband drew me the hat .,a lady brought a computer to him .,DO,PD,DRAW,BRING,THE,A,for,to
the husband drew me the hat .,a lady brought him a computer .,DO,DO,DRAW,BRING,THE,A,for,to
the employee drew the button for it .,a colonel brought a television to me .,PD,PD,DRAW,BRING,THE,A,for,to
the employee drew the button for it .,a colonel brought me a television .,PD,DO,DRAW,BRING,THE,A,for,to
the employee drew it the button .,a colonel brought a television to me .,DO,PD,DRAW,BRING,THE,A,for,to
