prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew the attorney the hat .,DRAW,THE,for,a lady brought a club a pie .,BRING,A,to,-42.3605842590332,-46.96059036254883,-43.32709884643555,-46.403228759765625
the champion drew the buddy the cup .,DRAW,THE,for,a cousin brought a company a bag .,BRING,A,to,-49.12657165527344,-46.12966537475586,-47.94032287597656,-43.770267486572266
the leader drew the company the telephone .,DRAW,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-50.93488311767578,-49.91455078125,-51.222755432128906,-50.11739730834961
the manager drew the band the gun .,DRAW,THE,for,a man brought an administration a book .,BRING,A,to,-46.833831787109375,-48.757205963134766,-46.93572998046875,-47.95025634765625
the cop drew the club the coat .,DRAW,THE,for,a girl brought a guy a coffee .,BRING,A,to,-37.905853271484375,-34.485233306884766,-39.62067413330078,-35.42859649658203
the secretary drew the band the card .,DRAW,THE,for,a princess brought an adult a coffee .,BRING,A,to,-46.5546760559082,-46.69552612304688,-47.25631332397461,-46.90122985839844
the husband drew the administration the hat .,DRAW,THE,for,a lady brought an employer a computer .,BRING,A,to,-47.01937103271485,-45.347312927246094,-47.39059829711914,-43.07176208496094
the employee drew the army the button .,DRAW,THE,for,a colonel brought a candidate a television .,BRING,A,to,-42.66679382324219,-46.743202209472656,-42.84162902832031,-45.71836853027344
the employee drew the lawyer the glass .,DRAW,THE,for,a teacher brought a singer an engine .,BRING,A,to,-48.32512664794922,-50.63795471191406,-51.22792816162109,-50.0585823059082
the student drew the company the cup .,DRAW,THE,for,a mayor brought a band an instrument .,BRING,A,to,-49.91735076904297,-46.5297737121582,-48.912967681884766,-44.1757926940918
the princess drew the physician the plate .,DRAW,THE,for,a colonel brought a business a tea .,BRING,A,to,-52.66006851196289,-53.00907516479492,-52.46436309814453,-51.85506820678711
the actress drew the company the card .,DRAW,THE,for,an aunt brought an army a jacket .,BRING,A,to,-55.32313919067383,-54.2127685546875,-56.23733901977539,-54.46528625488281
the mother drew the business the flower .,DRAW,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-49.751121520996094,-50.35440444946289,-48.15845489501953,-47.189979553222656
the president drew the author the iron .,DRAW,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-44.60626983642578,-47.11765670776367,-43.35392379760742,-42.010704040527344
the mother drew the girl the crystal .,DRAW,THE,for,an employee brought a business a camera .,BRING,A,to,-46.64654159545898,-51.70310974121094,-46.81142044067383,-51.63865280151367
the guest drew the girl the guitar .,DRAW,THE,for,a parent brought a club a meal .,BRING,A,to,-45.58129119873047,-48.71525955200195,-45.11016082763672,-47.60397720336914
the chief drew the boy the newspaper .,DRAW,THE,for,a prince brought a business a motor .,BRING,A,to,-53.252079010009766,-54.90620803833008,-54.08990097045898,-55.572174072265625
the employee drew the king the engine .,DRAW,THE,for,a colonel brought a business a bottle .,BRING,A,to,-48.22574996948242,-50.87566757202149,-49.37762069702149,-49.88787841796875
the husband drew the corporation the button .,DRAW,THE,for,a professor brought a band a tea .,BRING,A,to,-49.17988204956055,-48.36367034912109,-50.01457595825195,-47.81713104248047
the secretary drew the band the card .,DRAW,THE,for,a soldier brought a kid a telephone .,BRING,A,to,-43.3901481628418,-43.14790344238281,-43.99613952636719,-43.56025695800781
the opponent drew the winner the crystal .,DRAW,THE,for,a father brought a corporation a beer .,BRING,A,to,-50.5810546875,-50.96634292602539,-49.92317962646485,-50.44892883300781
the professor drew the army the key .,DRAW,THE,for,a doctor brought a chief a tea .,BRING,A,to,-44.07333755493164,-43.26117706298828,-44.18593597412109,-43.84974670410156
the kid drew the pilot the bowl .,DRAW,THE,for,a candidate brought a man a chocolate .,BRING,A,to,-52.19257354736328,-48.168792724609375,-51.67976379394531,-47.30546188354492
the girl drew the administration the instrument .,DRAW,THE,for,a mayor brought a priest a coffee .,BRING,A,to,-45.94766616821289,-45.72427749633789,-47.95499801635742,-46.10886764526367
the pilot drew the minister the coat .,DRAW,THE,for,an employer brought an attorney a tea .,BRING,A,to,-51.20262145996094,-50.73177337646485,-49.9463119506836,-47.92475509643555
