prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
the lawyer sold the key to me .,a boy gave a meal to us .,PD,PD,SELL,GIVE,THE,A,to,to,-36.20231628417969,"[-3.7914965, -6.852104, -7.989207, -1.7664704, -9.357376, -0.13675343, -5.2390137, -1.0698978]"
the lawyer sold the key to me .,a boy gave us a meal .,PD,DO,SELL,GIVE,THE,A,to,to,-34.95201110839844,"[-3.7914965, -6.852104, -7.989207, -5.1824718, -0.894972, -8.560595, -1.6811647]"
the lawyer sold the meal to me .,a professor made a television for him .,PD,PD,SELL,MAKE,THE,A,to,for,-37.01525115966797,"[-3.8370254, -7.5441003, -6.5937343, -1.2444081, -8.001677, -5.1985497, -3.5236392, -1.0721177]"
the lawyer sold the meal to me .,a professor made him a television .,PD,DO,SELL,MAKE,THE,A,to,for,-37.300628662109375,"[-3.8370254, -7.5441003, -6.5937343, -4.8781095, -2.1873055, -9.680626, -2.5797265]"
the lawyer sold the telephone to him .,a sheriff sent a cheese to us .,PD,PD,SELL,SEND,THE,A,to,to,-44.14302444458008,"[-3.8365986, -8.537299, -7.7463107, -1.4986024, -12.047629, -3.8195546, -5.6005354, -1.0564948]"
the lawyer sold the telephone to him .,a sheriff sent us a cheese .,PD,DO,SELL,SEND,THE,A,to,to,-43.84777069091797,"[-3.8365986, -8.537299, -7.7463107, -5.3802333, -0.9725671, -13.103247, -4.2715154]"
the lawyer sold the telephone to you .,a nurse fed a candy to her .,PD,PD,SELL,FEED,THE,A,to,to,-40.071632385253906,"[-3.8218958, -7.841915, -9.717151, -1.8312279, -8.749994, -1.9190714, -2.1545858, -4.035792]"
the lawyer sold the telephone to you .,a nurse fed her a candy .,PD,DO,SELL,FEED,THE,A,to,to,-35.916202545166016,"[-3.8218958, -7.841915, -9.717151, -2.678102, -1.9740249, -6.2089186, -3.674196]"
the lawyer sold them the bottle .,a champion left a cheese for it .,DO,PD,SELL,LEAVE,THE,A,to,for,-48.55079650878906,"[-3.8329234, -9.471945, -7.341043, -3.6458063, -11.472617, -5.165584, -6.7623034, -0.8585748]"
the lawyer sold them the bottle .,a champion left it a cheese .,DO,DO,SELL,LEAVE,THE,A,to,for,-43.79370880126953,"[-3.8329234, -9.471945, -7.341043, -4.4942923, -4.867654, -11.434243, -2.351609]"
the lawyer sold us the ball .,a chief designed a pot for him .,DO,PD,SELL,DESIGN,THE,A,to,for,-44.562904357910156,"[-3.80646, -8.901512, -11.128177, -2.7668862, -9.131878, -2.9537365, -4.7234426, -1.1508108]"
the lawyer sold us the ball .,a chief designed him a pot .,DO,DO,SELL,DESIGN,THE,A,to,for,-41.60249328613281,"[-3.80646, -8.901512, -11.128177, -5.157809, -3.075108, -7.832989, -1.7004391]"
the lawyer sold you the coffee .,a minister purchased an anchor for us .,DO,PD,SELL,PURCHASE,THE,A,to,for,-45.876136779785156,"[-3.7879531, -8.944672, -10.878651, -3.0921426, -8.964197, -2.429646, -6.262069, -1.5168046]"
the lawyer sold you the coffee .,a minister purchased us an anchor .,DO,DO,SELL,PURCHASE,THE,A,to,for,-45.89244079589844,"[-3.7879531, -8.944672, -10.878651, -7.221474, -3.8434181, -9.267107, -1.9491662]"
the lawyer sold you the coffee .,a colonel took a telephone to us .,DO,PD,SELL,TAKE,THE,A,to,to,-45.88182067871094,"[-3.7879531, -10.89024, -5.8348007, -1.693604, -7.8472223, -7.2884264, -7.3015423, -1.2380283]"
the lawyer sold you the coffee .,a colonel took us a telephone .,DO,DO,SELL,TAKE,THE,A,to,to,-44.922515869140625,"[-3.7879531, -10.89024, -5.8348007, -4.8940806, -4.687066, -9.191522, -5.636855]"
the lawyer sold you the telephone .,a nurse fed a candy to her .,DO,PD,SELL,FEED,THE,A,to,to,-42.59141540527344,"[-3.8123877, -7.704296, -9.668772, -1.9893796, -8.403584, -3.4772124, -2.01421, -5.5215726]"
the lawyer sold you the telephone .,a nurse fed her a candy .,DO,DO,SELL,FEED,THE,A,to,to,-36.3963737487793,"[-3.8123877, -7.704296, -9.668772, -2.7545602, -2.1959894, -6.273269, -3.987099]"
the lawyer supplied him the plate .,an employer got a meal for you .,DO,PD,SUPPLY,GET,THE,A,to,for,-41.91849899291992,"[-6.029771, -7.6013494, -8.261967, -1.803219, -8.748968, -2.8033805, -5.1316643, -1.5381798]"
