text,structure,verb,det,prep,SUBJ,VERB,DOBJ,IOBJ,PREP,EOS,sen_prob_nospace,perplexity_nospace
a lady brought a pie to him .,PD,BRING,A,to,-12.000818252563477,-6.752418518066406,-9.61194896697998,-7.435070991516113,-1.246826171875,-1.785590648651123,-38.832672119140625,128.26315307617188
a lady brought him a pie .,DO,BRING,A,to,-12.000818252563477,-6.752418518066406,-7.568887710571289,-5.444626808166504,0.0,-1.5125352144241333,-33.2792854309082,116.06886291503906
a cousin brought a bag to you .,PD,BRING,A,to,-13.185147285461426,-8.548628807067871,-6.063891410827637,-9.091384887695312,-2.7677810192108154,-2.5952343940734863,-42.25206756591797,196.6663055419922
a cousin brought you a bag .,DO,BRING,A,to,-13.185147285461426,-8.548628807067871,-7.594531536102295,-6.621710777282715,0.0,-4.768263339996338,-40.718284606933594,335.9283142089844
an uncle brought an anchor to you .,PD,BRING,A,to,-13.840133666992188,-8.038311958312988,-12.767114639282227,-8.989615440368652,-1.573969841003418,-2.009254217147827,-47.21840286254883,365.8781433105469
an uncle brought you an anchor .,DO,BRING,A,to,-13.840133666992188,-8.038311958312988,-13.335006713867188,-6.415384769439697,0.0,-2.8736581802368164,-44.50249481201172,576.8021240234375
a man brought a book to her .,PD,BRING,A,to,-7.066828727722168,-7.713242530822754,-9.011258125305176,-6.1592512130737305,-1.7320748567581177,-5.620769500732422,-37.30342483520508,105.94584655761719
a man brought her a book .,DO,BRING,A,to,-7.066828727722168,-7.713242530822754,-9.216718673706055,-5.80450439453125,0.0,-3.6341285705566406,-33.435420989990234,118.68687438964844
a girl brought a coffee to her .,PD,BRING,A,to,-10.199785232543945,-7.858173370361328,-9.591175079345703,-1.8663030862808228,-3.0435614585876465,-8.759259223937988,-41.31825637817383,174.9993133544922
a girl brought her a coffee .,DO,BRING,A,to,-10.199785232543945,-7.858173370361328,-14.873588562011719,-1.955422282218933,0.0,-3.984644651412964,-38.871612548828125,258.03302001953125
a princess brought a coffee to us .,PD,BRING,A,to,-13.73668098449707,-7.630829811096191,-11.755401611328125,-8.720394134521484,-2.2181363105773926,-2.2721261978149414,-46.33356857299805,327.5681457519531
a princess brought us a coffee .,DO,BRING,A,to,-13.73668098449707,-7.630829811096191,-11.183761596679688,-6.158030986785889,0.0,-3.178220510482788,-41.88752365112305,396.998291015625
a lady brought a computer to him .,PD,BRING,A,to,-12.000818252563477,-6.752418518066406,-9.80945110321045,-8.521430015563965,-1.4729716777801514,-2.003570318222046,-40.5606575012207,159.18740844726562
a lady brought him a computer .,DO,BRING,A,to,-12.000818252563477,-6.752418518066406,-10.047094345092773,-5.444626808166504,0.0,-2.31380295753479,-36.55876159667969,185.43051147460938
a colonel brought a television to me .,PD,BRING,A,to,-14.578892707824707,-8.523704528808594,-8.949772834777832,-6.8856892585754395,-1.7670563459396362,-2.6737253665924072,-43.37883758544922,226.41162109375
a colonel brought me a television .,DO,BRING,A,to,-14.578892707824707,-8.523704528808594,-9.61311149597168,-4.5298027992248535,0.0,-2.4701929092407227,-39.71570587158203,291.1015930175781
a teacher brought an engine to him .,PD,BRING,A,to,-10.483430862426758,-8.138422012329102,-13.293794631958008,-8.509199142456055,-1.5210199356079102,-3.67492413520813,-45.620792388916016,299.6451721191406
a teacher brought him an engine .,DO,BRING,A,to,-10.483430862426758,-8.138422012329102,-13.266254425048828,-6.1927666664123535,0.0,-2.8633029460906982,-40.94417953491211,346.9457702636719
a mayor brought an instrument to them .,PD,BRING,A,to,-13.049970626831055,-9.310009002685547,-11.487353324890137,-9.32002067565918,-1.1755810976028442,-2.517886161804199,-46.86082077026367,349.88433837890625
a mayor brought them an instrument .,DO,BRING,A,to,-13.049970626831055,-9.310009002685547,-14.0945463180542,-6.6842803955078125,0.0,-3.097764492034912,-46.236572265625,738.94580078125
a colonel brought a tea to you .,PD,BRING,A,to,-14.578892707824707,-8.523704528808594,-10.032611846923828,-8.52224349975586,-3.697739601135254,-2.2887191772460938,-47.6439094543457,385.86541748046875
a colonel brought you a tea .,DO,BRING,A,to,-14.578892707824707,-8.523704528808594,-10.473397254943848,-6.9929728507995605,0.0,-3.2893619537353516,-43.85832977294922,526.091796875
an aunt brought a jacket to him .,PD,BRING,A,to,-14.843006134033203,-8.049108505249023,-11.211028099060059,-7.80186653137207,-1.1276065111160278,-2.524491310119629,-45.557106018066406,297.26922607421875
an aunt brought him a jacket .,DO,BRING,A,to,-14.843006134033203,-8.049108505249023,-10.251374244689941,-4.136651992797852,0.0,-2.7928295135498047,-40.072967529296875,306.34429931640625
a hero brought a chocolate to it .,PD,BRING,A,to,-11.998435020446777,-7.970982551574707,-13.294519424438477,-7.7822651863098145,-5.308660507202148,-3.4934639930725098,-49.848331451416016,508.2845458984375
a hero brought it a chocolate .,DO,BRING,A,to,-11.998435020446777,-7.970982551574707,-17.973482131958008,-6.245359420776367,0.0,-5.751623153686523,-49.93988037109375,1254.2193603515625
a soldier brought a cup to us .,PD,BRING,A,to,-10.697359085083008,-7.821072578430176,-8.891717910766602,-8.036503791809082,-3.1766085624694824,-2.7286860942840576,-41.351951599121094,175.73794555664062
a soldier brought us a cup .,DO,BRING,A,to,-10.697359085083008,-7.821072578430176,-9.015649795532227,-7.163382530212402,0.0,-4.908670425415039,-39.606136322021484,286.58050537109375
an employee brought a camera to you .,PD,BRING,A,to,-10.643842697143555,-8.626062393188477,-6.68267297744751,-10.2852201461792,-0.9488301277160645,-2.452022075653076,-39.638648986816406,141.858642578125
an employee brought you a camera .,DO,BRING,A,to,-10.643842697143555,-8.626062393188477,-8.727701187133789,-7.020960330963135,0.0,-2.8672749996185303,-37.885841369628906,224.13824462890625
a parent brought a meal to us .,PD,BRING,A,to,-11.674575805664062,-6.699357986450195,-11.912035942077637,-8.610050201416016,-0.8094024062156677,-3.550363540649414,-43.25578308105469,222.95565795898438
a parent brought us a meal .,DO,BRING,A,to,-11.674575805664062,-6.699357986450195,-9.355113983154297,-8.253265380859375,0.0,-4.077469825744629,-40.059783935546875,305.76788330078125
a prince brought a motor to us .,PD,BRING,A,to,-13.386516571044922,-7.976057529449463,-10.499164581298828,-9.751810073852539,-6.375901222229004,-2.25925350189209,-50.24870300292969,534.3696899414062
a prince brought us a motor .,DO,BRING,A,to,-13.386516571044922,-7.976057529449463,-12.537927627563477,-7.199339389801025,0.0,-5.88731050491333,-46.987152099609375,822.583740234375
a colonel brought a bottle to you .,PD,BRING,A,to,-14.578892707824707,-8.523704528808594,-7.7040228843688965,-8.669637680053711,-3.6589229106903076,-2.2969374656677246,-45.43211364746094,292.6607971191406
a colonel brought you a bottle .,DO,BRING,A,to,-14.578892707824707,-8.523704528808594,-8.52901840209961,-6.9929728507995605,0.0,-4.787968635559082,-43.41255569458008,493.6336669921875
a professor brought a tea to them .,PD,BRING,A,to,-10.543238639831543,-8.807196617126465,-10.174179077148438,-9.571425437927246,-5.060533046722412,-2.040836811065674,-46.197410583496094,322.0401916503906
a professor brought them a tea .,DO,BRING,A,to,-10.543238639831543,-8.807196617126465,-11.590364456176758,-7.260942459106445,0.0,-3.420792818069458,-41.622535705566406,382.2506408691406
a soldier brought a telephone to me .,PD,BRING,A,to,-10.697359085083008,-7.821072578430176,-11.069432258605957,-7.402981758117676,-1.054762601852417,-2.4310004711151123,-40.47660827636719,157.52371215820312
a soldier brought me a telephone .,DO,BRING,A,to,-10.697359085083008,-7.821072578430176,-9.917289733886719,-6.500457763671875,0.0,-2.181072473526001,-37.117252349853516,200.8311767578125
a father brought a beer to me .,PD,BRING,A,to,-9.997565269470215,-7.542752742767334,-10.728446960449219,-8.88412094116211,-1.9254651069641113,-3.3001747131347656,-42.37852478027344,199.79974365234375
a father brought me a beer .,DO,BRING,A,to,-9.997565269470215,-7.542752742767334,-8.335365295410156,-8.01286506652832,0.0,-2.298891305923462,-36.18743896484375,175.85049438476562
a doctor brought a tea to us .,PD,BRING,A,to,-10.418859481811523,-8.041662216186523,-10.784774780273438,-7.508644104003906,-4.207448959350586,-2.6742544174194336,-43.635643005371094,233.79750061035156
a doctor brought us a tea .,DO,BRING,A,to,-10.418859481811523,-8.041662216186523,-10.438116073608398,-6.766804218292236,0.0,-4.1771979331970215,-39.8426399230957,296.42840576171875
a candidate brought a chocolate to you .,PD,BRING,A,to,-11.735186576843262,-8.25794506072998,-12.524378776550293,-8.546157836914062,-6.300931453704834,-2.391972303390503,-49.756568908691406,502.4876708984375
a candidate brought you a chocolate .,DO,BRING,A,to,-11.735186576843262,-8.25794506072998,-10.923080444335938,-8.675338745117188,0.0,-6.892695426940918,-46.484249114990234,765.5595703125
a mayor brought a coffee to me .,PD,BRING,A,to,-13.049970626831055,-9.310009002685547,-11.128042221069336,-6.63526725769043,-3.496934175491333,-3.122239589691162,-46.742462158203125,344.7459411621094
a mayor brought me a coffee .,DO,BRING,A,to,-13.049970626831055,-9.310009002685547,-8.227170944213867,-5.97003173828125,0.0,-2.1256277561187744,-38.68280792236328,251.1663360595703
an employer brought a tea to you .,PD,BRING,A,to,-13.461597442626953,-9.177968978881836,-12.08110523223877,-7.737840175628662,-6.267288684844971,-3.032256841659546,-51.758056640625,645.3269653320312
an employer brought you a tea .,DO,BRING,A,to,-13.461597442626953,-9.177968978881836,-11.136220932006836,-7.231833457946777,0.0,-3.800527572631836,-44.80815124511719,602.5462646484375
