V;F_rank;N1;N2;N3;Prep;past;3sg;participle;progressive
bring;471;Person;OED;Human;to;brought;brings;brought;bringing
draw;2077;Person;Object;Human;for;drew;draws;drawn;drawing
find;174;Person;OED;Human;for;found;finds;found;finding
get;66;Person;OED;Human;for;got;gets;gotten;getting
give;191;Person;OED;Human;to;gave;gives;given;giving
keep;222;Person;OED;Human;for;kept;keeps;kept;keeping
leave;416;Person;OED;Human;for;left;leaves;left;leaving
make;107;Person;Object;Human;for;made;makes;made;making
purchase;2658;Person;OED;Human;for;purchased;purchases;purchased;purchasing
save;924;Person;OED;Human;for;saved;saves;saved;saving
sell;1236;Person;OED;Human;to;sold;sells;sold;selling
send;997;Person;OED;Human;to;sent;sends;sent;sending
show;216;Person;OED;Human;to;showed;shows;shown;showing
supply;2065;Person;OED;Human;to;supplied;supplies;supplied;supplying
design;905;Human;Object;Human;for;designed;designs;designed;designing
take;119;Person;Object;Person;to;took;takes;taken;taking
feed;2401;Person;Edible;Person;to;fed;feeds;fed;feeding
buy;629;Person;OED;Person;for;bought;buys;bought;buying
catch;1461;Person;Object;Person;for;caught;catches;caught;catching
deliver;2954;Person;OED;Person;for;delivered;delivers;delivered;delivering
throw;1587;Person;OED;Person;to;threw;throws;thrown;throwing
promise;1567;Person;OED;Person;to;promised;promises;promised;promising
