prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew the attorney the hat .,DRAW,THE,for,a lady brought a club a pie .,BRING,A,to,-40.01155471801758,-47.01698303222656,-39.02642059326172,-44.2036247253418
the champion drew the buddy the cup .,DRAW,THE,for,a cousin brought a company a bag .,BRING,A,to,-44.5319709777832,-47.18454360961914,-45.71000289916992,-46.63562774658203
the leader drew the company the telephone .,DRAW,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-47.61165237426758,-48.995513916015625,-46.75259017944336,-47.7109260559082
the manager drew the band the gun .,DRAW,THE,for,a man brought an administration a book .,BRING,A,to,-43.48302459716797,-44.77675247192383,-42.84131240844727,-43.08464813232422
the cop drew the club the coat .,DRAW,THE,for,a girl brought a guy a coffee .,BRING,A,to,-33.33893585205078,-32.40495681762695,-34.76115798950195,-33.938934326171875
the secretary drew the band the card .,DRAW,THE,for,a princess brought an adult a coffee .,BRING,A,to,-48.180206298828125,-46.20554733276367,-48.27588272094727,-45.30587005615234
the husband drew the administration the hat .,DRAW,THE,for,a lady brought an employer a computer .,BRING,A,to,-43.65955352783203,-44.326358795166016,-42.31061172485352,-40.737979888916016
the employee drew the army the button .,DRAW,THE,for,a colonel brought a candidate a television .,BRING,A,to,-46.80378341674805,-47.77191925048828,-47.046573638916016,-47.47320556640625
the employee drew the lawyer the glass .,DRAW,THE,for,a teacher brought a singer an engine .,BRING,A,to,-46.49000549316406,-47.733882904052734,-45.04060363769531,-43.76123046875
the student drew the company the cup .,DRAW,THE,for,a mayor brought a band an instrument .,BRING,A,to,-42.3569450378418,-47.06585311889648,-45.27398681640625,-45.6961669921875
the princess drew the physician the plate .,DRAW,THE,for,a colonel brought a business a tea .,BRING,A,to,-48.57943344116211,-52.3149528503418,-48.52675247192383,-48.42621994018555
the actress drew the company the card .,DRAW,THE,for,an aunt brought an army a jacket .,BRING,A,to,-49.21569442749024,-51.49707412719727,-47.68725204467773,-48.74993133544922
the mother drew the business the flower .,DRAW,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-43.674713134765625,-44.28807067871094,-44.06944274902344,-44.28020477294922
the president drew the author the iron .,DRAW,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-41.39091873168945,-43.068885803222656,-40.58647918701172,-39.87879943847656
the mother drew the girl the crystal .,DRAW,THE,for,an employee brought a business a camera .,BRING,A,to,-44.67265319824219,-50.62483596801758,-43.11048889160156,-45.89517593383789
the guest drew the girl the guitar .,DRAW,THE,for,a parent brought a club a meal .,BRING,A,to,-44.45277404785156,-46.843994140625,-44.35730743408203,-45.89577102661133
the chief drew the boy the newspaper .,DRAW,THE,for,a prince brought a business a motor .,BRING,A,to,-49.50943374633789,-50.33456039428711,-48.69303894042969,-48.2194938659668
the employee drew the king the engine .,DRAW,THE,for,a colonel brought a business a bottle .,BRING,A,to,-45.55158996582031,-47.74223709106445,-46.4500846862793,-47.52438735961914
the husband drew the corporation the button .,DRAW,THE,for,a professor brought a band a tea .,BRING,A,to,-47.48691940307617,-48.64590072631836,-43.00970458984375,-42.33784484863281
the secretary drew the band the card .,DRAW,THE,for,a soldier brought a kid a telephone .,BRING,A,to,-44.93488693237305,-46.25663757324219,-43.56227111816406,-45.1635971069336
the opponent drew the winner the crystal .,DRAW,THE,for,a father brought a corporation a beer .,BRING,A,to,-50.28376388549805,-52.76816940307617,-48.13565826416016,-48.79768371582031
the professor drew the army the key .,DRAW,THE,for,a doctor brought a chief a tea .,BRING,A,to,-41.40634536743164,-44.24477005004883,-43.279815673828125,-42.24360275268555
the kid drew the pilot the bowl .,DRAW,THE,for,a candidate brought a man a chocolate .,BRING,A,to,-44.21271896362305,-43.394813537597656,-44.4517822265625,-42.755741119384766
the girl drew the administration the instrument .,DRAW,THE,for,a mayor brought a priest a coffee .,BRING,A,to,-43.346458435058594,-45.92416763305664,-44.28923416137695,-44.43763732910156
the pilot drew the minister the coat .,DRAW,THE,for,an employer brought an attorney a tea .,BRING,A,to,-47.77560424804688,-46.84877014160156,-52.251461029052734,-50.92862319946289
a child drew a club a jacket .,DRAW,A,for,the husband brought the candidate the newspaper .,BRING,THE,to,-39.944820404052734,-42.92189025878906,-40.82895660400391,-41.75918960571289
a mother drew a colonel a crystal .,DRAW,A,for,the secretary brought the soldier the beer .,BRING,THE,to,-34.742156982421875,-36.26307678222656,-35.88611602783203,-34.872528076171875
a princess drew a king a button .,DRAW,A,for,the champion brought the guy the hat .,BRING,THE,to,-41.26691055297852,-43.30712890625,-43.11996078491211,-42.11912155151367
a son drew a student a bell .,DRAW,A,for,the parent brought the buddy the chocolate .,BRING,THE,to,-41.458641052246094,-44.16178131103516,-41.60636901855469,-41.85852813720703
a pilot drew a professor a computer .,DRAW,A,for,the secretary brought the corporation the juice .,BRING,THE,to,-43.57476043701172,-45.65156555175781,-42.70690155029297,-43.48748016357422
a hero drew a prince an engine .,DRAW,A,for,the pilot brought the band the pie .,BRING,THE,to,-41.54711151123047,-45.417964935302734,-43.26770782470703,-44.85185623168945
