prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a band designed a card for me .,the captain gave the coffee to us .,PD,PD,DESIGN,GIVE,A,THE,for,to,-37.42795944213867,"[-2.9135134, -9.202118, -6.803926, -1.8320636, -10.15104, -1.3648376, -4.157686, -1.002775]"
a band designed a card for me .,the captain gave us the coffee .,PD,DO,DESIGN,GIVE,A,THE,for,to,-34.84295654296875,"[-2.9135134, -9.202118, -6.803926, -3.4407158, -1.8060013, -9.21372, -1.4629614]"
a band designed a card for them .,the uncle took the plate to you .,PD,PD,DESIGN,TAKE,A,THE,for,to,-41.57575225830078,"[-2.9270043, -11.543646, -7.20073, -1.6974264, -6.911584, -2.5004208, -7.8875675, -0.9073763]"
a band designed a card for them .,the uncle took you the plate .,PD,DO,DESIGN,TAKE,A,THE,for,to,-46.14463424682617,"[-2.9270043, -11.543646, -7.20073, -6.563433, -6.6206594, -9.980165, -1.3089949]"
a band designed a cigarette for him .,the employer purchased the salad for us .,PD,PD,DESIGN,PURCHASE,A,THE,for,for,-41.66234588623047,"[-2.95582, -9.970727, -9.527664, -1.1644921, -10.588155, -1.8160019, -4.4936495, -1.1458383]"
a band designed a cigarette for him .,the employer purchased us the salad .,PD,DO,DESIGN,PURCHASE,A,THE,for,for,-46.31927490234375,"[-2.95582, -9.970727, -9.527664, -8.986279, -3.739734, -9.376871, -1.7621813]"
a band designed a cigarette for me .,the boy threw the cheese to them .,PD,PD,DESIGN,THROW,A,THE,for,to,-41.50001525878906,"[-2.9555707, -8.577475, -7.375334, -2.1668825, -8.242624, -4.29908, -7.0009246, -0.8821263]"
a band designed a cigarette for me .,the boy threw them the cheese .,PD,DO,DESIGN,THROW,A,THE,for,to,-37.75611114501953,"[-2.9555707, -8.577475, -7.375334, -6.821375, -3.2927508, -7.5095053, -1.2241043]"
a band designed a computer for it .,the worker got the beer for us .,PD,PD,DESIGN,GET,A,THE,for,for,-40.84635925292969,"[-2.8982902, -10.372662, -7.161006, -2.4336076, -8.019935, -2.9722426, -6.1241384, -0.8644788]"
a band designed a computer for it .,the worker got us the beer .,PD,DO,DESIGN,GET,A,THE,for,for,-39.54871368408203,"[-2.8982902, -10.372662, -7.161006, -7.8690066, -2.9648516, -7.107907, -1.1749902]"
a band designed a computer for them .,the colonel delivered the coffee for me .,PD,PD,DESIGN,DELIVER,A,THE,for,for,-41.13423156738281,"[-2.9183352, -11.880707, -9.241219, -1.6454797, -9.653614, -2.9970021, -2.114172, -0.68370605]"
a band designed a computer for them .,the colonel delivered me the coffee .,PD,DO,DESIGN,DELIVER,A,THE,for,for,-40.21446990966797,"[-2.9183352, -11.880707, -9.241219, -5.6478124, -2.3733003, -7.1134276, -1.0396667]"
a band designed a computer for you .,the hero delivered the salad for us .,PD,PD,DESIGN,DELIVER,A,THE,for,for,-44.00259780883789,"[-2.9268055, -9.784285, -11.703508, -1.5194347, -12.21613, -2.7800202, -2.4023411, -0.6700735]"
a band designed a computer for you .,the hero delivered us the salad .,PD,DO,DESIGN,DELIVER,A,THE,for,for,-44.13362884521485,"[-2.9268055, -9.784285, -11.703508, -5.8614216, -1.963985, -10.714121, -1.1795042]"
a band designed a cup for them .,the wife kept the chicken for you .,PD,PD,DESIGN,KEEP,A,THE,for,for,-43.273040771484375,"[-2.9253838, -8.782556, -11.270372, -2.4060545, -6.9587345, -3.183237, -6.9700923, -0.776613]"
a band designed a cup for them .,the wife kept you the chicken .,PD,DO,DESIGN,KEEP,A,THE,for,for,-45.62532806396485,"[-2.9253838, -8.782556, -11.270372, -6.9064903, -6.5702834, -7.9920254, -1.178217]"
a band designed a cup for them .,the husband promised the plate to you .,PD,PD,DESIGN,PROMISE,A,THE,for,to,-44.30155944824219,"[-2.9253838, -9.432958, -8.552641, -3.3738153, -10.834679, -1.953609, -6.2660627, -0.9624128]"
a band designed a cup for them .,the husband promised you the plate .,PD,DO,DESIGN,PROMISE,A,THE,for,to,-42.27996826171875,"[-2.9253838, -9.432958, -8.552641, -5.911864, -3.2117975, -10.82052, -1.4248061]"
a band designed a flower for him .,the singer promised the salad to you .,PD,PD,DESIGN,PROMISE,A,THE,for,to,-46.31185150146485,"[-2.9689243, -8.65156, -7.995425, -4.09145, -11.2944565, -3.2279124, -6.819354, -1.2627686]"
a band designed a flower for him .,the singer promised you the salad .,PD,DO,DESIGN,PROMISE,A,THE,for,to,-42.272369384765625,"[-2.9689243, -8.65156, -7.995425, -6.33301, -3.5721514, -11.133147, -1.6181521]"
a band designed a flower for you .,the president fed the candy to him .,PD,PD,DESIGN,FEED,A,THE,for,to,-40.15906524658203,"[-2.953277, -7.279591, -11.48942, -1.9180615, -9.752895, -1.9547614, -3.9885423, -0.82251674]"
a band designed a flower for you .,the president fed him the candy .,PD,DO,DESIGN,FEED,A,THE,for,to,-39.366920471191406,"[-2.953277, -7.279591, -11.48942, -5.175433, -2.8774858, -8.440895, -1.1508195]"
a band designed a gun for him .,the mother sold the computer to us .,PD,PD,DESIGN,SELL,A,THE,for,to,-40.31027221679688,"[-2.9107394, -7.7617126, -11.250742, -1.905766, -7.1483994, -1.4230026, -6.710856, -1.1990522]"
a band designed a gun for him .,the mother sold us the computer .,PD,DO,DESIGN,SELL,A,THE,for,to,-40.911014556884766,"[-2.9107394, -7.7617126, -11.250742, -7.1485734, -2.7940042, -7.7658443, -1.2793987]"
a band designed a gun for him .,the leader took the iron to us .,PD,PD,DESIGN,TAKE,A,THE,for,to,-45.657989501953125,"[-2.9107394, -7.521873, -11.397559, -1.9312974, -9.089727, -3.5329795, -8.459764, -0.8140496]"
a band designed a gun for him .,the leader took us the iron .,PD,DO,DESIGN,TAKE,A,THE,for,to,-48.399070739746094,"[-2.9107394, -7.521873, -11.397559, -5.770441, -6.2639523, -10.785542, -3.7489605]"
a band designed a gun for you .,the attorney fed the chocolate to us .,PD,PD,DESIGN,FEED,A,THE,for,to,-46.14428329467773,"[-2.9072962, -9.415308, -15.138756, -1.3526884, -8.774809, -2.676146, -5.2112403, -0.6680409]"
a band designed a gun for you .,the attorney fed us the chocolate .,PD,DO,DESIGN,FEED,A,THE,for,to,-44.70450592041016,"[-2.9072962, -9.415308, -15.138756, -5.449716, -2.028974, -8.556154, -1.2083006]"
a band designed a key for him .,the father drew the card for us .,PD,PD,DESIGN,DRAW,A,THE,for,for,-39.23194122314453,"[-2.8562803, -8.004224, -11.02473, -2.0708578, -6.5331635, -2.468114, -5.4055967, -0.8689738]"
a band designed a key for him .,the father drew us the card .,PD,DO,DESIGN,DRAW,A,THE,for,for,-39.91478729248047,"[-2.8562803, -8.004224, -11.02473, -7.2142096, -3.247943, -6.2320123, -1.3353903]"
a band designed a key for him .,the minister delivered the juice for you .,PD,PD,DESIGN,DELIVER,A,THE,for,for,-49.24601364135742,"[-2.8562803, -9.35786, -10.599274, -1.7697446, -14.117025, -2.0114994, -7.407795, -1.1265352]"
a band designed a key for him .,the minister delivered you the juice .,PD,DO,DESIGN,DELIVER,A,THE,for,for,-46.56692123413086,"[-2.8562803, -9.35786, -10.599274, -10.931545, -1.7811925, -10.242314, -0.79845333]"
a band designed a key for us .,the leader drew the telephone for you .,PD,PD,DESIGN,DRAW,A,THE,for,for,-49.31727981567383,"[-2.8631597, -7.5436873, -16.78328, -2.3914928, -9.916442, -3.2978177, -5.9716616, -0.54973876]"
a band designed a key for us .,the leader drew you the telephone .,PD,DO,DESIGN,DRAW,A,THE,for,for,-54.33013916015625,"[-2.8631597, -7.5436873, -16.78328, -8.430731, -4.7763867, -12.76443, -1.1684682]"
a band designed a knife for her .,the prince purchased the beer for it .,PD,PD,DESIGN,PURCHASE,A,THE,for,for,-41.81806945800781,"[-2.9287488, -10.145374, -9.304575, -1.4448009, -8.043104, -1.8637726, -6.851149, -1.2365416]"
a band designed a knife for her .,the prince purchased it the beer .,PD,DO,DESIGN,PURCHASE,A,THE,for,for,-47.49412536621094,"[-2.9287488, -10.145374, -9.304575, -4.4627395, -5.9369564, -12.737967, -1.9777641]"
a band designed a knife for her .,the priest saved the meal for us .,PD,PD,DESIGN,SAVE,A,THE,for,for,-42.76560974121094,"[-2.9287488, -10.499355, -9.722125, -1.779956, -10.273519, -1.337188, -5.584647, -0.6400698]"
a band designed a knife for her .,the priest saved us the meal .,PD,DO,DESIGN,SAVE,A,THE,for,for,-44.32780456542969,"[-2.9287488, -10.499355, -9.722125, -6.068898, -5.0042067, -8.969073, -1.1353956]"
a band designed a knife for them .,the reader left the log for him .,PD,PD,DESIGN,LEAVE,A,THE,for,for,-39.22594451904297,"[-2.9425132, -9.115282, -8.878569, -2.2124043, -7.7744074, -4.3690777, -2.849915, -1.0837743]"
a band designed a knife for them .,the reader left him the log .,PD,DO,DESIGN,LEAVE,A,THE,for,for,-40.42995834350586,"[-2.9425132, -9.115282, -8.878569, -4.324792, -4.3014846, -8.629184, -2.238136]"
a band designed a motor for him .,the king sent the tea to you .,PD,PD,DESIGN,SEND,A,THE,for,to,-39.45540237426758,"[-2.9107883, -8.171154, -7.2654963, -2.505086, -9.579215, -1.4378028, -6.770495, -0.8153669]"
a band designed a motor for him .,the king sent you the tea .,PD,DO,DESIGN,SEND,A,THE,for,to,-35.34225845336914,"[-2.9107883, -8.171154, -7.2654963, -5.60703, -2.6832304, -7.8017054, -0.9028525]"
a band designed a motor for me .,the candidate left the knife for him .,PD,PD,DESIGN,LEAVE,A,THE,for,for,-41.36563873291016,"[-2.9146295, -10.013416, -8.156559, -1.3420714, -10.54341, -3.6776152, -3.8974311, -0.8205042]"
a band designed a motor for me .,the candidate left him the knife .,PD,DO,DESIGN,LEAVE,A,THE,for,for,-40.87788772583008,"[-2.9146295, -10.013416, -8.156559, -5.4315777, -4.3716593, -8.3535595, -1.6364857]"
a band designed a motor for us .,the friend purchased the box for me .,PD,PD,DESIGN,PURCHASE,A,THE,for,for,-33.90338897705078,"[-2.9136584, -10.12787, -8.939285, -1.6308904, -5.417363, -2.6860728, -0.92224944, -1.2660002]"
a band designed a motor for us .,the friend purchased me the box .,PD,DO,DESIGN,PURCHASE,A,THE,for,for,-36.74274444580078,"[-2.9136584, -10.12787, -8.939285, -4.33126, -3.0297692, -5.8426914, -1.5582081]"
a band designed a newspaper for you .,the singer gave the juice to me .,PD,PD,DESIGN,GIVE,A,THE,for,to,-38.409141540527344,"[-2.8850355, -9.095254, -6.873433, -2.306001, -11.411607, -0.4645889, -4.1753674, -1.1978525]"
a band designed a newspaper for you .,the singer gave me the juice .,PD,DO,DESIGN,GIVE,A,THE,for,to,-35.52103042602539,"[-2.8850355, -9.095254, -6.873433, -3.7582629, -2.114052, -9.030051, -1.7649412]"
a band designed a plate for you .,the actor sold the knife to me .,PD,PD,DESIGN,SELL,A,THE,for,to,-38.95307159423828,"[-2.9340801, -8.513788, -9.802162, -2.059037, -8.165149, -0.9081028, -4.787552, -1.783203]"
a band designed a plate for you .,the actor sold me the knife .,PD,DO,DESIGN,SELL,A,THE,for,to,-39.11241912841797,"[-2.9340801, -8.513788, -9.802162, -6.2117815, -2.7817557, -7.3374867, -1.5313643]"
a band designed her a knife .,the prince purchased the beer for it .,DO,PD,DESIGN,PURCHASE,A,THE,for,for,-42.99170684814453,"[-2.9798474, -9.916851, -9.255648, -1.4645749, -8.324807, -2.915468, -7.05852, -1.0759904]"
a band designed her a knife .,the prince purchased it the beer .,DO,DO,DESIGN,PURCHASE,A,THE,for,for,-44.915714263916016,"[-2.9798474, -9.916851, -9.255648, -4.385998, -5.824148, -11.095993, -1.4572289]"
a band designed her a knife .,the priest saved the meal for us .,DO,PD,DESIGN,SAVE,A,THE,for,for,-42.96762847900391,"[-2.9798474, -10.269207, -9.553189, -2.0318036, -10.247165, -2.151956, -4.997272, -0.7371906]"
a band designed her a knife .,the priest saved us the meal .,DO,DO,DESIGN,SAVE,A,THE,for,for,-43.43164825439453,"[-2.9798474, -10.269207, -9.553189, -5.5550504, -4.6481194, -9.468577, -0.95765424]"
a band designed him a cigarette .,the employer purchased the salad for us .,DO,PD,DESIGN,PURCHASE,A,THE,for,for,-43.92970275878906,"[-3.0531664, -9.982958, -9.5727215, -1.307038, -10.660341, -3.331886, -4.559934, -1.4616579]"
a band designed him a cigarette .,the employer purchased us the salad .,DO,DO,DESIGN,PURCHASE,A,THE,for,for,-44.46504211425781,"[-3.0531664, -9.982958, -9.5727215, -8.194441, -3.6377492, -8.586061, -1.4379455]"
a band designed him a flower .,the singer promised the salad to you .,DO,PD,DESIGN,PROMISE,A,THE,for,to,-47.051719665527344,"[-3.0340226, -8.506531, -8.05075, -4.1369486, -11.377382, -3.7605724, -6.7295766, -1.455937]"
a band designed him a flower .,the singer promised you the salad .,DO,DO,DESIGN,PROMISE,A,THE,for,to,-42.2572135925293,"[-3.0340226, -8.506531, -8.05075, -6.1933546, -3.7965114, -11.267248, -1.408796]"
a band designed him a gun .,the mother sold the computer to us .,DO,PD,DESIGN,SELL,A,THE,for,to,-41.32330322265625,"[-3.0174885, -7.6908617, -10.893534, -2.3488643, -7.35602, -1.5250825, -7.135171, -1.3562821]"
a band designed him a gun .,the mother sold us the computer .,DO,DO,DESIGN,SELL,A,THE,for,to,-40.3956298828125,"[-3.0174885, -7.6908617, -10.893534, -6.8097634, -2.7694016, -8.140055, -1.0745289]"
a band designed him a gun .,the leader took the iron to us .,DO,PD,DESIGN,TAKE,A,THE,for,to,-45.90055465698242,"[-3.0174885, -7.5490003, -10.855571, -2.2167454, -8.76136, -4.0459766, -8.436891, -1.0175223]"
a band designed him a gun .,the leader took us the iron .,DO,DO,DESIGN,TAKE,A,THE,for,to,-46.73786163330078,"[-3.0174885, -7.5490003, -10.855571, -5.630207, -5.4155316, -10.25025, -4.0198135]"
a band designed him a key .,the father drew the card for us .,DO,PD,DESIGN,DRAW,A,THE,for,for,-40.19229888916016,"[-2.9213424, -8.007633, -10.300547, -2.294064, -6.3208084, -3.153611, -6.0877748, -1.1065177]"
a band designed him a key .,the father drew us the card .,DO,DO,DESIGN,DRAW,A,THE,for,for,-38.13188934326172,"[-2.9213424, -8.007633, -10.300547, -6.8782716, -2.7451177, -6.097973, -1.1810071]"
a band designed him a key .,the minister delivered the juice for you .,DO,PD,DESIGN,DELIVER,A,THE,for,for,-51.43458938598633,"[-2.9213424, -9.301484, -10.163695, -1.9601803, -14.133297, -2.7384787, -8.693973, -1.522137]"
a band designed him a key .,the minister delivered you the juice .,DO,DO,DESIGN,DELIVER,A,THE,for,for,-45.83595275878906,"[-2.9213424, -9.301484, -10.163695, -10.694103, -1.8781698, -10.174063, -0.7030975]"
a band designed him a motor .,the king sent the tea to you .,DO,PD,DESIGN,SEND,A,THE,for,to,-40.563133239746094,"[-2.9862754, -8.112793, -7.300005, -2.6650946, -9.826384, -1.6562958, -7.0880175, -0.92826885]"
a band designed him a motor .,the king sent you the tea .,DO,DO,DESIGN,SEND,A,THE,for,to,-35.13175964355469,"[-2.9862754, -8.112793, -7.300005, -5.43017, -2.489046, -8.067191, -0.7462789]"
a band designed it a computer .,the worker got the beer for us .,DO,PD,DESIGN,GET,A,THE,for,for,-42.97457885742188,"[-2.9151511, -10.514612, -7.4299808, -2.5189772, -7.874937, -3.500751, -7.122932, -1.0972369]"
a band designed it a computer .,the worker got us the beer .,DO,DO,DESIGN,GET,A,THE,for,for,-39.726036071777344,"[-2.9151511, -10.514612, -7.4299808, -7.577553, -2.909099, -7.239269, -1.1403693]"
a band designed me a card .,the captain gave the coffee to us .,DO,PD,DESIGN,GIVE,A,THE,for,to,-38.7943115234375,"[-2.9908347, -9.0518, -6.519954, -2.200419, -10.244957, -1.6376166, -4.7835426, -1.3651849]"
a band designed me a card .,the captain gave us the coffee .,DO,DO,DESIGN,GIVE,A,THE,for,to,-34.87003326416016,"[-2.9908347, -9.0518, -6.519954, -3.3700519, -2.0326333, -9.553604, -1.3511542]"
a band designed me a cigarette .,the boy threw the cheese to them .,DO,PD,DESIGN,THROW,A,THE,for,to,-42.27817916870117,"[-3.0422165, -8.60575, -7.145054, -2.2412767, -8.601443, -4.6171374, -7.073017, -0.9522842]"
a band designed me a cigarette .,the boy threw them the cheese .,DO,DO,DESIGN,THROW,A,THE,for,to,-37.44578552246094,"[-3.0422165, -8.60575, -7.145054, -6.456477, -3.1165266, -8.090157, -0.98960626]"
a band designed me a motor .,the candidate left the knife for him .,DO,PD,DESIGN,LEAVE,A,THE,for,for,-43.10219955444336,"[-2.9977071, -10.086238, -8.44072, -1.6301863, -10.617142, -4.081064, -4.1856585, -1.0634847]"
a band designed me a motor .,the candidate left him the knife .,DO,DO,DESIGN,LEAVE,A,THE,for,for,-41.68721771240234,"[-2.9977071, -10.086238, -8.44072, -5.0837307, -4.798007, -8.631826, -1.6489902]"
a band designed them a card .,the uncle took the plate to you .,DO,PD,DESIGN,TAKE,A,THE,for,to,-42.25300979614258,"[-2.9567962, -11.432749, -7.4974155, -1.855546, -6.7083077, -2.6839814, -7.928814, -1.1893997]"
a band designed them a card .,the uncle took you the plate .,DO,DO,DESIGN,TAKE,A,THE,for,to,-44.837833404541016,"[-2.9567962, -11.432749, -7.4974155, -6.5191784, -6.0643888, -9.139886, -1.2274191]"
a band designed them a computer .,the colonel delivered the coffee for me .,DO,PD,DESIGN,DELIVER,A,THE,for,for,-42.34062957763672,"[-2.978287, -11.683521, -9.143048, -1.8754728, -9.583461, -3.5261016, -2.6862626, -0.8644762]"
a band designed them a computer .,the colonel delivered me the coffee .,DO,DO,DESIGN,DELIVER,A,THE,for,for,-39.59944152832031,"[-2.978287, -11.683521, -9.143048, -5.1985292, -2.4542565, -7.158169, -0.9836272]"
a band designed them a cup .,the wife kept the chicken for you .,DO,PD,DESIGN,KEEP,A,THE,for,for,-44.18138885498047,"[-2.955972, -8.720623, -11.221928, -2.5999765, -6.8552055, -3.8232589, -6.9861298, -1.0182981]"
a band designed them a cup .,the wife kept you the chicken .,DO,DO,DESIGN,KEEP,A,THE,for,for,-44.651180267333984,"[-2.955972, -8.720623, -11.221928, -6.876609, -6.8406944, -6.9746413, -1.060713]"
a band designed them a cup .,the husband promised the plate to you .,DO,PD,DESIGN,PROMISE,A,THE,for,to,-44.97121810913086,"[-2.955972, -9.3764, -8.706888, -3.4003003, -10.857751, -2.1771474, -6.3496666, -1.1470919]"
a band designed them a cup .,the husband promised you the plate .,DO,DO,DESIGN,PROMISE,A,THE,for,to,-41.81807327270508,"[-2.955972, -9.3764, -8.706888, -5.744502, -3.2798986, -10.619925, -1.1344892]"
a band designed them a knife .,the reader left the log for him .,DO,PD,DESIGN,LEAVE,A,THE,for,for,-40.82810592651367,"[-2.9789221, -9.176273, -8.85686, -2.1389616, -7.580037, -4.71169, -3.9459238, -1.4394377]"
a band designed them a knife .,the reader left him the log .,DO,DO,DESIGN,LEAVE,A,THE,for,for,-40.14447784423828,"[-2.9789221, -9.176273, -8.85686, -4.1731644, -4.3262167, -8.605415, -2.0276256]"
a band designed us a key .,the leader drew the telephone for you .,DO,PD,DESIGN,DRAW,A,THE,for,for,-50.05384063720703,"[-2.9254968, -7.59618, -16.104706, -2.6500254, -9.523251, -3.6906168, -6.8570523, -0.7065117]"
a band designed us a key .,the leader drew you the telephone .,DO,DO,DESIGN,DRAW,A,THE,for,for,-52.86089324951172,"[-2.9254968, -7.59618, -16.104706, -8.040608, -4.4894285, -12.668916, -1.0355604]"
a band designed us a motor .,the friend purchased the box for me .,DO,PD,DESIGN,PURCHASE,A,THE,for,for,-35.74009704589844,"[-2.9904099, -10.0461, -9.182665, -1.9346964, -5.5422487, -3.1219246, -1.098887, -1.8231668]"
