prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
a band designed her a knife .,DESIGN,A,for,the prince purchased it the beer .,PURCHASE,THE,for,-42.72076416015625,-47.67030334472656,-43.67593383789063,-45.94240188598633
a band designed her a knife .,DESIGN,A,for,the priest saved us the meal .,SAVE,THE,for,-42.740570068359375,-44.28446960449219,-42.91714477539063,-43.329925537109375
a band designed him a cigarette .,DESIGN,A,for,the employer purchased us the salad .,PURCHASE,THE,for,-42.58175277709961,-47.194618225097656,-44.54005432128906,-45.56535720825195
a band designed him a flower .,DESIGN,A,for,the singer promised you the salad .,PROMISE,THE,to,-46.961891174316406,-43.07185363769531,-47.542945861816406,-42.958290100097656
a band designed him a gun .,DESIGN,A,for,the mother sold us the computer .,SELL,THE,to,-40.2114372253418,-40.34226989746094,-41.169769287109375,-40.107521057128906
a band designed him a gun .,DESIGN,A,for,the leader took us the iron .,TAKE,THE,to,-45.55987548828125,-48.035682678222656,-45.875770568847656,-47.05396270751953
a band designed him a key .,DESIGN,A,for,the father drew us the card .,DRAW,THE,for,-39.08927154541016,-39.98869323730469,-40.16684722900391,-38.788841247558594
a band designed him a key .,DESIGN,A,for,the minister delivered you the juice .,DELIVER,THE,for,-49.20594787597656,-45.95188522338867,-50.87982177734375,-45.65244674682617
a band designed him a motor .,DESIGN,A,for,the king sent you the tea .,SEND,THE,to,-40.230690002441406,-36.19303894042969,-40.912845611572266,-35.88874053955078
a band designed it a computer .,DESIGN,A,for,the worker got us the beer .,GET,THE,for,-40.97748947143555,-39.54824447631836,-42.513671875,-39.629024505615234
a band designed me a card .,DESIGN,A,for,the captain gave us the coffee .,GIVE,THE,to,-38.5626220703125,-35.94842529296875,-39.60947799682617,-36.00421905517578
a band designed me a cigarette .,DESIGN,A,for,the boy threw them the cheese .,THROW,THE,to,-41.461082458496094,-38.472145080566406,-42.08955001831055,-38.113380432128906
a band designed me a motor .,DESIGN,A,for,the candidate left him the knife .,LEAVE,THE,for,-41.30288696289063,-41.1737174987793,-42.44920349121094,-41.388092041015625
