prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew us the hat .,DRAW,THE,for,a lady brought him a pie .,BRING,A,to,-34.92246627807617,-32.98819732666016,-34.62799453735352,-31.89360809326172
the champion drew him the cup .,DRAW,THE,for,a cousin brought you a bag .,BRING,A,to,-38.91889953613281,-36.1359977722168,-39.67487335205078,-36.11477279663086
the leader drew him the telephone .,DRAW,THE,for,an uncle brought you an anchor .,BRING,A,to,-42.63701248168945,-40.69115447998047,-42.9593505859375,-39.66399383544922
the manager drew them the gun .,DRAW,THE,for,a man brought her a book .,BRING,A,to,-28.3593692779541,-27.949256896972656,-28.80258178710937,-27.458446502685547
the cop drew you the coat .,DRAW,THE,for,a girl brought her a coffee .,BRING,A,to,-32.802371978759766,-30.98795890808105,-34.18412780761719,-29.75130271911621
the secretary drew them the card .,DRAW,THE,for,a princess brought us a coffee .,BRING,A,to,-41.581504821777344,-38.689640045166016,-39.820159912109375,-37.00202178955078
the husband drew me the hat .,DRAW,THE,for,a lady brought him a computer .,BRING,A,to,-37.48554229736328,-35.35393524169922,-37.55559539794922,-34.344356536865234
the employee drew it the button .,DRAW,THE,for,a colonel brought me a television .,BRING,A,to,-40.929664611816406,-38.66641616821289,-41.07855987548828,-38.83925628662109
the employee drew us the glass .,DRAW,THE,for,a teacher brought him an engine .,BRING,A,to,-40.82673263549805,-39.44566345214844,-40.15024566650391,-37.95499801635742
the student drew her the cup .,DRAW,THE,for,a mayor brought them an instrument .,BRING,A,to,-45.38163757324219,-43.26959609985352,-44.788272857666016,-41.0198974609375
the princess drew her the plate .,DRAW,THE,for,a colonel brought you a tea .,BRING,A,to,-41.14608001708984,-38.413604736328125,-41.27707290649414,-37.643463134765625
the actress drew you the card .,DRAW,THE,for,an aunt brought him a jacket .,BRING,A,to,-41.39191055297852,-37.56103897094727,-39.96702575683594,-34.6680908203125
the mother drew him the flower .,DRAW,THE,for,a hero brought it a chocolate .,BRING,A,to,-42.922000885009766,-39.64084243774414,-41.56724548339844,-38.30405426025391
the president drew you the iron .,DRAW,THE,for,a soldier brought us a cup .,BRING,A,to,-35.77920150756836,-33.20148468017578,-36.73096466064453,-32.209964752197266
the mother drew them the crystal .,DRAW,THE,for,an employee brought you a camera .,BRING,A,to,-39.03857803344727,-36.205352783203125,-38.01040267944336,-35.5365104675293
the guest drew them the guitar .,DRAW,THE,for,a parent brought us a meal .,BRING,A,to,-38.66758346557617,-35.012176513671875,-38.89153289794922,-34.26982879638672
the chief drew it the newspaper .,DRAW,THE,for,a prince brought us a motor .,BRING,A,to,-42.78647613525391,-40.77341079711914,-43.75434112548828,-40.80304336547852
the employee drew us the engine .,DRAW,THE,for,a colonel brought you a bottle .,BRING,A,to,-40.56352233886719,-38.59599304199219,-41.8757209777832,-38.694732666015625
the husband drew me the button .,DRAW,THE,for,a professor brought them a tea .,BRING,A,to,-42.01367950439453,-41.14472198486328,-43.18740081787109,-40.51516342163086
the secretary drew you the card .,DRAW,THE,for,a soldier brought me a telephone .,BRING,A,to,-38.80427551269531,-36.63509750366211,-37.77914810180664,-33.371097564697266
the opponent drew you the crystal .,DRAW,THE,for,a father brought me a beer .,BRING,A,to,-39.14862060546875,-36.73412704467773,-38.26675033569336,-34.698516845703125
the professor drew them the key .,DRAW,THE,for,a doctor brought us a tea .,BRING,A,to,-37.28541946411133,-35.145301818847656,-38.13608932495117,-34.32635498046875
the kid drew us the bowl .,DRAW,THE,for,a candidate brought you a chocolate .,BRING,A,to,-46.6999626159668,-42.18946838378906,-46.898963928222656,-41.7086181640625
the girl drew him the instrument .,DRAW,THE,for,a mayor brought me a coffee .,BRING,A,to,-41.95081329345703,-39.01564407348633,-42.22621536254883,-38.83195495605469
the pilot drew them the coat .,DRAW,THE,for,an employer brought you a tea .,BRING,A,to,-45.266231536865234,-43.224369049072266,-44.9703369140625,-43.03606414794922
a child drew it a jacket .,DRAW,A,for,the husband brought us the newspaper .,BRING,THE,to,-31.91567039489746,-29.66882705688477,-33.13419723510742,-29.596847534179688
