text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a lady brought a pie to him .,PD,BRING,A,to,-38.37643432617188,▁A|▁lady|▁brought|▁a|▁pie|▁to|▁him|.,"[-4.501774787902832, -8.719051361083984, -7.365262985229492, -1.4290268421173096, -6.819332599639893, -0.6046706438064575, -7.342767238616943, -1.594547986984253]"
a lady brought him a pie .,DO,BRING,A,to,-35.45709609985352,▁A|▁lady|▁brought|▁him|▁a|▁pie|.,"[-4.501774787902832, -8.719051361083984, -7.365263938903809, -6.1855878829956055, -1.336491584777832, -5.663064956665039, -1.6858617067337036]"
a cousin brought a bag to you .,PD,BRING,A,to,-41.244117736816406,▁A|▁cousin|▁brought|▁a|▁bag|▁to|▁you|.,"[-4.501774787902832, -10.084877967834473, -6.896323204040527, -2.3383448123931885, -4.843162536621094, -4.064463138580322, -6.707371711730957, -1.8078012466430664]"
a cousin brought you a bag .,DO,BRING,A,to,-37.80731964111328,▁A|▁cousin|▁brought|▁you|▁a|▁bag|.,"[-4.501774787902832, -10.084877967834473, -6.896322727203369, -5.440847396850586, -1.493639349937439, -4.651818752288818, -4.738040447235107]"
an uncle brought an anchor to you .,PD,BRING,A,to,-46.923133850097656,▁An|▁uncle|▁brought|▁an|▁anchor|▁to|▁you|.,"[-6.047245979309082, -10.185415267944336, -7.355210781097412, -4.464310646057129, -9.285344123840332, -1.4711211919784546, -6.158398151397705, -1.9560848474502563]"
an uncle brought you an anchor .,DO,BRING,A,to,-42.98903274536133,▁An|▁uncle|▁brought|▁you|▁an|▁anchor|.,"[-6.047245979309082, -10.185415267944336, -7.35521125793457, -4.995394229888916, -4.034884929656982, -8.372267723083496, -1.9986093044281006]"
a man brought a book to her .,PD,BRING,A,to,-34.15708923339844,▁A|▁man|▁brought|▁a|▁book|▁to|▁her|.,"[-4.501774787902832, -5.181676864624023, -7.693385124206543, -1.3300217390060425, -6.3547444343566895, -1.1102077960968018, -5.833554744720459, -2.1517245769500732]"
a man brought her a book .,DO,BRING,A,to,-32.8177490234375,▁A|▁man|▁brought|▁her|▁a|▁book|.,"[-4.501774787902832, -5.181676864624023, -7.693386554718018, -7.127692699432373, -2.311100959777832, -4.300930976867676, -1.7011854648590088]"
a girl brought a coffee to her .,PD,BRING,A,to,-40.65484619140625,▁A|▁girl|▁brought|▁a|▁coffee|▁to|▁her|.,"[-4.501774787902832, -7.527220249176025, -7.882724285125732, -1.6086138486862183, -7.920187950134277, -1.7843096256256104, -0.9212178587913513, -8.508797645568848]"
a girl brought her a coffee .,DO,BRING,A,to,-37.5753059387207,▁A|▁girl|▁brought|▁her|▁a|▁coffee|.,"[-4.501774787902832, -7.527220249176025, -7.882726192474365, -1.6160471439361572, -6.159817695617676, -8.02522087097168, -1.8624982833862305]"
a princess brought a coffee to us .,PD,BRING,A,to,-47.31504821777344,▁A|▁prin|cess|▁brought|▁a|▁coffee|▁to|▁us|.,"[-4.501774787902832, -10.29953670501709, -0.02450183592736721, -8.533581733703613, -3.3796472549438477, -9.189949989318848, -2.178248882293701, -7.398227691650391, -1.8095812797546387]"
a princess brought us a coffee .,DO,BRING,A,to,-40.82299423217773,▁A|▁prin|cess|▁brought|▁us|▁a|▁coffee|.,"[-4.501774787902832, -10.29953670501709, -0.02450183592736721, -8.533580780029297, -6.36397123336792, -1.933364987373352, -6.992058277130127, -2.1742053031921387]"
a lady brought a computer to him .,PD,BRING,A,to,-39.41599655151367,▁A|▁lady|▁brought|▁a|▁computer|▁to|▁him|.,"[-4.501774787902832, -8.719051361083984, -7.365262985229492, -1.4290268421173096, -8.277730941772461, -0.6504135727882385, -6.520206928253174, -1.9525249004364014]"
a lady brought him a computer .,DO,BRING,A,to,-39.60930252075195,▁A|▁lady|▁brought|▁him|▁a|▁computer|.,"[-4.501774787902832, -8.719051361083984, -7.365263938903809, -6.1855878829956055, -1.336491584777832, -9.336118698120117, -2.1650125980377197]"
a colonel brought a television to me .,PD,BRING,A,to,-47.86042022705078,▁A|▁colon|el|▁brought|▁a|▁television|▁to|▁me|.,"[-4.501774787902832, -10.303475379943848, -4.284836292266846, -9.133686065673828, -1.7842915058135986, -9.251976013183594, -1.6864628791809082, -5.119406700134277, -1.7945069074630737]"
a colonel brought me a television .,DO,BRING,A,to,-45.26216125488281,▁A|▁colon|el|▁brought|▁me|▁a|▁television|.,"[-4.501774787902832, -10.303475379943848, -4.28483772277832, -9.133686065673828, -3.0667765140533447, -1.234308123588562, -10.027230262756348, -2.7100753784179688]"
a teacher brought an engine to him .,PD,BRING,A,to,-45.72774505615234,▁A|▁teacher|▁brought|▁an|▁engine|▁to|▁him|.,"[-4.501774787902832, -8.1781644821167, -7.587386131286621, -3.6060433387756348, -9.61475944519043, -1.1712223291397095, -9.190868377685547, -1.8775272369384766]"
a teacher brought him an engine .,DO,BRING,A,to,-41.30929565429688,▁A|▁teacher|▁brought|▁him|▁an|▁engine|.,"[-4.501774787902832, -8.1781644821167, -7.587385177612305, -6.1055145263671875, -4.410006046295166, -8.142882347106934, -2.383565664291382]"
a mayor brought an instrument to them .,PD,BRING,A,to,-50.596641540527344,▁A|▁mayor|▁brought|▁an|▁instrument|▁to|▁them|.,"[-4.501774787902832, -11.107820510864258, -9.115500450134277, -4.055721282958984, -8.810802459716797, -1.6851686239242554, -9.549531936645508, -1.7703170776367188]"
