prime_sentence,prime_structure,prime_verb,target_sentence,target_structure,target_verb,perplexity,log_prob
a mayor purchased a gun for you .,PD,PURCHASE,the physician sent the cheese to you .,PD,SEND,1020.8320922851562,-48.49861145019531
a mayor purchased you a gun .,DO,PURCHASE,the physician sent the cheese to you .,PD,SEND,1010.6714477539062,-48.4285888671875
a mayor purchased a gun for you .,PD,PURCHASE,the physician sent you the cheese .,DO,SEND,3572.38671875,-49.085933685302734
a mayor purchased you a gun .,DO,PURCHASE,the physician sent you the cheese .,DO,SEND,3568.101318359375,-49.078731536865234
a soldier bought a crystal for you .,PD,BUY,the physician sent the cheese to you .,PD,SEND,1021.3284301757812,-48.50201416015625
a soldier bought you a crystal .,DO,BUY,the physician sent the cheese to you .,PD,SEND,1027.3482666015625,-48.54315185546875
a soldier bought a crystal for you .,PD,BUY,the physician sent you the cheese .,DO,SEND,3569.13134765625,-49.08046340942383
a soldier bought you a crystal .,DO,BUY,the physician sent you the cheese .,DO,SEND,3616.38623046875,-49.15938186645508
a son bought a telephone for them .,PD,BUY,the physician sent the cheese to me .,PD,SEND,693.3536376953125,-45.79077911376953
a son bought them a telephone .,DO,BUY,the physician sent the cheese to me .,PD,SEND,680.4834594726562,-45.65962219238281
a son bought a telephone for them .,PD,BUY,the physician sent me the cheese .,DO,SEND,2169.436279296875,-46.09333419799805
a son bought them a telephone .,DO,BUY,the physician sent me the cheese .,DO,SEND,2152.045654296875,-46.0450439453125
a boy made a television for it .,PD,MAKE,the physician sent the cheese to him .,PD,SEND,408.3167419433594,-42.08430099487305
a boy made it a television .,DO,MAKE,the physician sent the cheese to him .,PD,SEND,403.0975341796875,-41.99424743652344
a boy made a television for it .,PD,MAKE,the physician sent him the cheese .,DO,SEND,1470.334228515625,-43.75946807861328
a boy made it a television .,DO,MAKE,the physician sent him the cheese .,DO,SEND,1457.2862548828125,-43.70598602294922
a chief saved a camera for me .,PD,SAVE,the physician sent the cheese to us .,PD,SEND,899.6109619140625,-47.61373519897461
a chief saved me a camera .,DO,SAVE,the physician sent the cheese to us .,PD,SEND,898.6868896484375,-47.60654067993164
a chief saved a camera for me .,PD,SAVE,the physician sent us the cheese .,DO,SEND,3292.374267578125,-48.59618377685547
a chief saved me a camera .,DO,SAVE,the physician sent us the cheese .,DO,SEND,3317.2578125,-48.641361236572266
a minister found a meal for them .,PD,FIND,the physician sent the cheese to him .,PD,SEND,411.84588623046875,-42.1445426940918
a minister found them a meal .,DO,FIND,the physician sent the cheese to him .,PD,SEND,409.4083251953125,-42.102989196777344
a minister found a meal for them .,PD,FIND,the physician sent him the cheese .,DO,SEND,1486.5078125,-43.82510757446289
a minister found them a meal .,DO,FIND,the physician sent him the cheese .,DO,SEND,1481.21142578125,-43.80369186401367
a girl found a coffee for me .,PD,FIND,the physician sent the cheese to it .,PD,SEND,692.4832763671875,-45.781986236572266
a girl found me a coffee .,DO,FIND,the physician sent the cheese to it .,PD,SEND,688.7283935546875,-45.743927001953125
a girl found a coffee for me .,PD,FIND,the physician sent it the cheese .,DO,SEND,2817.121337890625,-47.660823822021484
a girl found me a coffee .,DO,FIND,the physician sent it the cheese .,DO,SEND,2805.200439453125,-47.635379791259766
a leader left a pie for me .,PD,LEAVE,the physician sent the cheese to you .,PD,SEND,1023.6424560546875,-48.51785659790039
