text,structure,verb,det,prep,SUBJ,VERB,DOBJ,IOBJ,PREP,EOS,sen_prob_nospace,perplexity_nospace
a lady brought a pie to him .,PD,BRING,A,to,-12.528146743774414,-7.516814708709717,-9.436224937438965,-6.255261421203613,-1.1053590774536133,-1.8163998126983643,-38.658203125,125.49618530273438
a lady brought him a pie .,DO,BRING,A,to,-12.528146743774414,-7.516814708709717,-8.11368179321289,-5.668240547180176,0.0,-1.666904330253601,-35.4937858581543,159.26043701171875
a cousin brought a bag to you .,PD,BRING,A,to,-13.521003723144531,-8.00344467163086,-6.841179370880127,-8.04257869720459,-2.929222822189331,-2.5855870246887207,-41.92301559448242,188.74124145507812
a cousin brought you a bag .,DO,BRING,A,to,-13.521003723144531,-8.00344467163086,-8.25135612487793,-5.3799824714660645,0.0,-4.7118449211120605,-39.86763000488281,297.4885559082031
an uncle brought an anchor to you .,PD,BRING,A,to,-14.965593338012695,-8.241844177246094,-12.563051223754883,-7.83278751373291,-0.9764209985733032,-2.125817060470581,-46.70551300048828,343.1573486328125
an uncle brought you an anchor .,DO,BRING,A,to,-14.965593338012695,-8.241844177246094,-13.615690231323242,-5.762166500091553,0.0,-3.4388630390167236,-46.02415466308594,716.8590698242188
a man brought a book to her .,PD,BRING,A,to,-7.685215950012207,-8.406869888305664,-7.873169898986816,-3.924668550491333,-0.9195200204849243,-4.694857120513916,-33.504302978515625,65.89337158203125
a man brought her a book .,DO,BRING,A,to,-7.685215950012207,-8.406869888305664,-7.71460485458374,-6.139410972595215,0.0,-2.6978440284729004,-32.64394760131836,105.99809265136719
a girl brought a coffee to her .,PD,BRING,A,to,-11.087949752807617,-7.8447160720825195,-9.662212371826172,-2.2668099403381348,-1.525012493133545,-5.327554702758789,-37.714256286621094,111.5287094116211
a girl brought her a coffee .,DO,BRING,A,to,-11.087949752807617,-7.8447160720825195,-12.449718475341797,-3.037393569946289,0.0,-2.987290859222412,-37.407066345214844,209.3205108642578
a princess brought a coffee to us .,PD,BRING,A,to,-14.581560134887695,-7.428006172180176,-10.76276683807373,-4.886416435241699,-1.3805313110351562,-1.9879807233810425,-41.027259826660156,168.7481689453125
a princess brought us a coffee .,DO,BRING,A,to,-14.581560134887695,-7.428006172180176,-9.512404441833496,-5.067455291748047,0.0,-2.300739049911499,-38.89016342163086,258.7177429199219
a lady brought a computer to him .,PD,BRING,A,to,-12.528146743774414,-7.516814708709717,-9.903740882873535,-6.325435638427734,-0.9234083890914917,-2.12956166267395,-39.327110290527344,136.44052124023438
a lady brought him a computer .,DO,BRING,A,to,-12.528146743774414,-7.516814708709717,-10.734179496765137,-5.668240547180176,0.0,-2.2662339210510254,-38.7136116027832,252.27403259277344
a colonel brought a television to me .,PD,BRING,A,to,-14.814725875854492,-8.236944198608398,-9.88901424407959,-5.175836563110352,-1.884395718574524,-2.5548183917999268,-42.55573272705078,204.27488708496094
a colonel brought me a television .,DO,BRING,A,to,-14.814725875854492,-8.236944198608398,-10.021408081054688,-3.656294822692871,0.0,-2.9428725242614746,-39.672245025634766,289.2998046875
a teacher brought an engine to him .,PD,BRING,A,to,-11.452590942382812,-7.912125587463379,-12.436148643493652,-6.518158912658691,-0.9267409443855286,-2.583482265472412,-41.82924270629883,186.5417938232422
