text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a lady brought a pie to a club .,PD,BRING,A,to,-53.1222038269043,▁A|▁lady|▁brought|▁a|▁pie|▁to|▁a|▁club|.,"[-11.423389434814453, -9.04840087890625, -7.636134624481201, -1.2767853736877441, -6.910497665405273, -0.19140803813934326, -1.1344716548919678, -10.956642150878906, -4.544473171234131]"
a lady brought a club a pie .,DO,BRING,A,to,-60.42062759399414,▁A|▁lady|▁brought|▁a|▁club|▁a|▁pie|.,"[-11.423389434814453, -9.04840087890625, -7.636134147644043, -1.2767843008041382, -12.342902183532715, -9.085589408874512, -7.3288702964782715, -2.2785558700561523]"
a cousin brought a bag to a company .,PD,BRING,A,to,-55.41641998291016,▁A|▁cousin|▁brought|▁a|▁bag|▁to|▁a|▁company|.,"[-11.423389434814453, -10.486562728881836, -8.263916969299316, -1.9777348041534424, -4.471216678619385, -5.729973793029785, -2.9423513412475586, -6.744783401489258, -3.3764891624450684]"
a cousin brought a company a bag .,DO,BRING,A,to,-59.96273040771485,▁A|▁cousin|▁brought|▁a|▁company|▁a|▁bag|.,"[-11.423389434814453, -10.486562728881836, -8.263916015625, -1.9777339696884155, -9.164974212646484, -5.483052730560303, -6.7456746101379395, -6.417426586151123]"
an uncle brought an anchor to a priest .,PD,BRING,A,to,-57.85172271728516,▁An|▁uncle|▁brought|▁an|▁anchor|▁to|▁a|▁priest|.,"[-11.601554870605469, -9.93321418762207, -7.984922885894775, -4.414208889007568, -9.627416610717773, -0.7522433996200562, -2.265866279602051, -8.51642894744873, -2.755868673324585]"
an uncle brought a priest an anchor .,DO,BRING,A,to,-58.56160354614258,▁An|▁uncle|▁brought|▁a|▁priest|▁an|▁anchor|.,"[-11.601554870605469, -9.93321418762207, -7.984922885894775, -2.108936071395874, -8.141212463378906, -7.920393943786621, -7.958715438842773, -2.912656307220459]"
a man brought a book to an administration .,PD,BRING,A,to,-57.002323150634766,▁A|▁man|▁brought|▁a|▁book|▁to|▁an|▁administration|.,"[-11.423389434814453, -5.5709428787231445, -7.715663909912109, -1.3172858953475952, -7.445487976074219, -0.49033069610595703, -5.400886058807373, -12.429649353027344, -5.208686828613281]"
a man brought an administration a book .,DO,BRING,A,to,-56.24677276611328,▁A|▁man|▁brought|▁an|▁administration|▁a|▁book|.,"[-11.423389434814453, -5.5709428787231445, -7.715663909912109, -4.504937648773193, -11.088623046875, -7.769550323486328, -5.367361545562744, -2.8063018321990967]"
a girl brought a coffee to a guy .,PD,BRING,A,to,-46.15312194824219,▁A|▁girl|▁brought|▁a|▁coffee|▁to|▁a|▁gu|y|.,"[-11.423389434814453, -7.585927963256836, -8.318146705627441, -1.1788851022720337, -8.38576889038086, -2.8319365978240967, -1.407242774963379, -1.7270333766937256, -2.109982233378105e-05, -3.2947726249694824]"
a girl brought a guy a coffee .,DO,BRING,A,to,-49.09400939941406,▁A|▁girl|▁brought|▁a|▁gu|y|▁a|▁coffee|.,"[-11.423389434814453, -7.585927963256836, -8.318146705627441, -1.1788851022720337, -6.2627482414245605, -0.14445644617080688, -6.926233291625977, -4.161470413208008, -3.0927579402923584]"
a princess brought a coffee to an adult .,PD,BRING,A,to,-60.73892974853516,▁A|▁prin|cess|▁brought|▁a|▁coffee|▁to|▁an|▁adult|.,"[-11.423389434814453, -10.609856605529785, -0.016750169917941093, -9.732223510742188, -2.2410221099853516, -8.508706092834473, -2.5082221031188965, -4.888667106628418, -7.58640718460083, -3.2236852645874023]"
a princess brought an adult a coffee .,DO,BRING,A,to,-58.836669921875,▁A|▁prin|cess|▁brought|▁an|▁adult|▁a|▁coffee|.,"[-11.423389434814453, -10.609856605529785, -0.016750169917941093, -9.732223510742188, -4.455447196960449, -7.25489616394043, -6.9726176261901855, -6.281549453735352, -2.0899415016174316]"
a lady brought a computer to an employer .,PD,BRING,A,to,-59.38292694091797,▁A|▁lady|▁brought|▁a|▁computer|▁to|▁an|▁employ|er|.,"[-11.423389434814453, -9.04840087890625, -7.636134624481201, -1.2767853736877441, -9.012542724609375, -0.14745864272117615, -5.944000244140625, -6.801640510559082, -3.8695573806762695, -4.223018169403076]"
a lady brought an employer a computer .,DO,BRING,A,to,-58.68180847167969,▁A|▁lady|▁brought|▁an|▁employ|er|▁a|▁computer|.,"[-11.423389434814453, -9.04840087890625, -7.636134624481201, -4.713028430938721, -5.919905185699463, -1.5867291688919067, -5.25175142288208, -8.766090393066406, -4.33637809753418]"
a colonel brought a television to a candidate .,PD,BRING,A,to,-62.24938583374024,▁A|▁colon|el|▁brought|▁a|▁television|▁to|▁a|▁candidate|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -1.3735618591308594, -9.196403503417969, -1.3630964756011963, -2.0446455478668213, -9.737135887145996, -4.187868118286133]"
a colonel brought a candidate a television .,DO,BRING,A,to,-67.96427917480469,▁A|▁colon|el|▁brought|▁a|▁candidate|▁a|▁television|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -1.3735599517822266, -8.734889030456543, -7.536454200744629, -11.652178764343262, -4.320529460906982]"
a teacher brought an engine to a singer .,PD,BRING,A,to,-60.01255416870117,▁A|▁teacher|▁brought|▁an|▁engine|▁to|▁a|▁singer|.,"[-11.423389434814453, -7.834280014038086, -7.7247514724731445, -3.993828296661377, -10.499309539794922, -0.965684175491333, -3.2986974716186523, -12.624773979187012, -1.647838830947876]"
a teacher brought a singer an engine .,DO,BRING,A,to,-64.22205352783203,▁A|▁teacher|▁brought|▁a|▁singer|▁an|▁engine|.,"[-11.423389434814453, -7.834280014038086, -7.724752426147461, -0.5797548890113831, -11.083226203918457, -11.292191505432129, -11.105603218078613, -3.1788570880889893]"
a mayor brought an instrument to a band .,PD,BRING,A,to,-55.08654022216797,▁A|▁mayor|▁brought|▁an|▁instrument|▁to|▁a|▁band|.,"[-11.423389434814453, -10.422484397888184, -9.422682762145996, -3.66739559173584, -9.339019775390625, -0.9807983636856079, -0.8635331392288208, -6.096911907196045, -2.8703246116638184]"
a mayor brought a band an instrument .,DO,BRING,A,to,-61.83097457885742,▁A|▁mayor|▁brought|▁a|▁band|▁an|▁instrument|.,"[-11.423389434814453, -10.422484397888184, -9.422684669494629, -1.4706547260284424, -9.108448028564453, -12.701180458068848, -3.8158621788024902, -3.4662728309631348]"
a colonel brought a tea to a business .,PD,BRING,A,to,-72.46813201904297,▁A|▁colon|el|▁brought|▁a|▁tea|▁to|▁a|▁business|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -1.3735618591308594, -11.34145736694336, -3.8358371257781982, -7.379206657409668, -7.25996208190918, -6.931436061859131]"
a colonel brought a business a tea .,DO,BRING,A,to,-70.74715423583984,▁A|▁colon|el|▁brought|▁a|▁business|▁a|▁tea|.,"[-11.423389434814453, -9.612052917480469, -3.3462724685668945, -9.964956283569336, -1.3735599517822266, -9.11863899230957, -10.23711109161377, -11.963658332824707, -3.7075209617614746]"
an aunt brought a jacket to an army .,PD,BRING,A,to,-61.76024627685547,▁An|▁a|unt|▁brought|▁a|▁jack|et|▁to|▁an|▁army|.,"[-11.601554870605469, -7.417680740356445, -5.539562225341797, -7.722719192504883, -1.7980273962020874, -9.350523948669434, -0.13013052940368652, -0.7556939125061035, -5.1203203201293945, -7.246499061584473, -5.077530860900879]"
