prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew us the hat .,DRAW,THE,for,a lady brought him a pie .,BRING,A,to,-35.2132682800293,-30.9694938659668,-35.77614212036133,-30.713409423828125
the champion drew him the cup .,DRAW,THE,for,a cousin brought you a bag .,BRING,A,to,-40.11467742919922,-37.5824089050293,-40.85358428955078,-37.261531829833984
the leader drew him the telephone .,DRAW,THE,for,an uncle brought you an anchor .,BRING,A,to,-42.74151611328125,-39.96106719970703,-44.219608306884766,-40.77995681762695
the manager drew them the gun .,DRAW,THE,for,a man brought her a book .,BRING,A,to,-30.155393600463867,-29.184814453125,-30.30948257446289,-28.45649719238281
the cop drew you the coat .,DRAW,THE,for,a girl brought her a coffee .,BRING,A,to,-37.8065185546875,-31.83983612060547,-39.207157135009766,-30.37073516845703
the secretary drew them the card .,DRAW,THE,for,a princess brought us a coffee .,BRING,A,to,-40.638790130615234,-37.13323593139648,-41.64092254638672,-37.11953353881836
the husband drew me the hat .,DRAW,THE,for,a lady brought him a computer .,BRING,A,to,-36.79959487915039,-33.11344146728516,-38.02818298339844,-33.55406188964844
the employee drew it the button .,DRAW,THE,for,a colonel brought me a television .,BRING,A,to,-39.11151123046875,-36.98126602172852,-39.66583633422852,-38.05417251586914
the employee drew us the glass .,DRAW,THE,for,a teacher brought him an engine .,BRING,A,to,-39.3537712097168,-37.74383544921875,-39.7713508605957,-37.59061813354492
the student drew her the cup .,DRAW,THE,for,a mayor brought them an instrument .,BRING,A,to,-44.37710189819336,-42.08621597290039,-45.83495330810547,-42.17745208740234
the princess drew her the plate .,DRAW,THE,for,a colonel brought you a tea .,BRING,A,to,-45.41682434082031,-40.09315872192383,-45.52922058105469,-40.5283432006836
the actress drew you the card .,DRAW,THE,for,an aunt brought him a jacket .,BRING,A,to,-42.423824310302734,-39.09278869628906,-42.338134765625,-38.59903717041016
the mother drew him the flower .,DRAW,THE,for,a hero brought it a chocolate .,BRING,A,to,-44.1259765625,-40.949974060058594,-45.2152099609375,-40.7992057800293
the president drew you the iron .,DRAW,THE,for,a soldier brought us a cup .,BRING,A,to,-36.68555068969727,-33.55264663696289,-37.197879791259766,-34.30558013916016
the mother drew them the crystal .,DRAW,THE,for,an employee brought you a camera .,BRING,A,to,-40.369728088378906,-38.85718536376953,-40.97484588623047,-38.556732177734375
the guest drew them the guitar .,DRAW,THE,for,a parent brought us a meal .,BRING,A,to,-37.20453643798828,-33.45338439941406,-38.95491409301758,-34.019962310791016
the chief drew it the newspaper .,DRAW,THE,for,a prince brought us a motor .,BRING,A,to,-43.9064826965332,-40.24163818359375,-45.73175430297852,-41.146278381347656
the employee drew us the engine .,DRAW,THE,for,a colonel brought you a bottle .,BRING,A,to,-43.60746383666992,-40.5127182006836,-43.32709503173828,-39.07295608520508
the husband drew me the button .,DRAW,THE,for,a professor brought them a tea .,BRING,A,to,-41.49287033081055,-38.854923248291016,-41.99349594116211,-38.08566284179688
the secretary drew you the card .,DRAW,THE,for,a soldier brought me a telephone .,BRING,A,to,-37.92111206054688,-34.48450469970703,-38.30037307739258,-35.350135803222656
the opponent drew you the crystal .,DRAW,THE,for,a father brought me a beer .,BRING,A,to,-43.73637771606445,-41.188323974609375,-42.33090591430664,-39.18868255615234
the professor drew them the key .,DRAW,THE,for,a doctor brought us a tea .,BRING,A,to,-37.49374008178711,-31.41330337524414,-38.28269577026367,-31.32084274291992
the kid drew us the bowl .,DRAW,THE,for,a candidate brought you a chocolate .,BRING,A,to,-50.24958419799805,-46.23341369628906,-49.78813934326172,-44.276145935058594
the girl drew him the instrument .,DRAW,THE,for,a mayor brought me a coffee .,BRING,A,to,-42.71232986450195,-36.93818283081055,-43.396514892578125,-36.96624755859375
the pilot drew them the coat .,DRAW,THE,for,an employer brought you a tea .,BRING,A,to,-47.72234725952149,-42.7797966003418,-47.867130279541016,-41.52144241333008
a child drew it a jacket .,DRAW,A,for,the husband brought us the newspaper .,BRING,THE,to,-33.921871185302734,-31.022274017333984,-35.278038024902344,-31.88960075378418
a mother drew you a crystal .,DRAW,A,for,the secretary brought them the beer .,BRING,THE,to,-42.73716735839844,-38.87828826904297,-43.14184188842773,-38.291133880615234
a princess drew them a button .,DRAW,A,for,the champion brought me the hat .,BRING,THE,to,-38.30815124511719,-35.60714340209961,-38.642127990722656,-35.46002960205078
a son drew us a bell .,DRAW,A,for,the parent brought you the chocolate .,BRING,THE,to,-37.931884765625,-36.14083862304688,-37.90109252929688,-33.9591178894043
a pilot drew you a computer .,DRAW,A,for,the secretary brought her the juice .,BRING,THE,to,-40.22158050537109,-39.15534591674805,-42.28495788574219,-37.73362350463867
a hero drew us an engine .,DRAW,A,for,the pilot brought it the pie .,BRING,THE,to,-39.08220672607422,-39.40768432617188,-37.4240837097168,-36.9227409362793
a sheriff drew it a knife .,DRAW,A,for,the mother brought you the plate .,BRING,THE,to,-40.54819488525391,-36.1395263671875,-39.83921813964844,-35.040531158447266
a worker drew him a key .,DRAW,A,for,the mother brought it the coffee .,BRING,THE,to,-36.95029830932617,-38.00776290893555,-38.09469985961914,-38.05885314941406
a chief drew me a crystal .,DRAW,A,for,the author brought you the guitar .,BRING,THE,to,-43.2131233215332,-41.22925567626953,-43.8647575378418,-40.50815200805664
a student drew you a pot .,DRAW,A,for,the guy brought it the iron .,BRING,THE,to,-38.0760498046875,-38.39686584472656,-35.72977828979492,-36.79706573486328
a husband drew you a wire .,DRAW,A,for,the employee brought us the television .,BRING,THE,to,-38.779598236083984,-35.854957580566406,-40.26360321044922,-36.722293853759766
an uncle drew her a telephone .,DRAW,A,for,the lady brought it the key .,BRING,THE,to,-33.94835662841797,-35.78413009643555,-35.228477478027344,-36.73287963867188
an aunt drew him a crystal .,DRAW,A,for,the professor brought us the meal .,BRING,THE,to,-34.382415771484375,-32.80613327026367,-34.690826416015625,-33.00111389160156
a writer drew us a bowl .,DRAW,A,for,the bishop brought you the pie .,BRING,THE,to,-41.66872787475586,-39.16566848754883,-40.71981430053711,-36.099308013916016
a brother drew us a coat .,DRAW,A,for,the lawyer brought me the newspaper .,BRING,THE,to,-32.524410247802734,-30.59628295898437,-32.98859405517578,-30.312997817993164
a prince drew us a jacket .,DRAW,A,for,the lady brought you the cigarette .,BRING,THE,to,-38.8698616027832,-34.27172088623047,-39.43396759033203,-33.05427932739258
a son drew him a telephone .,DRAW,A,for,the worker brought us the pie .,BRING,THE,to,-39.633636474609375,-37.98060989379883,-41.43994140625,-39.0486946105957
a man drew us a plate .,DRAW,A,for,the worker brought them the coffee .,BRING,THE,to,-36.47534942626953,-35.662986755371094,-35.65040588378906,-33.321266174316406
a soldier drew you a bag .,DRAW,A,for,the actor brought him the glass .,BRING,THE,to,-39.85536956787109,-37.87264251708984,-39.29555892944336,-37.02280044555664
a father drew us a crystal .,DRAW,A,for,the mayor brought you the key .,BRING,THE,to,-38.35449600219727,-36.70046615600586,-38.44829559326172,-34.89039611816406
a winner drew it an instrument .,DRAW,A,for,the guy brought you the beer .,BRING,THE,to,-35.21288299560547,-32.5637092590332,-34.30531311035156,-31.51534080505371
a pilot drew you a telephone .,DRAW,A,for,the husband brought them the beer .,BRING,THE,to,-37.71168899536133,-35.46981430053711,-37.89278411865234,-34.52849197387695
an adult drew them a machine .,DRAW,A,for,the parent brought it the beer .,BRING,THE,to,-35.43653869628906,-34.93701171875,-35.77973937988281,-32.65986633300781
a guy drew you a glass .,DRAW,A,for,the secretary brought us the chocolate .,BRING,THE,to,-39.68268966674805,-35.29249572753906,-40.429969787597656,-35.961090087890625
a buddy drew you a bell .,DRAW,A,for,the priest brought him the pot .,BRING,THE,to,-35.64139938354492,-34.95822525024414,-35.83013153076172,-34.18962097167969
the employee found us the tea .,FIND,THE,for,a lady brought him a pie .,BRING,A,to,-35.50020217895508,-32.32794952392578,-36.18069839477539,-32.3349723815918
the employee found them the salad .,FIND,THE,for,a cousin brought you a bag .,BRING,A,to,-34.76554489135742,-32.6977424621582,-36.10222244262695,-33.25178527832031
the nurse found it the ball .,FIND,THE,for,an uncle brought you an anchor .,BRING,A,to,-41.616329193115234,-39.184120178222656,-45.04657745361328,-41.857452392578125
the guest found him the bowl .,FIND,THE,for,a man brought her a book .,BRING,A,to,-27.81816291809082,-25.977577209472656,-30.002870559692383,-26.760610580444336
the adult found them the cheese .,FIND,THE,for,a girl brought her a coffee .,BRING,A,to,-34.19911193847656,-30.185115814208984,-35.70817947387695,-30.348617553710938
the woman found them the pot .,FIND,THE,for,a princess brought us a coffee .,BRING,A,to,-41.85040283203125,-36.700531005859375,-43.387821197509766,-37.18385314941406
the wife found me the chicken .,FIND,THE,for,a lady brought him a computer .,BRING,A,to,-38.70256805419922,-37.430213928222656,-39.893436431884766,-37.779544830322266
the employer found them the chicken .,FIND,THE,for,a colonel brought me a television .,BRING,A,to,-43.36528396606445,-39.32672119140625,-43.65807723999024,-39.759910583496094
the parent found them the cheese .,FIND,THE,for,a teacher brought him an engine .,BRING,A,to,-39.92058944702149,-36.5051155090332,-39.90137100219727,-36.22868728637695
the kid found him the juice .,FIND,THE,for,a mayor brought them an instrument .,BRING,A,to,-44.15584564208984,-41.76127624511719,-47.079872131347656,-42.805545806884766
the physician found us the candy .,FIND,THE,for,a colonel brought you a tea .,BRING,A,to,-44.51410675048828,-39.60713958740234,-43.03389358520508,-36.3099365234375
the lawyer found you the coffee .,FIND,THE,for,an aunt brought him a jacket .,BRING,A,to,-41.61812210083008,-35.47406768798828,-41.13909149169922,-33.83316802978516
the daughter found you the meal .,FIND,THE,for,a hero brought it a chocolate .,BRING,A,to,-44.3127326965332,-43.74592971801758,-45.47335815429688,-42.82335662841797
the employer found them the motor .,FIND,THE,for,a soldier brought us a cup .,BRING,A,to,-40.00414276123047,-35.77310943603516,-39.85834884643555,-34.11875915527344
the son found her the juice .,FIND,THE,for,an employee brought you a camera .,BRING,A,to,-38.657371520996094,-36.225624084472656,-40.98096084594727,-37.44137954711914
the author found me the candy .,FIND,THE,for,a parent brought us a meal .,BRING,A,to,-34.948421478271484,-34.50615310668945,-35.97798156738281,-35.401973724365234
the physician found him the pie .,FIND,THE,for,a prince brought us a motor .,BRING,A,to,-47.51722717285156,-44.44466018676758,-48.31888961791992,-44.1252326965332
the soldier found me the plate .,FIND,THE,for,a colonel brought you a bottle .,BRING,A,to,-40.24595642089844,-37.32927322387695,-40.3974838256836,-37.47241973876953
the employee found it the iron .,FIND,THE,for,a professor brought them a tea .,BRING,A,to,-38.532711029052734,-34.82451629638672,-41.070220947265625,-36.77937316894531
the actress found her the newspaper .,FIND,THE,for,a soldier brought me a telephone .,BRING,A,to,-37.81996154785156,-34.238128662109375,-38.87212371826172,-34.64341735839844
the reader found us the coat .,FIND,THE,for,a father brought me a beer .,BRING,A,to,-39.93331146240234,-36.49286651611328,-39.0094108581543,-34.888275146484375
the manager found it the juice .,FIND,THE,for,a doctor brought us a tea .,BRING,A,to,-36.69149017333984,-30.379261016845703,-39.44391632080078,-32.72103500366211
the bishop found it the instrument .,FIND,THE,for,a candidate brought you a chocolate .,BRING,A,to,-49.39690780639648,-44.36296844482422,-49.54121780395508,-44.27153778076172
the son found them the juice .,FIND,THE,for,a mayor brought me a coffee .,BRING,A,to,-40.340110778808594,-33.92127227783203,-42.69024658203125,-36.16388320922852
the actress found us the beer .,FIND,THE,for,an employer brought you a tea .,BRING,A,to,-51.454227447509766,-46.05189895629883,-52.64668273925781,-44.66204071044922
a manager found you a wire .,FIND,A,for,the husband brought us the newspaper .,BRING,THE,to,-37.3954963684082,-33.546138763427734,-36.83562469482422,-33.60398483276367
an aunt found you an iron .,FIND,A,for,the secretary brought them the beer .,BRING,THE,to,-39.6194953918457,-35.55503845214844,-40.908241271972656,-35.954139709472656
a minister found you a glass .,FIND,A,for,the champion brought me the hat .,BRING,THE,to,-43.22859191894531,-40.082149505615234,-42.31939697265625,-39.371620178222656
an uncle found us a beer .,FIND,A,for,the parent brought you the chocolate .,BRING,THE,to,-39.593994140625,-34.82633590698242,-40.71147155761719,-33.634361267089844
a captain found me a cheese .,FIND,A,for,the secretary brought her the juice .,BRING,THE,to,-38.269718170166016,-36.78718566894531,-38.11020660400391,-36.35172271728516
a buddy found us a jacket .,FIND,A,for,the pilot brought it the pie .,BRING,THE,to,-45.579322814941406,-43.82075500488281,-43.71371841430664,-41.9516487121582
a teacher found me a coat .,FIND,A,for,the mother brought you the plate .,BRING,THE,to,-38.63958740234375,-35.7224235534668,-39.90021514892578,-35.67374038696289
a lady found me a meal .,FIND,A,for,the mother brought it the coffee .,BRING,THE,to,-37.64328384399414,-34.92999267578125,-38.058048248291016,-35.04243850708008
an opponent found us an engine .,FIND,A,for,the author brought you the guitar .,BRING,THE,to,-40.46408462524414,-38.05117416381836,-41.09702301025391,-38.36211013793945
an employee found you a cheese .,FIND,A,for,the guy brought it the iron .,BRING,THE,to,-37.37795639038086,-36.56241226196289,-36.0600471496582,-34.5848503112793
a son found me a coffee .,FIND,A,for,the employee brought us the television .,BRING,THE,to,-42.364288330078125,-40.69678497314453,-42.59848403930664,-40.22399139404297
a captain found you a book .,FIND,A,for,the lady brought it the key .,BRING,THE,to,-37.4282112121582,-36.9180793762207,-36.39511489868164,-35.17715072631836
a boy found me a coffee .,FIND,A,for,the professor brought us the meal .,BRING,THE,to,-32.47187423706055,-31.32965850830078,-32.71361541748047,-31.60474967956543
a teacher found us a juice .,FIND,A,for,the bishop brought you the pie .,BRING,THE,to,-41.728607177734375,-38.31293487548828,-42.52444076538086,-37.59720993041992
a sheriff found you a tea .,FIND,A,for,the lawyer brought me the newspaper .,BRING,THE,to,-38.15174865722656,-34.629005432128906,-37.25782012939453,-33.06570053100586
an opponent found me a meal .,FIND,A,for,the lady brought you the cigarette .,BRING,THE,to,-40.92462539672852,-36.16660690307617,-41.0408935546875,-36.040260314941406
a princess found him a coffee .,FIND,A,for,the worker brought us the pie .,BRING,THE,to,-36.5172004699707,-33.98583984375,-37.166236877441406,-33.282371520996094
a captain found him a tea .,FIND,A,for,the worker brought them the coffee .,BRING,THE,to,-34.16096878051758,-32.75334548950195,-34.379119873046875,-32.1953239440918
an employer found me a crystal .,FIND,A,for,the actor brought him the glass .,BRING,THE,to,-36.907676696777344,-37.51789855957031,-36.60505676269531,-36.90827560424805
a prince found them a beer .,FIND,A,for,the mayor brought you the key .,BRING,THE,to,-36.04660034179688,-33.62458038330078,-37.8165283203125,-34.18870544433594
a cop found them a chicken .,FIND,A,for,the guy brought you the beer .,BRING,THE,to,-36.10533905029297,-31.672534942626957,-37.17068099975586,-31.527793884277344
an opponent found me an engine .,FIND,A,for,the husband brought them the beer .,BRING,THE,to,-38.12408065795898,-36.12070846557617,-38.40304183959961,-35.3518180847168
a kid found us a chocolate .,FIND,A,for,the parent brought it the beer .,BRING,THE,to,-34.90176773071289,-32.95817947387695,-34.905155181884766,-32.202518463134766
a doctor found me a camera .,FIND,A,for,the secretary brought us the chocolate .,BRING,THE,to,-40.72407531738281,-36.402610778808594,-40.91630554199219,-35.219383239746094
a sheriff found us a beer .,FIND,A,for,the priest brought him the pot .,BRING,THE,to,-34.57807540893555,-33.89723587036133,-33.27030944824219,-31.811920166015625
