prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew us the hat .,DRAW,THE,for,a lady brought him a pie .,BRING,A,to,-32.85960006713867,-29.406816482543945,-32.653770446777344,-28.368741989135746
the champion drew him the cup .,DRAW,THE,for,a cousin brought you a bag .,BRING,A,to,-40.4449348449707,-36.994850158691406,-42.151405334472656,-37.89965057373047
the leader drew him the telephone .,DRAW,THE,for,an uncle brought you an anchor .,BRING,A,to,-43.84465789794922,-41.65322113037109,-43.54756927490234,-41.07195281982422
the manager drew them the gun .,DRAW,THE,for,a man brought her a book .,BRING,A,to,-29.567947387695312,-27.62394523620605,-30.514440536499023,-27.09035301208496
the cop drew you the coat .,DRAW,THE,for,a girl brought her a coffee .,BRING,A,to,-31.21885108947754,-29.86985206604004,-31.65579605102539,-29.864234924316406
the secretary drew them the card .,DRAW,THE,for,a princess brought us a coffee .,BRING,A,to,-41.22734069824219,-36.89611053466797,-42.36472702026367,-37.283668518066406
the husband drew me the hat .,DRAW,THE,for,a lady brought him a computer .,BRING,A,to,-37.315242767333984,-32.563575744628906,-36.43107604980469,-30.956546783447266
the employee drew it the button .,DRAW,THE,for,a colonel brought me a television .,BRING,A,to,-41.70876693725586,-38.85667037963867,-41.89059448242188,-38.75772476196289
the employee drew us the glass .,DRAW,THE,for,a teacher brought him an engine .,BRING,A,to,-40.24029922485352,-38.09328842163086,-39.348426818847656,-35.94407272338867
the student drew her the cup .,DRAW,THE,for,a mayor brought them an instrument .,BRING,A,to,-41.22247695922852,-39.47283554077149,-43.62989807128906,-40.40087127685547
the princess drew her the plate .,DRAW,THE,for,a colonel brought you a tea .,BRING,A,to,-43.29110336303711,-38.71937942504883,-42.69598007202149,-37.45710372924805
the actress drew you the card .,DRAW,THE,for,an aunt brought him a jacket .,BRING,A,to,-41.15712738037109,-36.88409805297852,-39.649658203125,-34.30963516235352
the mother drew him the flower .,DRAW,THE,for,a hero brought it a chocolate .,BRING,A,to,-41.05924224853516,-39.199127197265625,-41.99324798583984,-38.18725204467773
the president drew you the iron .,DRAW,THE,for,a soldier brought us a cup .,BRING,A,to,-37.075077056884766,-33.51298522949219,-35.660343170166016,-30.99386215209961
the mother drew them the crystal .,DRAW,THE,for,an employee brought you a camera .,BRING,A,to,-40.88467788696289,-38.82766342163086,-39.791481018066406,-37.010032653808594
the guest drew them the guitar .,DRAW,THE,for,a parent brought us a meal .,BRING,A,to,-36.89625549316406,-33.803951263427734,-38.35832977294922,-35.14952850341797
the chief drew it the newspaper .,DRAW,THE,for,a prince brought us a motor .,BRING,A,to,-42.08680725097656,-40.61649703979492,-42.85786819458008,-40.55982208251953
the employee drew us the engine .,DRAW,THE,for,a colonel brought you a bottle .,BRING,A,to,-41.78679275512695,-38.81151580810547,-40.03034973144531,-37.0466423034668
the husband drew me the button .,DRAW,THE,for,a professor brought them a tea .,BRING,A,to,-46.71703338623047,-43.14796447753906,-45.7451400756836,-38.34495544433594
the secretary drew you the card .,DRAW,THE,for,a soldier brought me a telephone .,BRING,A,to,-35.237483978271484,-33.54511642456055,-32.98028564453125,-30.601192474365234
the opponent drew you the crystal .,DRAW,THE,for,a father brought me a beer .,BRING,A,to,-40.3149299621582,-36.99956130981445,-39.65626907348633,-35.186058044433594
