prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
a band designed a business a computer .,DESIGN,A,for,the colonel delivered the leader the coffee .,DELIVER,THE,for,-47.53510665893555,-48.09050750732422,-49.017276763916016,-48.485389709472656
a band designed a club a gun .,DESIGN,A,for,the mother sold the professor the computer .,SELL,THE,to,-45.650428771972656,-50.07136535644531,-45.69954681396485,-48.050201416015625
a band designed a club a gun .,DESIGN,A,for,the leader took the reader the iron .,TAKE,THE,to,-46.77984619140625,-59.71453857421875,-45.900787353515625,-60.02122116088867
a band designed a club a gun .,DESIGN,A,for,the attorney fed the reader the chocolate .,FEED,THE,to,-49.42303466796875,-50.347801208496094,-50.26040649414063,-49.654144287109375
a band designed a club a newspaper .,DESIGN,A,for,the singer gave the business the juice .,GIVE,THE,to,-44.8726921081543,-45.6519660949707,-44.79879379272461,-45.60844421386719
a band designed a corporation a cup .,DESIGN,A,for,the wife kept the army the chicken .,KEEP,THE,for,-45.18116760253906,-53.26012420654297,-47.6181526184082,-49.42351531982422
a band designed a corporation a cup .,DESIGN,A,for,the husband promised the friend the plate .,PROMISE,THE,to,-46.99702453613281,-46.22370910644531,-47.4256591796875,-45.085693359375
a band designed a corporation a key .,DESIGN,A,for,the leader drew the company the telephone .,DRAW,THE,for,-49.362060546875,-56.0175895690918,-50.58341979980469,-52.64093780517578
a band designed a corporation a key .,DESIGN,A,for,the father drew the guy the card .,DRAW,THE,for,-43.42339324951172,-48.00029754638672,-43.504432678222656,-43.60181427001953
a band designed a corporation a key .,DESIGN,A,for,the minister delivered the employee the juice .,DELIVER,THE,for,-55.428653717041016,-58.26567077636719,-55.827415466308594,-56.00328063964844
a band designed an administration a cigarette .,DESIGN,A,for,the employer purchased the kid the salad .,PURCHASE,THE,for,-48.3868408203125,-56.39082717895508,-48.07297134399414,-51.50489807128906
a band designed an administration a cigarette .,DESIGN,A,for,the boy threw the actress the cheese .,THROW,THE,to,-47.91349029541016,-50.01435852050781,-48.53512573242188,-48.89485931396485
