text,structure,verb,sen_prob,perplexity
a secretary sold her a plate .,DO,SELL,-45.76186752319336,2052.83740234375
the buddy supplied her the cup .,DO,SUPPLY,-50.12450408935547,4247.4931640625
a sheriff left it a knife .,DO,LEAVE,-43.358917236328125,1375.381591796875
the brother sold us the pie .,DO,SELL,-44.72550964355469,1727.1912841796875
an employer fed her a cheese .,DO,FEED,-47.03424835205078,2537.771484375
the pilot drew them the machine .,DO,DRAW,-41.832584381103516,1066.45751953125
a buddy showed me a telephone .,DO,SHOW,-41.306827545166016,976.9851684570312
an aunt delivered him a tea .,DO,DELIVER,-37.61982345581055,528.4619140625
the professor caught him the anchor .,DO,CATCH,-43.93931198120117,1515.072998046875
a captain left you a jacket .,DO,LEAVE,-46.71610641479492,2406.71484375
a lawyer sold them a meal .,DO,SELL,-39.97537612915039,782.553955078125
the reader fed it the chicken .,DO,FEED,-43.85984420776367,1495.1387939453125
the man threw us the engine .,DO,THROW,-42.3825569152832,1168.8314208984375
the cop fed them the candy .,DO,FEED,-45.622352600097656,2005.654296875
the secretary brought me the engine .,DO,BRING,-45.20171356201172,1869.8604736328125
the nurse gave it the beer .,DO,GIVE,-39.446346282958984,716.5093383789062
the chief caught it the knife .,DO,CATCH,-45.1584358215332,1856.421875
an uncle drew him a card .,DO,DRAW,-37.40830993652344,510.156982421875
the attorney delivered me the meal .,DO,DELIVER,-45.72533416748047,2040.375732421875
the man supplied us the book .,DO,SUPPLY,-39.29518127441406,698.6829833984375
the girl fed you the salad .,DO,FEED,-46.83430480957031,2454.596435546875
a son took me an instrument .,DO,TAKE,-39.18887710571289,686.4132080078125
the manager showed you the bowl .,DO,SHOW,-43.229286193847656,1345.9849853515625
a mayor threw you a juice .,DO,THROW,-47.82366180419922,2894.624267578125
the lawyer threw us the jacket .,DO,THROW,-49.21375274658203,3649.306396484375
a singer brought you a candy .,DO,BRING,-44.42129898071289,1641.802734375
the student drew them the cup .,DO,DRAW,-44.563255310058594,1681.10986328125
the corporation designed me the glass .,DO,DESIGN,-46.37694549560547,2274.444580078125
the adult gave us the hat .,DO,GIVE,-42.38819122314453,1169.9293212890625
a hero drew you a ball .,DO,DRAW,-42.69871520996094,1232.072265625
the cousin left us the bottle .,DO,LEAVE,-46.216556549072266,2214.45068359375
the parent kept them the chocolate .,DO,KEEP,-48.964622497558594,3500.883544921875
the guest sold us the guitar .,DO,SELL,-45.284889221191406,1895.9620361328125
the employer supplied you the television .,DO,SUPPLY,-48.76161575317383,3384.414306640625
the mother gave me the cheese .,DO,GIVE,-35.6552619934082,380.90264892578125
the aunt found it the cigarette .,DO,FIND,-43.61137771606445,1434.4879150390625
the bishop left us the tea .,DO,LEAVE,-49.398284912109375,3763.285888671875
the mother supplied you the coffee .,DO,SUPPLY,-44.95774841308594,1795.3553466796875
a candidate got me a meal .,DO,GET,-37.55752182006836,523.0029907226562
a lady fed it a chocolate .,DO,FEED,-44.16908645629883,1574.21923828125
the pilot saved me the beer .,DO,SAVE,-41.814762115478516,1063.294189453125
an employer supplied them a cheese .,DO,SUPPLY,-47.058414459228516,2548.013671875
a winner threw it a meal .,DO,THROW,-41.09929656982422,943.7703857421875
a minister purchased you a coffee .,DO,PURCHASE,-49.191368103027344,3635.716796875
a king threw her a beer .,DO,THROW,-37.95879364013672,559.1768798828125
an uncle caught you a flower .,DO,CATCH,-44.58067321777344,1685.9970703125
the bishop drew me the bell .,DO,DRAW,-44.75861740112305,1736.7481689453125
a chief promised them a chicken .,DO,PROMISE,-44.00354766845703,1531.38037109375
a mother sent him a computer .,DO,SEND,-35.36589813232422,362.96868896484375
a cop bought them a juice .,DO,BUY,-45.68167495727539,2025.582763671875
an actress got you a log .,DO,GET,-45.2965087890625,1899.637451171875
a colonel sold us a cheese .,DO,SELL,-47.194114685058594,2606.2978515625
the champion purchased me the tea .,DO,PURCHASE,-45.66899490356445,2021.306396484375
a kid supplied him a television .,DO,SUPPLY,-44.89825439453125,1777.641357421875
a friend fed you a cheese .,DO,FEED,-44.93296813964844,1787.9559326171875
a candidate saved them an engine .,DO,SAVE,-43.13663101196289,1325.359130859375
the soldier drew you the telephone .,DO,DRAW,-46.075653076171875,2163.052490234375
a manager supplied them a chicken .,DO,SUPPLY,-47.10584259033203,2568.234619140625
the husband supplied them the telephone .,DO,SUPPLY,-40.987213134765625,926.3038940429688
a husband left them a meal .,DO,LEAVE,-39.911705017089844,774.2935180664062
the singer supplied him the beer .,DO,SUPPLY,-43.3050651550293,1363.0921630859375
an attorney left it a wire .,DO,LEAVE,-42.250152587890625,1143.32080078125
the uncle got me the chocolate .,DO,GET,-44.414859771728516,1640.0416259765625
the scientist purchased them the computer .,DO,PURCHASE,-44.82015609741211,1754.6527099609375
the son bought us the pie .,DO,BUY,-44.552001953125,1677.959716796875
the priest found me the chocolate .,DO,FIND,-44.46464538574219,1653.70654296875
the candidate supplied us the candy .,DO,SUPPLY,-49.62146759033203,3905.9052734375
the pilot kept it the telephone .,DO,KEEP,-42.97011184692383,1289.081787109375
a cousin purchased him a bag .,DO,PURCHASE,-39.75536346435547,754.3784790039062
the physician bought you the log .,DO,BUY,-49.86073303222656,4064.810302734375
the secretary sent it the salad .,DO,SEND,-47.819393157958984,2892.565673828125
the physician bought me the beer .,DO,BUY,-43.608238220214844,1433.7374267578125
an attorney got you a salad .,DO,GET,-44.528663635253906,1671.445556640625
the manager purchased it the salad .,DO,PURCHASE,-50.06370544433594,4204.669921875
a cop showed us a beer .,DO,SHOW,-40.626102447509766,872.19873046875
the doctor threw it the beer .,DO,THROW,-41.201385498046875,959.9658813476562
a reader took you a wire .,DO,TAKE,-43.57404327392578,1425.589599609375
a student saved her a plate .,DO,SAVE,-45.812347412109375,2070.18115234375
a singer sent you a juice .,DO,SEND,-47.07027816772461,2553.056640625
a sheriff took you a book .,DO,TAKE,-40.788814544677734,896.17529296875
an aunt supplied us a beer .,DO,SUPPLY,-45.77863311767578,2058.58154296875
the captain gave us the engine .,DO,GIVE,-37.55711364746094,522.9674072265625
the bishop threw you the candy .,DO,THROW,-49.57592010498047,3876.36669921875
a champion sent you a cheese .,DO,SEND,-45.03650665283203,1819.0771484375
the hero brought it the tea .,DO,BRING,-42.5335693359375,1198.6226806640625
a guy promised you a jacket .,DO,PROMISE,-43.95684814453125,1519.507568359375
the physician designed him the bowl .,DO,DESIGN,-48.735931396484375,3369.95751953125
the adult left me the television .,DO,LEAVE,-46.51305389404297,2326.62939453125
the husband showed me the cheese .,DO,SHOW,-41.906158447265625,1079.615234375
an author left you a cigarette .,DO,LEAVE,-41.7191162109375,1046.4788818359375
a mother caught you an engine .,DO,CATCH,-46.50383758544922,2323.05810546875
an actress promised you a chocolate .,DO,PROMISE,-47.567481994628906,2773.634521484375
a nurse drew us a key .,DO,DRAW,-48.50544738769531,3242.958984375
a champion left them a television .,DO,LEAVE,-43.694091796875,1454.400146484375
a singer caught you a knife .,DO,CATCH,-43.50077438354492,1408.2869873046875
a soldier took me a bowl .,DO,TAKE,-41.995670318603516,1095.84228515625
the soldier took us the ball .,DO,TAKE,-40.021549224853516,788.599365234375
the prince delivered you the hat .,DO,DELIVER,-43.13622283935547,1325.26904296875
a bishop saved me a coffee .,DO,SAVE,-48.92252731323242,3476.40771484375
a mother sent us a juice .,DO,SEND,-44.189632415771484,1579.6190185546875
the actress gave him the meal .,DO,GIVE,-36.148345947265625,413.5277099609375
a guy made it a log .,DO,MAKE,-35.97427749633789,401.7030334472656
a princess supplied us a salad .,DO,SUPPLY,-50.81053924560547,4762.001953125
a cousin sent you a coffee .,DO,SEND,-43.0388298034668,1303.9305419921875
the princess fed you the salad .,DO,FEED,-49.30887222290039,3707.62060546875
a daughter fed him a salad .,DO,FEED,-41.26951217651367,970.9278564453125
a wife caught him a wire .,DO,CATCH,-39.652259826660156,741.5260009765625
a king brought me a card .,DO,BRING,-39.38669967651367,709.4216918945312
a husband sent you a coffee .,DO,SEND,-43.137088775634766,1325.460205078125
a teacher showed us a juice .,DO,SHOW,-43.14777755737305,1327.8236083984375
a son drew us a glass .,DO,DRAW,-45.035850524902344,1818.87841796875
a cop saved you a cheese .,DO,SAVE,-49.876258850097656,4075.34228515625
the aunt threw it the bowl .,DO,THROW,-46.67484664916992,2390.221435546875
the buddy fed him the meal .,DO,FEED,-45.05202102661133,1823.7869873046875
the kid brought them the pie .,DO,BRING,-40.77302169799805,893.8195190429688
the princess drew him the box .,DO,DRAW,-45.05640411376953,1825.1197509765625
the doctor left her the cheese .,DO,LEAVE,-42.07275390625,1110.0118408203125
a hero drew them an engine .,DO,DRAW,-43.846099853515625,1491.7177734375
a woman gave them a coat .,DO,GIVE,-29.741920471191406,142.164794921875
a nurse caught me a knife .,DO,CATCH,-43.8973274230957,1504.508544921875
the friend fed you the candy .,DO,FEED,-48.83512496948242,3426.1337890625
the mayor saved them the tea .,DO,SAVE,-48.17223358154297,3067.768798828125
